"Step","noisy_net: false - score","noisy_net: false - score__MIN","noisy_net: false - score__MAX","noisy_net: true - score","noisy_net: true - score__MIN","noisy_net: true - score__MAX"
"50","0.5102338050128598","0.2984760998737774","0.6974305024694464","0.4776371997964412","0.1965766720846757","0.728521688820336"
"100","0.5254403514015871","0.2673886121394609","0.7134132217622522","0.4830851184469338","0.1555282860161963","0.7705328611834483"
"150","0.6203044702223353","0.49268028392810015","0.7179819562306888","0.6611487142646375","0.43518115367530386","0.7920916950069706"
"200","0.7303107686130255","0.6552755308404048","0.8408758989247782","0.7622881597800069","0.5763560731195846","0.8755890674878405"
"250","0.7495268161241619","0.6487947081477811","0.8233587993315201","0.7869368380492006","0.5952139966213431","0.872718396066061"
"300","0.774106876769642","0.6593591899164163","0.8526191915332804","0.7890475331306783","0.5816226254769848","0.8778855676501045"
"350","0.7879324240185192","0.7209525897465354","0.8469353532224685","0.7909466371177878","0.5819357324417872","0.8898145142761065"
"400","0.8039861113208336","0.7352923463170267","0.8658641684515321","0.7912202441879658","0.5779343740809286","0.8850589809819218"
"450","0.8114527097521105","0.7586447677943225","0.8792911627801062","0.7970935740332487","0.5961595411241486","0.9029423659585958"
"500","0.820935522529142","0.7347648984965213","0.8720714174159909","0.7995423706652653","0.6037128916134907","0.9050555927781686"
"550","0.8357848586601514","0.7652744536161316","0.8898429218735852","0.7989557534316094","0.5944105727889517","0.9053857468669493"
"600","0.8248148108061911","0.7483747040419528","0.8670703641935864","0.8006917612521007","0.5967908472593135","0.9057499127112091"
"650","0.836372186137055","0.7511862092134248","0.8884314325230822","0.7993901169978579","0.5886301747600333","0.9142209160394108"
"700","0.8392645566792862","0.7634118387439033","0.8889809475807017","0.7966011182694133","0.5905331889210196","0.9017036844050997"
"750","0.8435126641365408","0.7969930039673813","0.8861457731830871","0.7990504097238567","0.5836082143883581","0.9000351771386806"
"800","0.8466457862447193","0.7528893929760951","0.8889098726906274","0.7968881722374989","0.5970705807479986","0.9094782240888555"
"850","0.8507447026510772","0.741751483661806","0.8972040792082276","0.8027525015140037","0.5990198716021518","0.9091753954183092"
"900","0.8608656105239088","0.7835268088392975","0.9017661958199339","0.7972225149056719","0.6019852868205824","0.9179180143642317"
"950","0.8604693728343296","0.7962618975003711","0.9054917059002541","0.801101325945214","0.6065353103244391","0.908007574893161"
"1000","0.8570638949688582","0.7859454218501486","0.9103196557753249","0.7963710582518136","0.5928850400215352","0.9032639626958598"
"1050","0.8586407415918305","0.7696989294359008","0.9038905292711008","0.7939643345950458","0.5950014663126096","0.9038817977085549"
"1100","0.8595295776532403","0.7812398840673045","0.896093276983017","0.8034030312992758","0.5884760512952925","0.9098218150068779"
"1150","0.8610140754516059","0.7971036486309253","0.9120556584105458","0.8004115561156467","0.600059100669633","0.9012829423544324"
"1200","0.8662832719818198","0.7974781391089456","0.9152802374502764","0.800431380755622","0.5930897173323667","0.9109294829825351"
"1250","0.8658058267924436","0.7995974244778421","0.9034440898357972","0.8024212227422358","0.6065502798006344","0.9157373517751999"
"1300","0.8626072864712279","0.7836338041923407","0.902681068371922","0.8090223228498207","0.6043935888132722","0.9033333329394744"
"1350","0.8662959614385248","0.7801923836422232","0.9090721139188106","0.8108040846710944","0.5848255555719607","0.8930972806215378"
"1400","0.8646959149821182","0.806854155701415","0.9052226243484435","0.8128869672466219","0.5946521757099688","0.9005601851434435"
"1450","0.8677741395904576","0.7951004309961495","0.9056939188536971","0.8131612356907613","0.5953311077716197","0.9071240571702468"
"1500","0.8682262438937279","0.8020317466343474","0.9084797479841262","0.8096788014797404","0.5928685782554214","0.9000466580957215"
"1550","0.8666968125532984","0.8045509239644824","0.9077810147419059","0.8088113442399057","0.6036040105021491","0.8952625608740499"
"1600","0.8690978130373112","0.8065132294511064","0.9082385553925925","0.8131903346167082","0.5956336427706251","0.9066753291785219"
"1650","0.868951687044429","0.804875283506839","0.9137027422207429","0.81391189794042","0.5916440362801186","0.9079548267688574"
"1700","0.8686776199319092","0.8057250739323756","0.9006900086205932","0.8092441747856115","0.6035048264800571","0.9085950423048819"
"1750","0.8671126598576806","0.7906735561383046","0.9094845604884998","0.8116792557140593","0.598455729534345","0.9058901428087467"
"1800","0.8686708628732291","0.8034069438311484","0.9072509301979295","0.8101174576940245","0.5869348349462713","0.9050443045557163"
"1850","0.8681759484310902","0.7895305417899937","0.9115075483243744","0.811735971105573","0.5856229009946988","0.9025990043623452"
"1900","0.8681623551970425","0.7919826577575678","0.9093065799222635","0.8133842706891694","0.6039834287370861","0.9137744501399852"
"1950","0.867587276388181","0.787651984455577","0.9060737444795677","0.8076035526595505","0.600272683440962","0.9031862749071924"
"2000","0.86900355468659","0.7965213708572115","0.905189902890733","0.8117174412790256","0.5913213737675848","0.9130808464414194"
