"Step","noisy_net: false - regret","noisy_net: false - regret__MIN","noisy_net: false - regret__MAX","noisy_net: true - regret","noisy_net: true - regret__MIN","noisy_net: true - regret__MAX"
"1","0.44379974476475736","0","0.7544393333663766","0.34694377343476474","0","0.6918334821518384"
"2","0.7519331677989772","0","1.2830628632774617","0.7710517133803021","0.058682178144576214","1.3951995997203548"
"3","1.100112038425344","0.2292763427451846","1.778037137743919","1.1609726691704354","0.058682178144576214","2.1648394861966493"
"4","1.4316071521039324","0.302042929230554","2.278642487491161","1.5595007399297978","0.5511786909935587","2.766864073414663"
"5","1.7159382311066247","0.3969295343462521","2.926689991717788","1.9824964934371931","0.6958334492083657","3.4114319332137057"
"6","2.1264477334545036","0.7371012564673401","3.5274393067403675","2.3764544800394054","0.8203245550028903","4.132265969968858"
"7","2.499837077058098","1.0242075979932537","4.171957575541797","2.80698943412539","0.8851252491774996","4.661180309810077"
"8","2.852283250381456","1.091528362932135","4.772402207837837","3.1655511816007804","0.8851252491774996","5.408139401641569"
"9","3.2023287175544866","1.1768085564186452","5.006512581527131","3.548277429896174","0.8851252491774996","6.0524427259446165"
"10","3.5785598753892476","1.2906399205179695","5.722636197414539","3.884785438170935","0.9140976864391461","6.771609611190638"
"11","3.839886973240082","1.6095094803249075","5.936895889300295","4.259736199818825","0.9140976864391461","7.443422948656536"
"12","4.180972665180511","2.0148056916392876","6.09318841566818","4.704704457509115","0.9665894189568375","8.269337525410524"
"13","4.4851190468243","2.0148056916392876","6.7880616757460155","5.119868106422774","1.0240471809852405","8.859234548821675"
"14","4.848255366121706","2.0148056916392876","7.4441679839455475","5.654603230292456","1.4130236252196855","9.62563411460146"
"15","5.240661099734877","2.0148056916392876","8.060580279967438","5.982993244531661","1.759262042952207","10.250258504049643"
"16","5.627239629241838","2.353221335251399","8.547658643834062","6.364716233368566","1.8188264698833119","10.701436758938762"
"17","5.97578866466796","2.353221335251399","9.170841220676255","6.741039936238446","1.8723433195583954","11.504939323769262"
"18","6.361745754474541","2.4292934707951375","9.60283423134559","7.079282876864276","1.8723433195583954","12.164245558144058"
"19","6.6675789665962775","2.4311512001226543","10.182152928688973","7.563170325745371","1.9372648595106823","13.025733510798517"
"20","7.029225792332047","3.1994347120404454","10.44780738694321","7.955119221166687","1.9952758609045667","13.586956787177382"
"21","7.325270425229231","3.1994347120404454","11.094840291115466","8.313295842775416","1.9952758609045667","14.085241336346893"
"22","7.6629670095172795","3.2417465885379038","11.674525987589012","8.734496987884615","2.057896153135285","14.741488022386312"
"23","8.010018240280333","3.3132341644661754","12.406302477707921","9.156797103561898","2.057896153135285","15.420560553848171"
"24","8.403062098914669","3.3132341644661754","12.990105771037701","9.570612620144178","2.057896153135285","16.325726466858296"
"25","8.74624312753223","3.3132341644661754","13.053867820796347","9.870670493743596","2.1252237086750725","16.986475564705366"
"26","9.100507833873024","3.6280177852113162","13.738468954913403","10.237433440332383","2.521081476185421","17.648252497113496"
"27","9.461854218351935","3.756160280415777","14.430418064348801","10.682635668207384","2.521081476185421","18.516533809002222"
"28","9.866738458781821","3.9681518251047416","14.962455302346127","11.059351870711629","2.521081476185421","19.294116491882694"
"29","10.323946473129608","3.9681518251047416","15.642561286402348","11.389112278144912","2.521081476185421","20.14512636578555"
"30","10.700905169200842","4.066454949685332","16.326866130783333","11.759344148644006","2.521081476185421","20.601976371994933"
"31","11.057644467149172","4.287077930850195","16.7847500201003","12.06167082715992","2.910411512112053","21.277673060945297"
"32","11.475214780658147","4.287077930850195","16.7847500201003","12.331070526535418","2.910411512112053","21.512293797754566"
"33","11.835228667072412","4.287077930850195","17.342352040637127","12.694614530378985","2.910411512112053","22.205127663684014"
"34","12.21147375370222","4.298227561273622","17.9977847931944","12.99433806310858","2.910411512112053","23.06455864759818"
"35","12.497727444919127","4.373303801597987","18.596391699992004","13.447979593325034","3.364598984464341","23.85139827410993"
"36","12.86581091683981","4.386562900743567","19.175736621241985","13.827355381130632","3.364598984464341","24.49979930982795"
"37","13.17033773894537","4.989828514449006","19.1807038542787","14.15646455131671","3.364598984464341","25.164884777173338"
"38","13.62311781668414","5.173022500099096","19.86642621136004","14.667661152248952","3.4261004511367044","25.78201660521569"
"39","13.953406238912294","5.173022500099096","20.578998018203208","15.143473008797132","3.923014022835573","26.650798006166458"
"40","14.33994729617088","5.173022500099096","21.269594822067468","15.52791182561085","3.9903342127974097","27.323663503629646"
"41","14.743212627815323","5.431308303329939","21.95794179082558","15.915268493774299","4.265821482319966","27.977559750367938"
"42","15.050750880796317","5.459223773830068","22.638945880501133","16.390673741455778","4.265821482319966","28.762875105687456"
"43","15.41254715541566","5.459223773830068","22.885218639883472","16.723818450067437","4.331280405182323","29.648654056954186"
"44","15.810804958556155","5.478581205369629","22.885218639883472","17.04399338772336","4.331280405182323","30.311146588919563"
"45","16.178260494933905","5.565791474355367","23.450107928269873","17.420057971289275","4.398821116394254","30.842997805826123"
"46","16.472721472923713","5.613684903553288","24.0212470263751","17.801499136081002","4.464931474149181","31.618541221214926"
