"Name","noisy_layer_init_std","mean_regret","seed","env_id","_wandb"
"conbandit_combi1_0__5__2025-06-16_19-10","1","112.91716766357422","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-16_19-10","1","125.38763427734376","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-16_19-10","1","135.08383178710938","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-16_19-09","1","104.20549774169922","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-16_19-09","1","104.4919204711914","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-16_19-09","1","90.54511260986328","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-16_19-09","0.95","104.01763916015624","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-16_19-08","0.95","119.16053009033205","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-16_19-08","0.95","129.43588256835938","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-16_19-08","0.95","99.12130737304688","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-16_19-07","0.95","95.00582885742188","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-16_19-07","0.95","86.97492218017578","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-16_19-07","0.9000000000000001","99.236083984375","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-16_19-07","0.9000000000000001","111.21532440185548","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-16_19-06","0.9000000000000001","127.27188873291016","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-16_19-06","0.9000000000000001","95.02804565429688","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-16_19-06","0.9000000000000001","88.41879272460938","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-16_19-06","0.9000000000000001","82.64002990722656","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-16_19-05","0.8500000000000001","89.38323974609375","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-16_19-05","0.8500000000000001","104.9451675415039","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-16_19-05","0.8500000000000001","121.34490966796876","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-16_19-05","0.8500000000000001","89.79856872558594","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-16_19-04","0.8500000000000001","82.17703247070312","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-16_19-04","0.8500000000000001","80.903076171875","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-16_19-04","0.8","83.34574890136719","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-16_19-04","0.8","99.2582015991211","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-16_19-03","0.8","117.46369934082033","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-16_19-03","0.8","82.88764190673828","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-16_19-03","0.8","75.39981079101562","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-16_19-03","0.8","75.65193176269531","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-16_19-02","0.7500000000000001","78.5419921875","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-16_19-02","0.7500000000000001","93.9433822631836","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-16_19-02","0.7500000000000001","113.0994873046875","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-16_19-02","0.7500000000000001","76.66242218017578","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-16_19-01","0.7500000000000001","71.93524932861328","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-16_19-01","0.7500000000000001","70.47612762451172","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-16_19-01","0.7000000000000001","72.13449096679688","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-16_19-00","0.7000000000000001","87.67245483398438","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-16_19-00","0.7000000000000001","107.90763854980467","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-16_19-00","0.7000000000000001","72.74717712402344","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-16_19-00","0.7000000000000001","64.87351989746094","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-16_18-59","0.7000000000000001","66.78832244873047","0","NNBandit-v0",""
"conbandit_combi1_0__5__2025-06-16_18-59","0.6500000000000001","70.2861328125","5","NNBandit-v0",""
"conbandit_combi1_0__4__2025-06-16_18-59","0.6500000000000001","87.21837615966797","4","NNBandit-v0",""
"conbandit_combi1_0__3__2025-06-16_18-59","0.6500000000000001","104.1394271850586","3","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-16_18-58","0.6500000000000001","69.04266357421875","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-16_18-58","0.6500000000000001","59.77718734741211","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-16_18-58","0.6500000000000001","63.15955352783203","0","NNBandit-v0",""
