"Name","noisy_layer_init_std","mean_regret","seed","env_id","_wandb"
"conbandit_combi1_0__7__2025-06-16_14-14","1","106.8773422241211","7","NNBandit-v0",""
"conbandit_combi1_0__6__2025-06-16_14-14","1","96.57266998291016","6","NNBandit-v0",""
"conbandit_combi1_0__7__2025-06-16_14-13","0.95","102.1535186767578","7","NNBandit-v0",""
"conbandit_combi1_0__6__2025-06-16_14-13","0.95","91.0029296875","6","NNBandit-v0",""
"conbandit_combi1_0__7__2025-06-16_14-13","0.9000000000000001","97.22769165039062","7","NNBandit-v0",""
"conbandit_combi1_0__6__2025-06-16_14-13","0.9000000000000001","87.04164123535156","6","NNBandit-v0",""
"conbandit_combi1_0__7__2025-06-16_14-12","0.8500000000000001","90.9897003173828","7","NNBandit-v0",""
"conbandit_combi1_0__6__2025-06-16_14-12","0.8500000000000001","82.04154205322266","6","NNBandit-v0",""
"conbandit_combi1_0__7__2025-06-16_14-12","0.8","86.52862548828125","7","NNBandit-v0",""
"conbandit_combi1_0__6__2025-06-16_14-11","0.8","78.44385528564453","6","NNBandit-v0",""
"conbandit_combi1_0__7__2025-06-16_14-11","0.7500000000000001","81.68707275390625","7","NNBandit-v0",""
"conbandit_combi1_0__6__2025-06-16_14-11","0.7500000000000001","74.31493377685547","6","NNBandit-v0",""
"conbandit_combi1_0__7__2025-06-16_14-11","0.7000000000000001","77.55862426757812","7","NNBandit-v0",""
"conbandit_combi1_0__6__2025-06-16_14-10","0.7000000000000001","71.91415405273438","6","NNBandit-v0",""
"conbandit_combi1_0__7__2025-06-16_14-10","0.6500000000000001","73.65018463134766","7","NNBandit-v0",""
"conbandit_combi1_0__6__2025-06-16_14-10","0.6500000000000001","65.70604705810547","6","NNBandit-v0",""
"conbandit_combi1_0__7__2025-06-16_14-10","0.6000000000000001","70.2600326538086","7","NNBandit-v0",""
"conbandit_combi1_0__6__2025-06-16_14-09","0.6000000000000001","61.96181106567383","6","NNBandit-v0",""
"conbandit_combi1_0__7__2025-06-16_14-09","0.55","65.6953125","7","NNBandit-v0",""
"conbandit_combi1_0__6__2025-06-16_14-09","0.55","57.48223114013672","6","NNBandit-v0",""
"conbandit_combi1_0__7__2025-06-16_14-09","0.5","61.19842529296875","7","NNBandit-v0",""
"conbandit_combi1_0__6__2025-06-16_14-08","0.5","54.5373420715332","6","NNBandit-v0",""
