"Step","noisy_net: true - exploration_rate","noisy_net: true - exploration_rate__MIN","noisy_net: true - exploration_rate__MAX"
"10","0.5400000000000001","0.19999999999999996","0.9"
"20","0.5233333333333332","0.275","0.85"
"30","0.518888888888889","0.2833333333333334","0.85"
"40","0.5120833333333334","0.30000000000000004","0.7999999999999999"
"50","0.5213333333333334","0.30000000000000004","0.7799999999999999"
"60","0.5130555555555555","0.2750000000000001","0.7499999999999999"
"70","0.4883333333333334","0.23571428571428577","0.7214285714285713"
"80","0.4670833333333333","0.21875000000000003","0.6625"
"90","0.4507407407407407","0.21111111111111114","0.6277777777777778"
"100","0.43333333333333335","0.20500000000000002","0.585"
"110","0.4203030303030302","0.21363636363636368","0.5636363636363636"
"120","0.40763888888888905","0.23750000000000004","0.5333333333333333"
"130","0.39474358974358986","0.23461538461538467","0.5115384615384615"
"140","0.3858333333333334","0.2285714285714286","0.5142857142857142"
"150","0.3794444444444444","0.21666666666666667","0.5033333333333333"
"160","0.37260416666666674","0.203125","0.503125"
"170","0.3713725490196078","0.19117647058823528","0.5147058823529411"
"180","0.36888888888888893","0.18055555555555555","0.5055555555555556"
"190","0.3644736842105264","0.17105263157894737","0.4921052631578948"
"200","0.36141666666666666","0.16499999999999998","0.49750000000000005"
"210","0.3475833333333333","0.1525","0.4875"
"220","0.33525","0.1375","0.4925"
"230","0.3266666666666667","0.15250000000000002","0.49749999999999994"
"240","0.3171666666666667","0.125","0.5025000000000001"
"250","0.30275","0.0925","0.4925"
"260","0.29158333333333336","0.07750000000000001","0.485"
"270","0.28983333333333333","0.057499999999999996","0.47750000000000004"
"280","0.287","0.05000000000000001","0.47000000000000003"
"290","0.28316666666666657","0.04250000000000001","0.475"
"300","0.2799166666666667","0.04250000000000001","0.47250000000000014"
"310","0.2785833333333334","0.03750000000000001","0.4700000000000001"
"320","0.27775000000000005","0.03750000000000001","0.4700000000000002"
"330","0.27741666666666664","0.03500000000000001","0.47250000000000003"
"340","0.2753333333333333","0.03250000000000001","0.46500000000000014"
"350","0.2723333333333333","0.027500000000000007","0.45"
"360","0.2711666666666666","0.02250000000000001","0.47000000000000003"
"370","0.26533333333333325","0.02250000000000001","0.46499999999999997"
"380","0.26125","0.020000000000000007","0.45"
"390","0.2574166666666667","0.012500000000000006","0.44749999999999995"
"400","0.25450000000000006","0.010000000000000004","0.45249999999999996"
"410","0.2505833333333333","0.010000000000000004","0.4374999999999999"
"420","0.24558333333333326","0.010000000000000004","0.43249999999999994"
"430","0.2375833333333333","0.012500000000000006","0.4299999999999999"
"440","0.23291666666666666","0.012500000000000006","0.43999999999999995"
"450","0.2280833333333333","0.012500000000000006","0.42750000000000005"
"460","0.22591666666666665","0.0050000000000000044","0.42750000000000005"
"470","0.21933333333333332","0.0050000000000000044","0.4225"
"480","0.21475000000000005","0.0050000000000000044","0.42750000000000005"
"490","0.21133333333333332","0.0050000000000000044","0.45"
"500","0.2114166666666667","0.0050000000000000044","0.4575"
"510","0.20725000000000002","0.0050000000000000044","0.4625"
"520","0.2029166666666667","0.0050000000000000044","0.47250000000000003"
"530","0.1998333333333334","0.010000000000000004","0.46749999999999997"
"540","0.19716666666666674","0.010000000000000004","0.4574999999999999"
"550","0.19399999999999998","0.010000000000000004","0.43999999999999995"
"560","0.19066666666666668","0.010000000000000004","0.42499999999999993"
