"Step","noisy_net: true - score","noisy_net: true - score__MIN","noisy_net: true - score__MAX","noisy_net: false - score","noisy_net: false - score__MIN","noisy_net: false - score__MAX"
"50","0.4618486468587653","0.14297586282298932","0.824691196605983","0.5302627495355277","0.3321506374058806","0.6533198923709861"
"100","0.4695253264077102","0.14868961201252426","0.837443289421935","0.5576228023852412","0.3463331859981924","0.7104467634084551"
"150","0.676426579756033","0.4286585552737948","0.8450648621924784","0.6323176844320074","0.5110062792648081","0.7059940593282306"
"200","0.7632108470644355","0.538196434763815","0.8742793140826096","0.7102748189246607","0.5772570068818802","0.7811380830366897"
"250","0.7890921441045196","0.5640291745565069","0.8719128677402089","0.738283100316694","0.6538142436720387","0.8260556921387137"
"300","0.7982618983622096","0.5569705757064345","0.8920714015717182","0.777914294975822","0.6786166188968004","0.8528707736810962"
"350","0.8076093633853585","0.5784671196982796","0.8863513469654007","0.7929861775247383","0.7325608053126595","0.8267426446408842"
"400","0.8054136652750451","0.5631150911750834","0.895035483179837","0.7989385913062043","0.7047341318644057","0.8350146189738392"
"450","0.8077581377381853","0.5663526926252926","0.8897700151026501","0.8105364730154878","0.7130241521721985","0.8597672362648513"
"500","0.8108749056648099","0.5736542348995503","0.8882234331905713","0.8097758852327779","0.738204548068361","0.8740604978772424"
"550","0.8091794170670745","0.5682173047544623","0.887549267819063","0.8109589961980777","0.705303128245059","0.8758534774675105"
"600","0.8128641055115787","0.570557649731174","0.9033116410857024","0.8142799603279519","0.7098709231650981","0.8776825583652205"
"650","0.8093388678418824","0.5616595178796213","0.8967526261586906","0.8265792334549352","0.730249464190775","0.8828631733125627"
"700","0.8131306410232081","0.5784144914862916","0.8985682524574378","0.8321740304596085","0.7267183217941454","0.9082873506273615"
"750","0.8089232670109817","0.569698643608489","0.8922197556551982","0.8342609373147547","0.7662347171841678","0.8821150716071007"
"800","0.8107370855345094","0.5712118876396274","0.8995309972429731","0.8412901797356173","0.7453523137531717","0.8986302369252731"
"850","0.8122062627472999","0.5821760931044313","0.901217057941746","0.8427250401158797","0.7567812588504746","0.8973224672789766"
"900","0.8109975769423216","0.5726956996803062","0.9003207385863006","0.8417497448951367","0.7714882733853251","0.8943007514688397"
"950","0.8080226847802724","0.5756381249742826","0.8958009436908105","0.8438060575354558","0.7553597703592513","0.8884590796957474"
"1000","0.8159375771666885","0.5639280932831777","0.9024298667858325","0.848807449965314","0.7734663527474696","0.8865331120614054"
"1050","0.8103783187805059","0.5781553089622655","0.9009642267841887","0.84811643997441","0.7776186202806329","0.9108747788834256"
"1100","0.8142621763263868","0.5762316423033319","0.8968929218109065","0.8489222567304261","0.7541947355717507","0.8830522846146784"
"1150","0.8114924543821512","0.5645493922149467","0.902062380922984","0.8527877281685434","0.7548585770241303","0.900856578352035"
"1200","0.8114421041004792","0.5663031517574492","0.8920229580501429","0.8535892324973565","0.7708604025610093","0.9034194948463103"
"1250","0.8146693533263434","0.5700230578190992","0.8995463780870335","0.8545321546092796","0.7649033541769883","0.8904814517357532"
"1300","0.81932566549111","0.5809539712356414","0.8985195301119983","0.8528366365244181","0.762665792995318","0.8970651273062806"
"1350","0.8130031307224181","0.5664667343606835","0.9040768881755328","0.8558731467194518","0.7653148949989689","0.8882398658070962"
"1400","0.8077701815223047","0.5688811496329554","0.892513360356296","0.8558970406227784","0.7592377771905489","0.909282906279409"
"1450","0.8126471132348868","0.5703953970541711","0.8956160890699872","0.8532915889137903","0.7648275755081779","0.9040710248182061"
"1500","0.8097238350622405","0.5691996623313021","0.9026236053333205","0.8544285991467176","0.7676493026397359","0.8897723615713599"
"1550","0.8086261650751643","0.5711271870128867","0.8930485861558358","0.8506444141099256","0.7717064261952552","0.9143298918502606"
"1600","0.8106843652148052","0.5888125155205254","0.8951222959525823","0.8576526539085302","0.7747121909871483","0.9028048635971584"
"1650","0.8115250991794734","0.576964481154154","0.9003255860457979","0.856218241068714","0.7710226179263661","0.9081796955427024"
"1700","0.8108895860729156","0.5758763838085625","0.9027109322552376","0.858296021314552","0.7634930455235299","0.9087371263529799"
"1750","0.8119631401697565","0.5723067590256028","0.9055023988940856","0.8560486325624406","0.7743460591958666","0.9107250599027814"
"1800","0.8139849510965971","0.5799372207985192","0.9093814220151043","0.8577419803624444","0.7788490283653502","0.9063279846677557"
"1850","0.8114314850815001","0.5735360626788509","0.8985089771537643","0.8553486803451922","0.7738449894896007","0.9117328120311354"
"1900","0.8122378639012906","0.590142616901395","0.9028880394210798","0.8562354306965948","0.7674516649185094","0.9012729631163496"
"1950","0.8125934539843639","0.5735449809919115","0.9032965400853591","0.8553425145056196","0.7717339414511251","0.9033888243179153"
"2000","0.8107356903345913","0.5800249625745496","0.8980423843367527","0.8576861681994109","0.7637890562846873","0.9082921275980644"
