"Step","noisy_net: true - exploration_rate","noisy_net: true - exploration_rate__MIN","noisy_net: true - exploration_rate__MAX","noisy_net: false - exploration_rate","noisy_net: false - exploration_rate__MIN","noisy_net: false - exploration_rate__MAX"
"128","","","","0.36772607314601385","0.36772607314601385","0.36772607314601385"
"129","","","","0.3666228949265759","0.3666228949265758","0.3666228949265758"
"130","0.3350202429149798","0.13846153846153847","0.5192307692307692","0.36552302624179595","0.36552302624179606","0.36552302624179606"
"131","","","","0.36442645716307076","0.36442645716307065","0.36442645716307065"
"132","","","","0.3633331777915814","0.3633331777915814","0.3633331777915814"
"133","","","","0.3622431782582067","0.3622431782582067","0.3622431782582067"
"134","","","","0.36115644872343206","0.36115644872343206","0.36115644872343206"
"135","","","","0.36007297937726174","0.36007297937726174","0.36007297937726174"
"136","","","","0.35899276043913003","0.35899276043913","0.35899276043913"
"137","","","","0.35791578215781256","0.3579157821578126","0.3579157821578126"
"138","","","","0.3568420348113391","0.3568420348113392","0.3568420348113392"
"139","","","","0.3557715087069052","0.35577150870690516","0.35577150870690516"
"140","0.3165413533834587","0.13214285714285717","0.5","0.3547041941807843","0.3547041941807844","0.3547041941807844"
"141","","","","0.353640081598242","0.35364008159824206","0.35364008159824206"
"142","","","","0.3525791613534474","0.35257916135344736","0.35257916135344736"
"143","","","","0.351521423869387","0.351521423869387","0.351521423869387"
"144","","","","0.35046685959777873","0.35046685959777885","0.35046685959777885"
"145","","","","0.34941545901898546","0.3494154590189855","0.3494154590189855"
"146","","","","0.34836721264192855","0.34836721264192855","0.34836721264192855"
"147","","","","0.3473221110040027","0.3473221110040028","0.3473221110040028"
"148","","","","0.34628014467099083","0.3462801446709908","0.3462801446709908"
"149","","","","0.34524130423697785","0.3452413042369778","0.3452413042369778"
"150","0.3003508771929824","0.13333333333333336","0.48666666666666664","0.34420558032426685","0.34420558032426685","0.34420558032426685"
"151","","","","0.343172963583294","0.343172963583294","0.343172963583294"
"152","","","","0.34214344469254415","0.34214344469254415","0.34214344469254415"
"153","","","","0.3411170143584666","0.34111701435846653","0.34111701435846653"
"154","","","","0.34009366331539115","0.34009366331539115","0.34009366331539115"
"155","","","","0.339073382325445","0.339073382325445","0.339073382325445"
"156","","","","0.33805616217846873","0.3380561621784686","0.3380561621784686"
"157","","","","0.3370419936919333","0.3370419936919332","0.3370419936919332"
"158","","","","0.3360308677108574","0.33603086771085744","0.33603086771085744"
"159","","","","0.335022775107725","0.3350227751077249","0.3350227751077249"
"160","0.28963815789473685","0.12812500000000002","0.465625","0.3340177067824017","0.3340177067824017","0.3340177067824017"
"161","","","","0.33301565366205466","0.33301565366205454","0.33301565366205454"
"162","","","","0.33201660670106836","0.33201660670106836","0.33201660670106836"
"163","","","","0.3310205568809651","0.33102055688096516","0.33102055688096516"
"164","","","","0.3300274952103223","0.33002749521032226","0.33002749521032226"
"165","","","","0.3290374127246913","0.3290374127246913","0.3290374127246913"
"166","","","","0.32805030048651723","0.32805030048651723","0.32805030048651723"
"167","","","","0.32706614958505764","0.3270661495850577","0.3270661495850577"
"168","","","","0.3260849511363025","0.32608495113630254","0.32608495113630254"
"169","","","","0.32510669628289357","0.3251066962828936","0.3251066962828936"
"170","0.28003095975232195","0.12352941176470592","0.43823529411764706","0.32413137619404486","0.3241313761940449","0.3241313761940449"
"171","","","","0.3231589820654629","0.3231589820654628","0.3231589820654628"
"172","","","","0.32218950511926636","0.3221895051192664","0.3221895051192664"
"173","","","","0.32122293660390866","0.3212229366039086","0.3212229366039086"
"174","","","","0.3202592677940968","0.32025926779409686","0.32025926779409686"
"175","","","","0.3192984899907146","0.3192984899907146","0.3192984899907146"
"176","","","","0.3183405945207424","0.3183405945207424","0.3183405945207424"
"177","","","","0.3173855727371802","0.3173855727371802","0.3173855727371802"
"178","","","","0.3164334160189686","0.3164334160189687","0.3164334160189687"
"179","","","","0.31548411577091173","0.3154841157709118","0.3154841157709118"
"180","0.2748538011695907","0.1166666666666667","0.4277777777777778","0.3145376634235991","0.31453766342359907","0.31453766342359907"
"181","","","","0.3135940504333283","0.3135940504333283","0.3135940504333283"
"182","","","","0.3126532682820283","0.3126532682820283","0.3126532682820283"
"183","","","","0.3117153084771821","0.3117153084771822","0.3117153084771822"
"184","","","","0.3107801625517506","0.31078016255175067","0.31078016255175067"
"185","","","","0.30984782206409545","0.30984782206409545","0.30984782206409545"
"186","","","","0.30891827859790316","0.30891827859790316","0.30891827859790316"
"187","","","","0.30799152376210953","0.3079915237621095","0.3079915237621095"
"188","","","","0.3070675491908231","0.30706754919082313","0.30706754919082313"
"189","","","","0.3061463465432506","0.3061463465432507","0.3061463465432507"
"190","0.2678670360110803","0.11052631578947371","0.42631578947368426","0.305227907503621","0.30522790750362094","0.30522790750362094"
"191","","","","0.30431222378111006","0.30431222378111006","0.30431222378111006"
"192","","","","0.30339928710976677","0.3033992871097667","0.3033992871097667"
"193","","","","0.3024890892484375","0.3024890892484374","0.3024890892484374"
"194","","","","0.30158162198069205","0.3015816219806921","0.3015816219806921"
"195","","","","0.30067687711475","0.30067687711475005","0.30067687711475005"
"196","","","","0.2997748464834058","0.2997748464834058","0.2997748464834058"
"197","","","","0.2988755219439555","0.29887552194395556","0.29887552194395556"
"198","","","","0.29797889537812366","0.29797889537812366","0.29797889537812366"
"199","","","","0.2970849586919893","0.2970849586919893","0.2970849586919893"
"200","0.2603947368421053","0.10500000000000002","0.4050000000000001","0.2961937038159133","0.29619370381591337","0.29619370381591337"
"201","","","","0.29530512270446563","0.29530512270446563","0.29530512270446563"
"202","","","","0.2944192073363522","0.29441920733635224","0.29441920733635224"
"203","","","","0.2935359497143431","0.29353594971434316","0.29353594971434316"
"204","","","","0.2926553418652001","0.29265534186520015","0.29265534186520015"
"205","","","","0.29177737583960456","0.29177737583960456","0.29177737583960456"
"206","","","","0.2909020437120856","0.2909020437120857","0.2909020437120857"
"207","","","","0.29002933758094945","0.29002933758094945","0.29002933758094945"
"208","","","","0.28915924956820666","0.2891592495682066","0.2891592495682066"
"209","","","","0.28829177181950205","0.288291771819502","0.288291771819502"
"210","0.24763157894736842","0.1025","0.41500000000000004","0.28742689650404346","0.2874268965040435","0.2874268965040435"
"211","","","","0.2865646158145313","0.2865646158145314","0.2865646158145314"
"212","","","","0.28570492196708785","0.2857049219670878","0.2857049219670878"
"213","","","","0.28484780720118646","0.2848478072011865","0.2848478072011865"
"214","","","","0.2839932637795829","0.28399326377958295","0.28399326377958295"
"215","","","","0.2831412839882442","0.2831412839882442","0.2831412839882442"
"216","","","","0.28229186013627944","0.28229186013627944","0.28229186013627944"
"217","","","","0.2814449845558706","0.2814449845558706","0.2814449845558706"
"218","","","","0.28060064960220293","0.280600649602203","0.280600649602203"
"219","","","","0.2797588476533964","0.27975884765339637","0.27975884765339637"
