"Step","noisy_net: true - score","noisy_net: true - score__MIN","noisy_net: true - score__MAX"
"50","0.5136048879350219","0.2583992415978007","0.8085878462959631"
"100","0.6532119096701017","0.4089818155454356","0.8213959275805347"
"150","0.7447091772506386","0.5546981264239486","0.8567128381004052"
"200","0.7793098444693707","0.5850594612602174","0.87693834447516"
"250","0.794550022978602","0.5725625995195922","0.8949038987144867"
"300","0.8090903655203169","0.5851003788295713","0.8936664675594769"
"350","0.812903896457503","0.5922230131633609","0.9059851906609521"
"400","0.8132806392707249","0.5814182357046903","0.8955397217894989"
"450","0.8180514422003573","0.6100784261190596","0.9033657180706288"
"500","0.8201911415914617","0.6009793429300118","0.9118790347056315"
"550","0.8212944616192994","0.603060205807515","0.9059377072355437"
"600","0.8196915786887355","0.599875739933127","0.9058858652636654"
"650","0.8243381617147169","0.5972604214546143","0.8986446807181729"
"700","0.8236205136842053","0.6095731551769414","0.9100493192875158"
"750","0.8248466817843346","0.6073133159939675","0.9100031293034562"
"800","0.8250177430550194","0.6032503333509369","0.9180414449756225"
"850","0.8270662832910889","0.6040124347286171","0.915127798815923"
"900","0.8273064131405086","0.6050065751539071","0.9138396523317424"
"950","0.8240586543835697","0.6113999887873403","0.9189376642161219"
"1000","0.8274692373431211","0.6073741514354303","0.9181397441094714"
"1050","0.5436005919604463","0.16522267653722927","0.8222662007221718"
"1100","0.5571225477943519","0.1642232489431058","0.8202912535440412"
"1150","0.572040205954004","0.15353097260722817","0.8331213521312101"
"1200","0.5790038279763189","0.14650874946096853","0.847622183208037"
"1250","0.5883266346946597","0.15379789601366775","0.8522074203312451"
"1300","0.6256748895949774","0.17937793742469343","0.8533185974569271"
"1350","0.6323980221842523","0.18044304664330407","0.8625098007139158"
"1400","0.666575639526802","0.19797054620333188","0.8532497769564578"
"1450","0.6760351230971438","0.1654635477566714","0.8760245576108352"
"1500","0.6991673349727073","0.19462851701909367","0.880397787091681"
"1550","0.714343790020339","0.20806019316911964","0.8807040027164821"
"1600","0.7149807831959171","0.23773316307057432","0.8800111365677671"
"1650","0.725424006497211","0.3013533920937286","0.8810813206348515"
"1700","0.7367726554443148","0.3480717007780838","0.8782458638175121"
"1750","0.7419711783568083","0.5561960433885799","0.8782683658431013"
"1800","0.7536429607947029","0.5567635758004054","0.8769899587593178"
"1850","0.7572859558096894","0.5672261821095976","0.8796789804787402"
"1900","0.7641976632233232","0.564515624583042","0.8798826914872369"
"1950","0.7619209027551438","0.5639466288419289","0.880474957497724"
"2000","0.7681174493799556","0.5849029262810282","0.8815165859115741"
