"Name","batch_size","mean_regret","seed","env_id","_wandb"
"conbandit_combi1_0__2__2025-06-14_23-05","500","184.3572540283203","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_23-05","500","150.02252197265625","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_23-05","500","100.6829833984375","0","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_23-02","500","182.41172581506044","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-14_23-02","500","232.36709386334297","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_23-02","500","97.23004966592435","0","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-14_23-00","300","120.11061096191406","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_22-59","300","94.56865692138672","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_22-59","300","73.3995132446289","0","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_22-57","300","162.33964705570384","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-14_22-57","300","197.71424802653536","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_22-56","300","86.40018556116577","0","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-14_22-54","200","86.50389862060547","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_22-53","200","67.7459487915039","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_22-53","200","53.608299255371094","0","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_22-51","200","155.16602027579754","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-14_22-51","200","173.01455417199216","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_22-50","200","82.50020763113089","0","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-14_22-48","100","50.61854553222656","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_22-48","100","35.377662658691406","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_22-47","100","39.30963134765625","0","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_22-45","100","143.82639807945324","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-14_22-45","100","153.60360387287605","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_22-44","100","72.15967603368779","0","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-14_22-42","50","32.200706481933594","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_22-42","50","21.52889060974121","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_22-41","50","26.3143253326416","0","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_22-39","50","138.81838454989065","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-14_22-39","50","153.57381227635682","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_22-38","50","60.02170288561799","0","ContextualBandit-v2",""
