"Name","batch_size","mean_regret","seed","env_id","_wandb"
"conbandit_combi1_0__2__2025-06-14_23-06","500","184.36000061035156","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_23-06","500","149.9500732421875","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_23-05","500","102.18669128417967","0","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_23-03","500","185.4492697679227","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-14_23-03","500","238.5490576056893","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_23-03","500","120.02003101236112","0","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-14_23-01","300","120.10543060302734","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_23-00","300","94.52792358398438","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_23-00","300","74.19072723388672","0","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_22-58","300","167.20741377001792","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-14_22-57","300","202.0621145928677","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_22-57","300","106.77596446778573","0","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-14_22-55","200","86.50389862060547","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_22-54","200","67.70591735839844","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_22-54","200","54.105430603027344","0","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_22-52","200","161.67235130270575","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-14_22-52","200","176.49014661187786","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_22-51","200","99.41830116942056","0","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-14_22-49","100","50.61854553222656","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_22-49","100","35.308650970458984","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_22-48","100","40.12783432006836","0","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_22-46","100","151.34648795793703","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-14_22-46","100","157.19138116428215","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_22-45","100","94.1629935258148","0","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-14_22-43","50","32.200706481933594","2","NNBandit-v0",""
"conbandit_combi1_0__1__2025-06-14_22-43","50","21.45489501953125","1","NNBandit-v0",""
"conbandit_combi1_0__0__2025-06-14_22-43","50","26.715381622314453","0","NNBandit-v0",""
"conbandit_combi1_0__2__2025-06-14_22-40","50","145.4127263199309","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-14_22-40","50","156.57091725027342","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-14_22-39","50","90.12627107162162","0","ContextualBandit-v2",""
