"Name","batch_size","mean_regret","dynamic_rate","seed","env_id","memory_size","_wandb"
"conbandit_combi1_0__3__2025-06-18_16-00","100","88.99427795410156","1000","3","NNBandit-v0","2000",""
"conbandit_combi1_0__2__2025-06-18_16-00","100","55.83942031860352","1000","2","NNBandit-v0","2000",""
"conbandit_combi1_0__1__2025-06-18_16-00","100","39.53823471069336","1000","1","NNBandit-v0","2000",""
"conbandit_combi1_0__0__2025-06-18_16-00","100","43.00262451171875","1000","0","NNBandit-v0","2000",""
"conbandit_combi1_0__5__2025-06-18_15-59","100","55.38662338256836","1000","5","NNBandit-v0","1500",""
"conbandit_combi1_0__4__2025-06-18_15-59","100","90.71967315673828","1000","4","NNBandit-v0","1500",""
"conbandit_combi1_0__3__2025-06-18_15-59","100","88.97465515136719","1000","3","NNBandit-v0","1500",""
"conbandit_combi1_0__2__2025-06-18_15-59","100","55.83942031860352","1000","2","NNBandit-v0","1500",""
"conbandit_combi1_0__1__2025-06-18_15-58","100","39.53823471069336","1000","1","NNBandit-v0","1500",""
"conbandit_combi1_0__0__2025-06-18_15-58","100","43.044673919677734","1000","0","NNBandit-v0","1500",""
"conbandit_combi1_0__5__2025-06-18_15-58","100","55.38662338256836","1000","5","NNBandit-v0","1000",""
"conbandit_combi1_0__4__2025-06-18_15-58","100","90.71967315673828","1000","4","NNBandit-v0","1000",""
"conbandit_combi1_0__3__2025-06-18_15-57","100","88.88815307617188","1000","3","NNBandit-v0","1000",""
"conbandit_combi1_0__2__2025-06-18_15-57","100","55.83942031860352","1000","2","NNBandit-v0","1000",""
"conbandit_combi1_0__1__2025-06-18_15-57","100","39.53823471069336","1000","1","NNBandit-v0","1000",""
"conbandit_combi1_0__0__2025-06-18_15-57","100","42.91376876831055","1000","0","NNBandit-v0","1000",""
"conbandit_combi1_0__5__2025-06-18_15-56","100","55.38662338256836","1000","5","NNBandit-v0","500",""
"conbandit_combi1_0__4__2025-06-18_15-56","100","90.54710388183594","1000","4","NNBandit-v0","500",""
"conbandit_combi1_0__3__2025-06-18_15-56","100","89.26942443847656","1000","3","NNBandit-v0","500",""
"conbandit_combi1_0__2__2025-06-18_15-55","100","55.83942031860352","1000","2","NNBandit-v0","500",""
"conbandit_combi1_0__1__2025-06-18_15-55","100","39.658843994140625","1000","1","NNBandit-v0","500",""
"conbandit_combi1_0__0__2025-06-18_15-55","100","42.367149353027344","1000","0","NNBandit-v0","500",""
"conbandit_combi1_0__5__2025-06-18_15-55","100","77.07133374706898","1000","5","ContextualBandit-v2","2000",""
"conbandit_combi1_0__4__2025-06-18_15-54","100","254.57498725005436","1000","4","ContextualBandit-v2","2000",""
"conbandit_combi1_0__3__2025-06-18_15-54","100","97.81403303140178","1000","3","ContextualBandit-v2","2000",""
"conbandit_combi1_0__2__2025-06-18_15-54","100","165.46564468948188","1000","2","ContextualBandit-v2","2000",""
"conbandit_combi1_0__1__2025-06-18_15-54","100","168.03789401435984","1000","1","ContextualBandit-v2","2000",""
"conbandit_combi1_0__0__2025-06-18_15-53","100","109.82035025297267","1000","0","ContextualBandit-v2","2000",""
"conbandit_combi1_0__5__2025-06-18_15-53","100","76.38260483573158","1000","5","ContextualBandit-v2","1500",""
"conbandit_combi1_0__4__2025-06-18_15-53","100","254.28971013562153","1000","4","ContextualBandit-v2","1500",""
"conbandit_combi1_0__3__2025-06-18_15-53","100","97.2155527572376","1000","3","ContextualBandit-v2","1500",""
"conbandit_combi1_0__2__2025-06-18_15-52","100","166.2258693111393","1000","2","ContextualBandit-v2","1500",""
"conbandit_combi1_0__1__2025-06-18_15-52","100","167.58384467379005","1000","1","ContextualBandit-v2","1500",""
"conbandit_combi1_0__0__2025-06-18_15-52","100","108.72751378373948","1000","0","ContextualBandit-v2","1500",""
"conbandit_combi1_0__5__2025-06-18_15-52","100","76.19052551409875","1000","5","ContextualBandit-v2","1000",""
