"Step","env_id: NNBandit-v0 - regret","env_id: NNBandit-v0 - regret__MIN","env_id: NNBandit-v0 - regret__MAX"
"1","0.33367147219592125","0","0.7976152896881104"
"2","0.7493798835524197","0","1.574479341506958"
"3","1.0599908880118667","0","1.8847421407699585"
"4","1.417214838595226","0.13926172256469727","2.568458318710327"
"5","1.7560843517040383","0.13926172256469727","3.2716736793518066"
"6","2.136889091853438","0.5716629028320312","3.9713146686553955"
"7","2.450706851893458","0.7862073183059692","4.774927616119385"
"8","2.850981301274793","0.7945013046264648","5.0232462882995605"
"9","3.1764973730876527","0.7945013046264648","5.687490940093994"
"10","3.5786044741499015","0.8221250176429749","6.3433837890625"
"11","3.955762174622766","0.8486925959587097","6.672424793243408"
"12","4.326045932440922","1.2498183250427246","7.133940696716309"
"13","4.720579476192079","1.492136001586914","7.8651957511901855"
"14","5.064083563870397","1.536887288093567","8.259852409362793"
"15","5.417984386970257","1.9709312915802002","8.70529556274414"
"16","5.815295042662785","1.9975165128707886","9.308176040649414"
"17","6.190579044407811","2.0132579803466797","9.886312484741211"
"18","6.540622826280265","2.0951156616210938","10.536417007446289"
"19","6.853142853440909","2.1012380123138428","10.96092414855957"
"20","7.22482994507099","2.5305042266845703","11.706310272216797"
"21","7.5922927363165496","2.9696438312530518","11.899883270263672"
"22","7.996560992865727","3.3220744132995605","12.53557014465332"
"23","8.34751424296149","3.3887088298797607","13.157391548156738"
"24","8.734117614811865","3.851677656173706","13.739350318908691"
"25","9.0871351505148","4.370442867279053","14.571538925170898"
"26","9.46779910449324","4.38633394241333","15.146141052246094"
"27","9.900162515969113","4.708013534545898","15.47217082977295"
"28","10.289560663289038","5.113895416259766","15.85311508178711"
"29","10.783015432028934","5.48546028137207","16.386079788208008"
"30","11.149905369199555","5.651461601257324","16.96567726135254"
"31","11.495604054681186","5.74551248550415","17.71432113647461"
"32","11.854787185274322","6.143213272094727","18.490331649780273"
"33","12.249896296139422","6.2691473960876465","19.299177169799805"
"34","12.57618313822253","6.658736705780029","19.456941604614258"
"35","12.915897764008621","6.794276237487793","20.068029403686523"
"36","13.334836548772351","6.886712551116943","20.54854393005371"
"37","13.628174979111243","7.023792743682861","21.124483108520508"
"38","14.048000434349323","7.409614086151123","21.828718185424805"
"39","14.410213766426876","7.5502119064331055","22.403217315673828"
"40","14.769128108846731","7.705839157104492","22.7803897857666"
"41","15.199896993308231","7.867391109466553","23.3754825592041"
"42","15.528141186155121","8.664896011352539","24.234588623046875"
"43","15.879998930569354","8.668033599853516","24.932249069213867"
"44","16.170617465315193","8.801111221313477","25.552350997924805"
"45","16.53415512216502","8.89818000793457","26.292293548583984"
"46","16.9124745007219","8.95093059539795","27.143680572509766"
"47","17.222060466634815","9.091693878173828","27.696184158325195"
"48","17.539236364693476","9.140521049499512","27.845788955688477"
"49","17.82308423930201","9.27811336517334","27.93583869934082"
"50","18.137338112140522","9.361701011657715","28.457908630371094"
"51","18.463599040590484","9.596870422363281","29.137910842895508"
"52","18.82085053674106","9.596870422363281","29.69842529296875"
"53","19.165458120148756","9.720219612121582","29.969146728515625"
"54","19.49492651840736","9.855849266052246","30.277278900146484"
"55","19.892340890292463","9.901997566223145","30.780311584472656"
"56","20.252523257814605","10.225842475891113","31.043855667114258"
"57","20.663295285455114","10.313831329345703","31.74729347229004"
"58","21.031773468543744","10.386736869812012","32.39026641845703"
"59","21.379132928519414","10.496212005615234","32.92428970336914"
"60","21.77979982310328","10.782943725585938","33.53080749511719"
"61","22.15429375089448","10.897882461547852","34.01140213012695"
"62","22.519111666186102","11.000483512878418","34.555091857910156"
"63","22.918980466908422","11.088473320007324","35.113136291503906"
"64","23.3551497294985","11.2593994140625","35.563690185546875"
"65","23.7699383045065","11.288775444030762","36.46378707885742"
"66","24.13320304607523","11.471470832824707","37.29621505737305"
"67","24.497979887600604","11.743027687072754","37.94629669189453"
"68","24.882947987523572","11.84411334991455","38.666587829589844"
"69","25.2365555598818","12.283129692077637","39.21224594116211"
"70","25.653563598106647","12.732797622680664","39.978424072265625"
"71","25.999029784367004","12.870061874389648","40.493499755859375"
"72","26.322318142858045","13.184020042419434","40.99552536010742"
"73","26.70868679572796","13.631513595581055","41.6900520324707"
"74","27.08645435859417","13.706658363342285","42.44541549682617"
"75","27.45770470849399","13.890233039855957","42.93580627441406"
"76","27.861414218771046","13.98019790649414","43.57777404785156"
"77","28.252941855068865","14.183130264282227","43.57777404785156"
"78","28.61081859983247","14.328493118286133","43.60338592529297"
"79","28.935419214182886","14.578258514404297","43.60338592529297"
"80","29.299938070363012","14.877887725830078","44.279720306396484"
"81","29.687787680790343","15.255094528198242","44.959075927734375"
"82","30.044313924065953","15.652420997619629","45.90536880493164"
"83","30.37522736911116","15.697355270385742","46.093658447265625"
"84","30.71133409697434","15.808145523071289","46.372562408447266"
"85","31.093522992627374","15.930207252502441","46.92601013183594"
"86","31.501760680100013","16.32883644104004","47.58660125732422"
"87","31.82450162953344","16.703428268432617","48.24500274658203"
"88","32.20647890814419","16.830068588256836","48.91032028198242"
"89","32.5705215191019","17.228971481323242","49.7549934387207"
"90","32.951050265081996","17.313034057617188","50.27742004394531"
"91","33.33808747653303","17.675888061523438","50.82683563232422"
"92","33.72353737929772","18.05351448059082","51.306880950927734"
"93","34.055592898664806","18.414058685302734","52.14536666870117"
"94","34.415608570493504","18.636812210083008","53.10824203491211"
"95","34.8494837530728","19.020694732666016","53.860809326171875"
"96","35.21947564749882","19.137624740600586","54.40116882324219"
"97","35.604138209902004","19.318204879760742","54.98495101928711"
