"Step","conbandit_combi1_0__5820__2025-06-17_16-53 - score","conbandit_combi1_0__5820__2025-06-17_16-53 - score__MIN","conbandit_combi1_0__5820__2025-06-17_16-53 - score__MAX","conbandit_combi1_0__7324__2025-06-17_16-52 - score","conbandit_combi1_0__7324__2025-06-17_16-52 - score__MIN","conbandit_combi1_0__7324__2025-06-17_16-52 - score__MAX","conbandit_combi1_0__6341__2025-06-17_16-51 - score","conbandit_combi1_0__6341__2025-06-17_16-51 - score__MIN","conbandit_combi1_0__6341__2025-06-17_16-51 - score__MAX"
"1100","0.7626942920847116","0.7626942920847116","0.7626942920847116","1","1","1","0.37875898838043215","0.37875898838043215","0.37875898838043215"
"1150","0.7851852750773647","0.7851852750773647","0.7851852750773647","1","1","1","0.3685498684644699","0.3685498684644699","0.3685498684644699"
"1200","0.782325731062774","0.782325731062774","0.782325731062774","1","1","1","0.36794234573841095","0.36794234573841095","0.36794234573841095"
"1250","0.7790587381954814","0.7790587381954814","0.7790587381954814","1","1","1","0.3866094273328781","0.3866094273328781","0.3866094273328781"
"1300","0.7889640300808785","0.7889640300808785","0.7889640300808785","1","1","1","0.3882011088728905","0.3882011088728905","0.3882011088728905"
"1350","0.7961565677434987","0.7961565677434987","0.7961565677434987","1","1","1","0.367678180038929","0.367678180038929","0.367678180038929"
"1400","0.7825469948448733","0.7825469948448733","0.7825469948448733","1","1","1","0.37225658893585206","0.37225658893585206","0.37225658893585206"
"1450","0.7826672869102294","0.7826672869102294","0.7826672869102294","1","1","1","0.3524789637327194","0.3524789637327194","0.3524789637327194"
"1500","0.7958375130075538","0.7958375130075538","0.7958375130075538","1","1","1","0.3532663401961327","0.3532663401961327","0.3532663401961327"
"1550","0.7897487027384664","0.7897487027384664","0.7897487027384664","1","1","1","0.3741956898570061","0.3741956898570061","0.3741956898570061"
"1600","0.8043715600630488","0.8043715600630488","0.8043715600630488","1","1","1","0.3779727119207382","0.3779727119207382","0.3779727119207382"
"1650","0.768120319129957","0.768120319129957","0.768120319129957","1","1","1","0.377503998875618","0.377503998875618","0.377503998875618"
"1700","0.7920644545470441","0.7920644545470441","0.7920644545470441","1","1","1","0.3741012221574783","0.3741012221574783","0.3741012221574783"
"1750","0.7801042094075987","0.7801042094075987","0.7801042094075987","1","1","1","0.37154542207717894","0.37154542207717894","0.37154542207717894"
"1800","0.7973644790523973","0.7973644790523973","0.7973644790523973","1","1","1","0.3732703748345375","0.3732703748345375","0.3732703748345375"
"1850","0.8013920130421777","0.8013920130421777","0.8013920130421777","1","1","1","0.37553574204444884","0.37553574204444884","0.37553574204444884"
"1900","0.7881656060866213","0.7881656060866213","0.7881656060866213","1","1","1","0.3771285915374756","0.3771285915374756","0.3771285915374756"
"1950","0.7769951600726261","0.7769951600726261","0.7769951600726261","1","1","1","0.3605944865942001","0.3605944865942001","0.3605944865942001"
"2000","0.7885499610847835","0.7885499610847835","0.7885499610847835","1","1","1","0.372581507563591","0.372581507563591","0.372581507563591"
