"Step","conbandit_combi1_0__5820__2025-06-17_16-53 - exploration_rate","conbandit_combi1_0__5820__2025-06-17_16-53 - exploration_rate__MIN","conbandit_combi1_0__5820__2025-06-17_16-53 - exploration_rate__MAX","conbandit_combi1_0__7324__2025-06-17_16-52 - exploration_rate","conbandit_combi1_0__7324__2025-06-17_16-52 - exploration_rate__MIN","conbandit_combi1_0__7324__2025-06-17_16-52 - exploration_rate__MAX","conbandit_combi1_0__6341__2025-06-17_16-51 - exploration_rate","conbandit_combi1_0__6341__2025-06-17_16-51 - exploration_rate__MIN","conbandit_combi1_0__6341__2025-06-17_16-51 - exploration_rate__MAX"
"72","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"73","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"74","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"75","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"76","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"77","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"78","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"79","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"80","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"81","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"82","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"83","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"84","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"85","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"86","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"87","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"88","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"89","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"90","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"91","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"92","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"93","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"94","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"95","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"96","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"97","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"98","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"99","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"100","0.38","0.38","0.38","0.4","0.4","0.4","0.35","0.35","0.35"
"101","0.37886000000000003","0.37886000000000003","0.37886000000000003","0.4","0.4","0.4","0.35","0.35","0.35"
"102","0.37772342000000003","0.37772342000000003","0.37772342000000003","0.4","0.4","0.4","0.35","0.35","0.35"
"103","0.37659024974000005","0.37659024974000005","0.37659024974000005","0.4","0.4","0.4","0.35","0.35","0.35"
"104","0.37546047899078006","0.37546047899078006","0.37546047899078006","0.4","0.4","0.4","0.35","0.35","0.35"
"105","0.3743340975538077","0.3743340975538077","0.3743340975538077","0.4","0.4","0.4","0.35","0.35","0.35"
"106","0.37321109526114626","0.37321109526114626","0.37321109526114626","0.4","0.4","0.4","0.35","0.35","0.35"
"107","0.3720914619753628","0.3720914619753628","0.3720914619753628","0.4","0.4","0.4","0.35","0.35","0.35"
"108","0.3709751875894367","0.3709751875894367","0.3709751875894367","0.4","0.4","0.4","0.35","0.35","0.35"
"109","0.3698622620266684","0.3698622620266684","0.3698622620266684","0.4","0.4","0.4","0.35","0.35","0.35"
"110","0.36875267524058836","0.36875267524058836","0.36875267524058836","0.4","0.4","0.4","0.35","0.35","0.35"
"111","0.36764641721486657","0.36764641721486657","0.36764641721486657","0.4","0.4","0.4","0.35","0.35","0.35"
"112","0.36654347796322195","0.36654347796322195","0.36654347796322195","0.4","0.4","0.4","0.35","0.35","0.35"
"113","0.3654438475293323","0.3654438475293323","0.3654438475293323","0.4","0.4","0.4","0.35","0.35","0.35"
"114","0.3643475159867443","0.3643475159867443","0.3643475159867443","0.4","0.4","0.4","0.35","0.35","0.35"
"115","0.3632544734387841","0.3632544734387841","0.3632544734387841","0.4","0.4","0.4","0.35","0.35","0.35"
"116","0.36216471001846773","0.36216471001846773","0.36216471001846773","0.4","0.4","0.4","0.35","0.35","0.35"
"117","0.3610782158884123","0.3610782158884123","0.3610782158884123","0.4","0.4","0.4","0.35","0.35","0.35"
"118","0.3599949812407471","0.3599949812407471","0.3599949812407471","0.4","0.4","0.4","0.35","0.35","0.35"
"119","0.35891499629702484","0.35891499629702484","0.35891499629702484","0.4","0.4","0.4","0.35","0.35","0.35"
"120","0.35783825130813374","0.35783825130813374","0.35783825130813374","0.4","0.4","0.4","0.35","0.35","0.35"
"121","0.3567647365542093","0.3567647365542093","0.3567647365542093","0.4","0.4","0.4","0.35","0.35","0.35"
"122","0.35569444234454667","0.35569444234454667","0.35569444234454667","0.4","0.4","0.4","0.35","0.35","0.35"
"123","0.354627359017513","0.354627359017513","0.354627359017513","0.4","0.4","0.4","0.35","0.35","0.35"
"124","0.3535634769404605","0.3535634769404605","0.3535634769404605","0.4","0.4","0.4","0.35","0.35","0.35"
"125","0.35250278650963907","0.35250278650963907","0.35250278650963907","0.4","0.4","0.4","0.35","0.35","0.35"
"126","0.3514452781501102","0.3514452781501102","0.3514452781501102","0.4","0.4","0.4","0.35","0.35","0.35"
"127","0.35039094231565987","0.35039094231565987","0.35039094231565987","0.4","0.4","0.4","0.35","0.35","0.35"
"128","0.34933976948871287","0.34933976948871287","0.34933976948871287","0.4","0.4","0.4","0.35","0.35","0.35"
"129","0.3482917501802467","0.3482917501802467","0.3482917501802467","0.4","0.4","0.4","0.35","0.35","0.35"
"130","0.34724687492970596","0.34724687492970596","0.34724687492970596","0.4","0.4","0.4","0.35","0.35","0.35"
"131","0.34620513430491684","0.34620513430491684","0.34620513430491684","0.4","0.4","0.4","0.34895","0.34895","0.34895"
"132","0.34516651890200206","0.34516651890200206","0.34516651890200206","0.4","0.4","0.4","0.34790315","0.34790315","0.34790315"
"133","0.34413101934529605","0.34413101934529605","0.34413101934529605","0.4","0.4","0.4","0.34685944055","0.34685944055","0.34685944055"
"134","0.3430986262872602","0.3430986262872602","0.3430986262872602","0.4","0.4","0.4","0.34581886222835","0.34581886222835","0.34581886222835"
"135","0.3420693304083984","0.3420693304083984","0.3420693304083984","0.4","0.4","0.4","0.344781405641665","0.344781405641665","0.344781405641665"
"136","0.34104312241717316","0.34104312241717316","0.34104312241717316","0.4","0.4","0.4","0.34374706142474","0.34374706142474","0.34374706142474"
"137","0.34001999304992164","0.34001999304992164","0.34001999304992164","0.4","0.4","0.4","0.34271582024046576","0.34271582024046576","0.34271582024046576"
"138","0.33899993307077186","0.33899993307077186","0.33899993307077186","0.4","0.4","0.4","0.3416876727797444","0.3416876727797444","0.3416876727797444"
"139","0.33798293327155954","0.33798293327155954","0.33798293327155954","0.4","0.4","0.4","0.34066260976140517","0.34066260976140517","0.34066260976140517"
"140","0.33696898447174484","0.33696898447174484","0.33696898447174484","0.4","0.4","0.4","0.33964062193212097","0.33964062193212097","0.33964062193212097"
"141","0.3359580775183296","0.3359580775183296","0.3359580775183296","0.4","0.4","0.4","0.3386217000663246","0.3386217000663246","0.3386217000663246"
"142","0.33495020328577463","0.33495020328577463","0.33495020328577463","0.4","0.4","0.4","0.3376058349661256","0.3376058349661256","0.3376058349661256"
"143","0.3339453526759173","0.3339453526759173","0.3339453526759173","0.4","0.4","0.4","0.3365930174612272","0.3365930174612272","0.3365930174612272"
"144","0.33294351661788957","0.33294351661788957","0.33294351661788957","0.4","0.4","0.4","0.3355832384088435","0.3355832384088435","0.3355832384088435"
"145","0.3319446860680359","0.3319446860680359","0.3319446860680359","0.4","0.4","0.4","0.334576488693617","0.334576488693617","0.334576488693617"
"146","0.3309488520098318","0.3309488520098318","0.3309488520098318","0.4","0.4","0.4","0.33357275922753615","0.33357275922753615","0.33357275922753615"
"147","0.3299560054538023","0.3299560054538023","0.3299560054538023","0.4","0.4","0.4","0.33257204094985354","0.33257204094985354","0.33257204094985354"
"148","0.3289661374374409","0.3289661374374409","0.3289661374374409","0.4","0.4","0.4","0.331574324827004","0.331574324827004","0.331574324827004"
"149","0.3279792390251286","0.3279792390251286","0.3279792390251286","0.4","0.4","0.4","0.330579601852523","0.330579601852523","0.330579601852523"
"150","0.3269953013080532","0.3269953013080532","0.3269953013080532","0.4","0.4","0.4","0.3295878630469654","0.3295878630469654","0.3295878630469654"
"151","0.32601431540412906","0.32601431540412906","0.32601431540412906","0.4","0.4","0.4","0.3285990994578245","0.3285990994578245","0.3285990994578245"
"152","0.32503627245791666","0.32503627245791666","0.32503627245791666","0.39870967741935487","0.39870967741935487","0.39870967741935487","0.32761330215945106","0.32761330215945106","0.32761330215945106"
"153","0.32406116364054294","0.32406116364054294","0.32406116364054294","0.3974193548387097","0.3974193548387097","0.3974193548387097","0.3266304622529727","0.3266304622529727","0.3266304622529727"
"154","0.3230889801496213","0.3230889801496213","0.3230889801496213","0.39612903225806456","0.39612903225806456","0.39612903225806456","0.3256505708662138","0.3256505708662138","0.3256505708662138"
"155","0.32211971320917243","0.32211971320917243","0.32211971320917243","0.3948387096774194","0.3948387096774194","0.3948387096774194","0.32467361915361515","0.32467361915361515","0.32467361915361515"
"156","0.3211533540695449","0.3211533540695449","0.3211533540695449","0.39354838709677425","0.39354838709677425","0.39354838709677425","0.3236995982961543","0.3236995982961543","0.3236995982961543"
"157","0.3201898940073363","0.3201898940073363","0.3201898940073363","0.3922580645161291","0.3922580645161291","0.3922580645161291","0.32272849950126586","0.32272849950126586","0.32272849950126586"
"158","0.31922932432531426","0.31922932432531426","0.31922932432531426","0.39096774193548395","0.39096774193548395","0.39096774193548395","0.32176031400276206","0.32176031400276206","0.32176031400276206"
"159","0.3182716363523383","0.3182716363523383","0.3182716363523383","0.3896774193548388","0.3896774193548388","0.3896774193548388","0.3207950330607538","0.3207950330607538","0.3207950330607538"
"160","0.31731682144328127","0.31731682144328127","0.31731682144328127","0.38838709677419364","0.38838709677419364","0.38838709677419364","0.3198326479615715","0.3198326479615715","0.3198326479615715"
"161","0.31636487097895144","0.31636487097895144","0.31636487097895144","0.3870967741935485","0.3870967741935485","0.3870967741935485","0.3188731500176868","0.3188731500176868","0.3188731500176868"
"162","0.3154157763660146","0.3154157763660146","0.3154157763660146","0.38580645161290333","0.38580645161290333","0.38580645161290333","0.31791653056763375","0.31791653056763375","0.31791653056763375"
"163","0.31446952903691655","0.31446952903691655","0.31446952903691655","0.3845161290322582","0.3845161290322582","0.3845161290322582","0.31696278097593084","0.31696278097593084","0.31696278097593084"
"164","0.3135261204498058","0.3135261204498058","0.3135261204498058","0.383225806451613","0.383225806451613","0.383225806451613","0.31601189263300306","0.31601189263300306","0.31601189263300306"
"165","0.3125855420884564","0.3125855420884564","0.3125855420884564","0.3819354838709679","0.3819354838709679","0.3819354838709679","0.315063856955104","0.315063856955104","0.315063856955104"
"166","0.311647785462191","0.311647785462191","0.311647785462191","0.3806451612903227","0.3806451612903227","0.3806451612903227","0.3141186653842387","0.3141186653842387","0.3141186653842387"
"167","0.31071284210580447","0.31071284210580447","0.31071284210580447","0.37935483870967757","0.37935483870967757","0.37935483870967757","0.313176309388086","0.313176309388086","0.313176309388086"
"168","0.30978070357948706","0.30978070357948706","0.30978070357948706","0.3780645161290324","0.3780645161290324","0.3780645161290324","0.31223678045992176","0.31223678045992176","0.31223678045992176"
"169","0.3088513614687486","0.3088513614687486","0.3088513614687486","0.37677419354838726","0.37677419354838726","0.37677419354838726","0.311300070118542","0.311300070118542","0.311300070118542"
"170","0.30792480738434236","0.30792480738434236","0.30792480738434236","0.3754838709677421","0.3754838709677421","0.3754838709677421","0.3103661699081864","0.3103661699081864","0.3103661699081864"
"171","0.30700103296218934","0.30700103296218934","0.30700103296218934","0.37419354838709695","0.37419354838709695","0.37419354838709695","0.3094350713984618","0.3094350713984618","0.3094350713984618"
"172","0.3060800298633028","0.3060800298633028","0.3060800298633028","0.3729032258064518","0.3729032258064518","0.3729032258064518","0.3085067661842664","0.3085067661842664","0.3085067661842664"
"173","0.3051617897737129","0.3051617897737129","0.3051617897737129","0.37161290322580665","0.37161290322580665","0.37161290322580665","0.3075812458857136","0.3075812458857136","0.3075812458857136"
"174","0.30424630440439177","0.30424630440439177","0.30424630440439177","0.3703225806451615","0.3703225806451615","0.3703225806451615","0.30665850214805646","0.30665850214805646","0.30665850214805646"
"175","0.30333356549117857","0.30333356549117857","0.30333356549117857","0.36903225806451634","0.36903225806451634","0.36903225806451634","0.3057385266416123","0.3057385266416123","0.3057385266416123"
"176","0.30242356479470506","0.30242356479470506","0.30242356479470506","0.3677419354838712","0.3677419354838712","0.3677419354838712","0.3048213110616874","0.3048213110616874","0.3048213110616874"
"177","0.30151629410032094","0.30151629410032094","0.30151629410032094","0.36645161290322603","0.36645161290322603","0.36645161290322603","0.30390684712850236","0.30390684712850236","0.30390684712850236"
"178","0.30061174521802","0.30061174521802","0.30061174521802","0.3651612903225809","0.3651612903225809","0.3651612903225809","0.30299512658711686","0.30299512658711686","0.30299512658711686"
"179","0.2997099099823659","0.2997099099823659","0.2997099099823659","0.3638709677419357","0.3638709677419357","0.3638709677419357","0.3020861412073555","0.3020861412073555","0.3020861412073555"
"180","0.2988107802524188","0.2988107802524188","0.2988107802524188","0.36258064516129057","0.36258064516129057","0.36258064516129057","0.3011798827837334","0.3011798827837334","0.3011798827837334"
"181","0.29791434791166155","0.29791434791166155","0.29791434791166155","0.3612903225806454","0.3612903225806454","0.3612903225806454","0.3002763431353822","0.3002763431353822","0.3002763431353822"
"182","0.2970206048679266","0.2970206048679266","0.2970206048679266","0.36000000000000026","0.36000000000000026","0.36000000000000026","0.29937551410597607","0.29937551410597607","0.29937551410597607"
"183","0.2961295430533228","0.2961295430533228","0.2961295430533228","0.3587096774193551","0.3587096774193551","0.3587096774193551","0.29847738756365816","0.29847738756365816","0.29847738756365816"
"184","0.2952411544241628","0.2952411544241628","0.2952411544241628","0.35741935483870996","0.35741935483870996","0.35741935483870996","0.29758195540096716","0.29758195540096716","0.29758195540096716"
"185","0.29435543096089034","0.29435543096089034","0.29435543096089034","0.3561290322580648","0.3561290322580648","0.3561290322580648","0.29668920953476424","0.29668920953476424","0.29668920953476424"
"186","0.2934723646680077","0.2934723646680077","0.2934723646680077","0.35483870967741965","0.35483870967741965","0.35483870967741965","0.29579914190615997","0.29579914190615997","0.29579914190615997"
"187","0.29259194757400364","0.29259194757400364","0.29259194757400364","0.3535483870967745","0.3535483870967745","0.3535483870967745","0.2949117444804415","0.2949117444804415","0.2949117444804415"
"188","0.2917141717312816","0.2917141717312816","0.2917141717312816","0.35225806451612934","0.35225806451612934","0.35225806451612934","0.29402700924700015","0.29402700924700015","0.29402700924700015"
"189","0.2908390292160878","0.2908390292160878","0.2908390292160878","0.3509677419354842","0.3509677419354842","0.3509677419354842","0.29314492821925914","0.29314492821925914","0.29314492821925914"
"190","0.28996651212843955","0.28996651212843955","0.28996651212843955","0.34967741935483904","0.34967741935483904","0.34967741935483904","0.29226549343460134","0.29226549343460134","0.29226549343460134"
"191","0.2890966125920542","0.2890966125920542","0.2890966125920542","0.3483870967741939","0.3483870967741939","0.3483870967741939","0.29138869695429753","0.29138869695429753","0.29138869695429753"
"192","0.28822932275427804","0.28822932275427804","0.28822932275427804","0.34709677419354873","0.34709677419354873","0.34709677419354873","0.29051453086343465","0.29051453086343465","0.29051453086343465"
"193","0.2873646347860152","0.2873646347860152","0.2873646347860152","0.3458064516129036","0.3458064516129036","0.3458064516129036","0.28964298727084437","0.28964298727084437","0.28964298727084437"
