"Step","noisy_net: true - exploration_rate","noisy_net: true - exploration_rate__MIN","noisy_net: true - exploration_rate__MAX"
"10","0.46166666666666656","0.09999999999999998","0.7"
"20","0.4683333333333334","0.14999999999999997","0.7"
"30","0.4816666666666666","0.21666666666666667","0.65"
"40","0.485","0.25","0.65"
"50","0.49","0.25","0.61"
"60","0.49277777777777776","0.3333333333333333","0.6083333333333333"
"70","0.4952380952380952","0.3642857142857143","0.6357142857142858"
"80","0.4829166666666667","0.35000000000000003","0.6062500000000001"
"90","0.4716666666666666","0.3111111111111111","0.6055555555555555"
"100","0.4644999999999999","0.29000000000000004","0.58"
"110","0.4525757575757576","0.28181818181818186","0.5590909090909091"
"120","0.4413888888888889","0.2625","0.5666666666666667"
"130","0.42961538461538445","0.24615384615384617","0.5692307692307692"
"140","0.41892857142857143","0.2392857142857143","0.5571428571428572"
"150","0.40988888888888886","0.22333333333333333","0.5700000000000001"
"160","0.40072916666666664","0.20937500000000003","0.565625"
"170","0.3958823529411765","0.1970588235294118","0.5558823529411765"
"180","0.3873148148148148","0.1916666666666667","0.5555555555555557"
"190","0.3789473684210527","0.1815789473684211","0.555263157894737"
"200","0.3700833333333334","0.17500000000000004","0.5475000000000001"
"210","0.35766666666666663","0.15250000000000002","0.5375000000000001"
"220","0.3465","0.14250000000000002","0.5275000000000001"
"230","0.3315833333333334","0.12250000000000001","0.5250000000000001"
"240","0.31849999999999995","0.12250000000000001","0.52"
"250","0.3030833333333333","0.0825","0.5250000000000001"
"260","0.2865833333333333","0.05500000000000001","0.52"
"270","0.2711666666666667","0.0425","0.5"
"280","0.2605","0.037500000000000006","0.47750000000000004"
"290","0.2505833333333333","0.037500000000000006","0.4700000000000001"
"300","0.23866666666666672","0.03500000000000001","0.4675000000000001"
"310","0.22733333333333333","0.025000000000000012","0.45500000000000007"
"320","0.2189166666666667","0.02250000000000001","0.4574999999999999"
"330","0.21325","0.020000000000000007","0.4575"
"340","0.20525000000000004","0.012500000000000006","0.4625"
"350","0.19733333333333336","0.010000000000000009","0.45999999999999996"
"360","0.19049999999999997","0.007500000000000007","0.4375"
"370","0.18208333333333332","0.012500000000000006","0.4175000000000001"
"380","0.175","0.007500000000000007","0.4149999999999999"
"390","0.16866666666666663","0.007500000000000007","0.3975"
"400","0.16591666666666666","0.0050000000000000044","0.38"
"410","0.16099999999999998","0.0050000000000000044","0.41000000000000003"
"420","0.1541666666666667","0.0050000000000000044","0.39"
"430","0.14858333333333335","0.007500000000000007","0.4175000000000001"
"440","0.14125000000000001","0.0050000000000000044","0.40249999999999997"
"450","0.1355","0.0050000000000000044","0.41500000000000004"
"460","0.13275","0.0050000000000000044","0.4425"
"470","0.12758333333333335","0.0025000000000000022","0.45499999999999996"
"480","0.12333333333333336","0.0025000000000000022","0.43499999999999994"
"490","0.11999999999999998","0.0025000000000000022","0.425"
"500","0.11808333333333333","0.0025000000000000022","0.4225"
"510","0.11633333333333333","0.0025000000000000022","0.4125"
"520","0.11183333333333333","0.0025000000000000022","0.4125"
"530","0.10741666666666665","0.0025000000000000022","0.40499999999999997"
"540","0.1045","0","0.3975"
"550","0.10233333333333332","0","0.39999999999999997"
"560","0.10016666666666667","0","0.37750000000000006"
"570","0.09641666666666664","0","0.33999999999999997"
"580","0.09566666666666665","0","0.31750000000000006"
"590","0.09516666666666666","0","0.31250000000000006"
"600","0.09349999999999999","0","0.3425"
"610","0.09225000000000001","0","0.34500000000000003"
"620","0.08883333333333335","0","0.34750000000000003"
"630","0.08858333333333333","0","0.3425"
