"Step","env_id: ContextualBandit-v2 - regret","env_id: ContextualBandit-v2 - regret__MIN","env_id: ContextualBandit-v2 - regret__MAX"
"1","0.3782859004716407","0","0.7504767509115717"
"2","0.7116206413930289","0.14567439293428663","1.4839170364548482"
"3","1.0791049985401895","0.2614927951016527","2.272491270153518"
"4","1.3813549538987935","0.3482033252024098","3.0754594843418683"
"5","1.7246103172827454","0.7461646443896061","3.9088829246422825"
"6","2.0546755881356296","0.8278885794406294","4.038466774034174"
"7","2.425667941246608","1.048341310968218","4.709769073764668"
"8","2.6416810475879897","1.1001080997032557","5.354418545054382"
"9","3.0578768266445673","1.2070703320793874","6.021750471680324"
"10","3.47702648020828","1.531170253518884","6.847135317237435"
"11","3.842111540261498","1.7091072924219577","7.204957252797119"
"12","4.226117644962302","1.947871471982269","7.613200293309727"
"13","4.54096971773471","1.9755284363502432","8.2482848379299"
"14","4.884638624809554","2.222528611215573","8.869464874051776"
"15","5.224560841697916","2.4401243496224168","9.150288680680251"
"16","5.610803498827226","2.562735232761238","9.558364378061858"
"17","5.890439473898444","2.6500381123262637","9.920671135276933"
"18","6.166775463572928","2.9740503036246646","9.920671135276933"
"19","6.528585145533928","2.9740503036246646","9.920671135276933"
"20","6.894502116438204","3.3909061970819048","10.6037316176625"
"21","7.250168087361307","3.713080734659381","11.377698250455673"
"22","7.624114194168729","4.179564079637255","12.05518506344744"
"23","8.015064096471216","4.332061445216041","12.05518506344744"
"24","8.292708991964167","4.64607065986987","12.67961152060906"
"25","8.690377703632725","4.64607065986987","13.042139495432963"
"26","9.019680536323873","4.819611574175701","13.261361659137362"
"27","9.323203293545138","4.819611574175701","13.724512866838024"
"28","9.713945792498484","5.177189697963441","14.476546986393416"
"29","10.095657909012766","5.492767194508256","15.248596200012507"
"30","10.507879242386286","5.595340380443739","15.732320349768123"
"31","10.890949270450479","6.060251460315453","16.593618427618495"
"32","11.23383759005285","6.179482221508714","16.91539057347045"
"33","11.504569518675032","6.438921660465066","17.48183615519195"
"34","11.900139380844033","6.438921660465066","18.26411944761181"
"35","12.178913145421753","6.438921660465066","18.8314345619662"
"36","12.577780496200416","6.438921660465066","19.595470862285403"
"37","12.88970108482185","6.896014467811553","20.428979662916177"
"38","13.195434092377548","7.237061294775673","21.039424045999912"
"39","13.494853518302651","7.366890918335192","21.72725210849302"
"40","13.77931287073336","7.795039766762907","21.750921555316538"
"41","14.113000690281808","8.054013244927377","21.973475541526508"
"42","14.458056267758403","8.139077600724367","22.673646964393157"
"43","14.85869565187514","8.287926178321605","23.32177767315498"
"44","15.170823574946992","8.478180723276196","23.32177767315498"
"45","15.565799039831425","8.723359392853464","24.24285170552678"
"46","15.908824746384727","9.086874503580399","24.841240081430595"
"47","16.259642560243616","9.369119833727366","25.012705174197606"
"48","16.640043688335624","9.430516149026168","25.811749428315423"
"49","17.05601392299341","9.430516149026168","26.680635793071048"
"50","17.46805870776243","10.04672967955157","27.337701890875653"
"51","17.807178794871415","10.107888315629616","28.22458603086037"
"52","18.125518919305264","10.146067130583583","28.602123814962333"
"53","18.358432099137477","10.204537443711628","29.085087084526574"
"54","18.62864356890924","10.218057188636607","29.421573154123553"
"55","19.01176739686271","10.572714273560269","29.846647398813257"
"56","19.3479555382136","10.62322951555591","30.211810432774858"
"57","19.73670011842013","11.215111802942689","30.552931157975525"
"58","20.00482355667062","11.326930595707971","31.00460259620015"
"59","20.32126535426448","11.397693211581398","31.461157896689738"
"60","20.598091960622828","11.436720297638235","31.83944727705802"
"61","20.920951287779708","11.481642651908883","32.19733745513707"
"62","21.195036126041888","11.556147087884625","32.536851130622495"
"63","21.4685083715241","12.23931543796157","33.008430658698"
"64","21.73334640430515","12.414172534177112","33.37316474760885"
"65","21.99912464610496","12.558527788442428","33.83924154693973"
"66","22.23797120890352","12.619075223906004","34.20959306026189"
"67","22.449992508391134","12.676053350390045","34.636000564275726"
"68","22.746501799424323","12.74562486264893","35.06432642923767"
"69","23.025004100777476","13.01297645369412","35.62117464924087"
"70","23.31771270278636","13.204847974809283","36.05991170140288"
"71","23.598679853469456","13.269596067012484","36.10172598738635"
"72","23.859402915937565","13.334567133305589","36.51392100087103"
"73","24.122693832337525","13.470667646711926","36.90099994990097"
"74","24.381459948978193","13.565678915928498","37.22250351766576"
"75","24.58597488182856","13.812691601737033","37.377224513159305"
"76","24.876170769348512","13.959704074508291","38.01828505181335"
"77","25.054065924203616","14.245317959463103","38.194690622082405"
"78","25.301967710918998","14.245317959463103","38.194690622082405"
"79","25.537787215442602","14.727846388420712","38.46852738106594"
"80","25.7559249012657","14.791331172695946","38.46852738106594"
"81","26.024179797454032","15.011647944823181","38.91404155665933"
"82","26.258394020596924","15.16035485906668","39.19459627954538"
"83","26.478589472789107","15.32158893992892","39.19459627954538"
"84","26.712910180424053","15.437345596162263","39.19459627954538"
"85","26.893444754911624","15.482425000420971","39.19459627954538"
"86","27.11311959979781","15.565012705356413","39.475358246983326"
"87","27.2813474548265","15.60976651091909","40.03894968611582"
"88","27.409926234502265","15.897604820552075","40.188581681503095"
"89","27.629952025036935","16.174872877217826","40.484630596051744"
"90","27.830559742534323","16.211564918625616","41.18972984800111"
"91","28.063212309538244","16.274285339301798","41.18972984800111"
"92","28.24188256675384","16.364407120800088","41.20005491133956"
"93","28.46972696715973","16.718951547391992","42.15346308417539"
"94","28.638690617361735","16.718951547391992","42.15346308417539"
"95","28.850125616577085","17.19313558414788","42.15346308417539"
"96","29.006780169943344","17.19313558414788","42.77561010038807"
