"Step","noisy_net: true - score","noisy_net: true - score__MIN","noisy_net: true - score__MAX"
"50","0.489413582756926","0.3012569378727112","0.7345087194986284"
"100","0.6325617082533965","0.3838291452418361","0.8335098679701514"
"150","0.7188547479935463","0.4930283314663426","0.8443370184007971"
"200","0.7500934252368963","0.5364273994508302","0.8481515513610627"
"250","0.7650342146646203","0.5701100985385916","0.8710843267102456"
"300","0.7745189000557524","0.5250475450873545","0.8916998109516661"
"350","0.7849296060435562","0.5511868918341662","0.883198160789345"
"400","0.7925582002100945","0.5551116786842711","0.8882328561067022"
"450","0.7949243697513001","0.5823557224433444","0.883958626067664"
"500","0.7981551523206645","0.5781619717996553","0.8913577758203531"
"550","0.8010654159811438","0.56364270916346","0.9021211598342592"
"600","0.794050635473361","0.5293407605838089","0.9021115823126163"
"650","0.8018374207620937","0.5598952045147876","0.8988311905104517"
"700","0.8035042130815097","0.573987447736435","0.906283656818898"
"750","0.8029907374928306","0.553733676383096","0.9000828826115073"
"800","0.8031225303842287","0.569340818297779","0.8952516670042661"
"850","0.8044020980396106","0.5322327076832392","0.9001100162076929"
"900","0.8058430057514872","0.5848547967771883","0.9032110472568377"
"950","0.8052812576578081","0.55165027915606","0.9002219144550021"
"1000","0.8067364396228508","0.571631380993678","0.9099018245828693"
"1050","0.562939051449002","0.23293268230570452","0.8534859811702331"
"1100","0.577293646268762","0.20239108353386043","0.8644591830988635"
"1150","0.6023468360694133","0.2747438993522333","0.8675922903689262"
"1200","0.6205024770710484","0.2268906764429375","0.8733968096929213"
"1250","0.6322414952089307","0.3060469313383713","0.8730623380532648"
"1300","0.6543170535525352","0.27254242697620357","0.8635761470967307"
"1350","0.6662159371462295","0.29856576322073763","0.8810030145024796"
"1400","0.6804552633138159","0.29726777178609187","0.8728539759069232"
"1450","0.6880544701832533","0.3129918638688148","0.8780529975504838"
"1500","0.7031283655337448","0.285809199557997","0.8747235421453144"
"1550","0.7029895393690375","0.3047601649863816","0.8736830934217445"
"1600","0.7131732836226539","0.353105157834093","0.8759985185686733"
"1650","0.7358737718640184","0.4004206321408382","0.8847051496748756"
"1700","0.7407851138098428","0.4228669372728314","0.876892581889235"
"1750","0.7535158815949703","0.44797467917987804","0.8815262454273194"
"1800","0.7581316002560441","0.46314715766390147","0.8826917716407607"
"1850","0.7626313096377534","0.5075396972048284","0.8832191257860604"
"1900","0.7659101073421711","0.5022133902477316","0.8805520306629837"
"1950","0.7676918577660238","0.5111239543712265","0.8812469130151774"
"2000","0.767602233158099","0.5153336152445747","0.8819767650227976"
