"Step","noisy_net: true - regret","noisy_net: true - regret__MIN","noisy_net: true - regret__MAX"
"1","0.43035207387748076","0","0.767253314113427"
"2","0.7755551456269508","0","1.4922267866836594"
"3","1.1531154769263219","0.2132796126505534","1.9942667685749726"
"4","1.4896644638560446","0.2725950046947442","2.7190197887780587"
"5","1.8260670105646133","0.44471878741212856","2.861164069178187"
"6","2.133139093260414","0.5675464485247129","3.511129275037817"
"7","2.527970923416447","0.601439448555425","4.277486654259318"
"8","2.8865321245557607","0.601439448555425","4.834002009552052"
"9","3.2033616524251913","0.7567600098828035","5.3669880898896585"
"10","3.59258936841846","0.86930668345225","5.604419443505236"
"11","3.9648543594030885","1.0100577325853397","6.233760843528702"
"12","4.2991727750812","1.044862768814637","6.7323099277730405"
"13","4.595614157279532","1.1174569386364968","7.008654869572682"
"14","4.966007598177598","1.253329114101438","7.443758565109829"
"15","5.336325882539499","1.522958229393499","8.139630329703973"
"16","5.712281567716586","1.667257734378362","8.476002793622529"
"17","6.106831984764339","1.667257734378362","9.181549448442594"
"18","6.430016027200719","1.667257734378362","9.85779132511102"
"19","6.777448873302244","1.7022372952764457","10.522641427571662"
"20","7.093455490579746","1.825485791088321","10.80751286350114"
"21","7.417225135992083","1.9306522771154917","11.465635263813892"
"22","7.735615650688741","2.063315761073382","12.08970564836065"
"23","8.023632469307065","2.063315761073382","12.818952493840863"
"24","8.408673017217145","2.166199252805609","13.472342935779212"
"25","8.837257799123348","2.3011776566354385","14.197158467815028"
"26","9.194046857161007","2.3011776566354385","14.923439614719694"
"27","9.559749810237715","2.4229715948290558","15.590809312955372"
"28","9.918164937774156","2.8055697780042115","15.590809312955372"
"29","10.309901789268077","3.275833483100063","16.294759089871363"
"30","10.625244355976132","3.275833483100063","16.294759089871363"
"31","11.003117847531277","3.6118130381991964","16.99143694214932"
"32","11.35108588595756","3.682432947093644","17.590905670599305"
"33","11.686195302272562","3.8084883330931274","18.325445226201463"
"34","12.051469168966594","3.8941567102722523","19.064566025670146"
"35","12.419183372043086","3.995507298188473","19.064566025670146"
"36","12.766999501608636","4.124797583374914","19.744781802919775"
"37","13.137921734015544","4.124797583374914","20.526584565196753"
"38","13.5485199851388","4.244189352223099","21.091633265263418"
"39","13.940378009215436","4.503862046019257","21.741344910906665"
"40","14.309143888896214","4.562529897995042","22.206954352540798"
"41","14.662667640906587","4.666556510271533","22.731346384178032"
"42","15.036767364137672","4.6989115263683985","22.82892749973672"
"43","15.41661062812422","4.72698504685681","23.218871151645452"
"44","15.774623736658521","4.849169762406726","23.8391757857772"
"45","16.16067211470315","4.982795596311968","24.575392088685927"
"46","16.49293155189134","5.100291429712691","25.208589041405528"
"47","16.84996296603071","5.133170798437756","25.843457056301993"
"48","17.262393688455013","5.3048768658435925","26.12082728144592"
"49","17.635385694306486","5.347479447129875","26.684773183181107"
"50","18.020431965503462","5.381774463167442","27.294931103097596"
"51","18.360497587602264","5.558382483300694","27.956610560358165"
"52","18.68265829222982","5.648103598370021","28.516212670566155"
"53","19.04556520078952","5.72776342067283","29.072792000813617"
"54","19.35274126349525","5.7627761449393065","29.66629544659946"
"55","19.638676916997323","5.875643570816934","29.79744410503573"
"56","19.87992805467025","6.013675993002616","30.207937500494932"
"57","20.20859971160954","6.139078361553981","30.618775165867447"
"58","20.48142640077985","6.173921155069963","31.2226736662478"
"59","20.785045970997604","6.203079738681984","31.813564414270783"
"60","21.037577839126406","6.237210285161838","32.44895723555442"
"61","21.24000108636419","6.3128765148346915","32.954762901535645"
"62","21.455570078764314","6.436165806250864","33.47648649423232"
"63","21.762663268333775","6.436165806250864","34.09636600512425"
"64","22.003265832387385","6.463491661607783","34.3608006809512"
"65","22.319852459363567","6.5224785941498915","34.89337485992841"
"66","22.62610531124896","6.943850527854559","35.4308342551654"
"67","22.832697183370588","6.974688226446342","36.17890875179082"
"68","23.078185456614634","7.1089712520568344","36.53417692304527"
"69","23.279456804139375","7.2279897738900845","36.68092330546282"
"70","23.505365847408374","7.333490846476013","37.36036142625098"
"71","23.70215960566515","7.378753301238881","38.02303801933084"
"72","23.926899309116404","7.521238647916841","38.17206855563478"
"73","24.215278220720624","7.966902488284503","38.883308950396724"
"74","24.39730893775557","8.153055283659944","39.26099992334909"
"75","24.547797498504796","8.292981550340691","39.69522585672057"
"76","24.764707124514022","8.42666150243016","40.31255690943288"
"77","24.96301008258153","8.54355767025996","40.812368506638094"
"78","25.162281365385592","8.685076468483766","41.194360149478065"
"79","25.359977737115084","8.809005766253375","41.97158004904353"
"80","25.576170452428563","8.92012737300309","42.23565941475192"
"81","25.763413278921046","8.92012737300309","42.696503985257"
"82","25.943587549719968","9.065972757696528","43.229656848674395"
"83","26.082146383272082","9.100379677155486","43.486497476229125"
"84","26.260832601628827","9.162738922487062","43.644637581282474"
"85","26.42070635343708","9.543135786745962","44.14194702195655"
"86","26.57634347806056","9.575950292239115","44.35917483906997"
"87","26.73804088818285","9.575950292239115","44.74423277018363"
"88","26.908065027849194","9.575950292239115","45.256653178879326"
"89","27.101033388925906","9.778107677224323","45.43967942027944"
"90","27.24825744429717","10.015593795621328","46.1541348742369"
"91","27.374535223776075","10.129975200659578","46.43229365353699"
"92","27.493439929168083","10.129975200659578","46.55896406730757"
"93","27.66189586453716","10.129975200659578","47.178718000096744"
"94","27.86250656946191","10.129975200659578","47.445869614769585"
"95","28.038904066407255","10.275385554064938","47.808404712484375"
"96","28.181211602468334","10.421511229990243","48.235703840721385"
"97","28.31247632105614","10.556210853486435","48.41141798934244"
