"Step","noisy_net: false - regret","noisy_net: false - regret__MIN","noisy_net: false - regret__MAX"
"1","0.39993778162062094","0","0.7702538497251705"
"2","0.7485445809032459","0","1.3667111393186273"
"3","1.083835127337424","0.09394452603829051","2.180135963118929"
"4","1.5137614223642022","0.09394452603829051","2.832401543488629"
"5","1.8797492145960963","0.09559673908449096","3.6898095130555593"
"6","2.233960998365284","0.3427168427139745","4.2622486948153195"
"7","2.5815388295287494","0.3427168427139745","5.0459142712513785"
"8","3.004378151675632","0.9603027230967992","5.588055932499991"
"9","3.3894039897237165","0.9987638063259309","6.0876641930070665"
"10","3.7623674746588454","1.340011794750837","6.7799343292272525"
"11","4.171393738254752","1.5238338634953055","7.404242133287979"
"12","4.582461138743432","1.7703943509021753","8.175310202747125"
"13","5.040261417562939","2.242782679218713","9.045455618031585"
"14","5.457608965767105","2.5870323209661743","9.63048936577486"
"15","5.805987621009296","2.5870323209661743","10.358617997519179"
"16","6.173331260567528","2.7822174500586216","10.785223439797415"
"17","6.554846608008253","3.0971817568251003","11.689511486481697"
"18","6.909223882834089","3.1334903840168273","12.547501319367703"
"19","7.2569411995953255","3.1760107922471996","12.995240306031437"
"20","7.653569500878388","3.1760107922471996","13.719996033072894"
"21","7.975773410209191","3.2817282551169775","14.569556384234263"
"22","8.31308826926998","3.5091845719861614","15.261315374451843"
"23","8.747829130741811","3.5091845719861614","15.94331038245782"
"24","9.10544416201575","3.7259251484029314","16.345535960659994"
"25","9.501017426489778","4.092658103451904","17.007422252553816"
"26","9.982701995411684","4.207696545525601","17.007422252553816"
"27","10.35624818229048","4.3535193091587026","17.396349155433924"
"28","10.724554390456786","4.431720410845685","18.089210229696324"
"29","11.066062501667812","4.466462545927486","18.93592623568005"
"30","11.544631669436262","4.971231411409278","19.81613543664541"
"31","11.998289726721799","5.029303316648597","20.626593213241673"
"32","12.375057164662442","5.176898979654701","21.373384341784874"
"33","12.808027855068813","5.669762142125119","22.273774461643637"
"34","13.183057947582824","6.184001420898228","23.013403470007916"
"35","13.631320177293272","6.2261120533066885","23.73209781974367"
"36","13.998671162284534","6.2261120533066885","24.537009692961778"
"37","14.362653489767219","6.227951425748179","25.2462620798068"
"38","14.74910229166925","6.4357100802594065","25.78976175595455"
"39","15.054168528101703","6.494890428298715","26.27188733707442"
"40","15.455499560487686","6.635013447619981","26.791565354024904"
"41","15.78450180685007","6.682074498923521","27.095371227001216"
"42","16.207715351547336","7.17311375168902","27.694190128770003"
"43","16.622801783603542","7.367193075437109","28.53598602498954"
"44","16.91419973539528","7.370161880656497","28.98696741981854"
"45","17.208900404877586","7.525505501517415","29.40539226729114"
"46","17.668693181489534","8.019223235698353","30.011329311988387"
"47","18.04519644669208","8.072545681883902","30.740965323709872"
"48","18.47518425272187","8.072545681883902","31.421034120950715"
"49","18.83453678947063","8.188018888041231","31.98769417675931"
"50","19.247033563505592","8.188018888041231","32.813130662307316"
"51","19.633289052299517","8.636786601488904","33.50335549353996"
"52","19.94501608044627","8.636786601488904","33.97459717772129"
"53","20.329597573581015","9.053069650210425","34.62776411416007"
"54","20.591185566935565","9.263618768940105","35.356796057025676"
"55","20.89079972301591","9.317527969709802","36.11647689747529"
"56","21.230418256961766","9.40361311717587","36.971794442008765"
"57","21.50933609189303","9.40361311717587","37.60118974922547"
"58","21.840979688824174","9.40361311717587","38.22122984616742"
"59","22.033753878183415","9.424173231537958","38.68930515730326"
"60","22.305464860189588","9.424173231537958","39.23156390502152"
"61","22.56858453589733","9.424173231537958","39.96943280990141"
"62","22.886327049551465","9.677292120669101","40.3678183714671"
"63","23.234580344089945","9.677292120669101","41.096794396933426"
"64","23.51189271681019","10.018283617346862","41.096794396933426"
