"Step","noisy_net: false - exploration_rate","noisy_net: false - exploration_rate__MIN","noisy_net: false - exploration_rate__MAX"
"1","0.5","0.5","0.5"
"2","0.4990000000000002","0.499","0.499"
"3","0.4980019999999997","0.498002","0.498002"
"4","0.4970059960000003","0.497005996","0.497005996"
"5","0.49601198400799984","0.496011984008","0.496011984008"
"6","0.49501996003998416","0.495019960039984","0.495019960039984"
"7","0.4940299201199037","0.49402992011990404","0.49402992011990404"
"8","0.49304186027966423","0.49304186027966423","0.49304186027966423"
"9","0.4920557765591051","0.49205577655910493","0.49205577655910493"
"10","0.4910716650059865","0.4910716650059867","0.4910716650059867"
"11","0.4900895216759747","0.49008952167597475","0.49008952167597475"
"12","0.4891093426326231","0.4891093426326228","0.4891093426326228"
"13","0.48813112394735775","0.4881311239473575","0.4881311239473575"
"14","0.48715486169946265","0.4871548616994628","0.4871548616994628"
"15","0.48618055197606397","0.4861805519760639","0.4861805519760639"
"16","0.4852081908721116","0.4852081908721118","0.4852081908721118"
"17","0.4842377744903673","0.4842377744903676","0.4842377744903676"
"18","0.48326929894138704","0.48326929894138687","0.48326929894138687"
"19","0.4823027603435043","0.4823027603435041","0.4823027603435041"
"20","0.48133815482281694","0.4813381548228171","0.4813381548228171"
"21","0.48037547851317125","0.48037547851317147","0.48037547851317147"
"22","0.4794147275561453","0.4794147275561451","0.4794147275561451"
"23","0.47845589810103256","0.47845589810103284","0.47845589810103284"
"24","0.47749898630483056","0.4774989863048308","0.4774989863048308"
"25","0.47654398833222095","0.4765439883322211","0.4765439883322211"
"26","0.47559090035555635","0.4755909003555567","0.4755909003555567"
"27","0.4746397185548456","0.47463971855484555","0.47463971855484555"
"28","0.47369043911773556","0.47369043911773584","0.47369043911773584"
"29","0.47274305823950014","0.47274305823950036","0.47274305823950036"
"30","0.47179757212302137","0.47179757212302137","0.47179757212302137"
"31","0.47085397697877523","0.47085397697877535","0.47085397697877535"
"32","0.46991226902481753","0.4699122690248178","0.4699122690248178"
"33","0.46897244448676817","0.46897244448676817","0.46897244448676817"
"34","0.4680344995977949","0.46803449959779464","0.46803449959779464"
"35","0.46709843059859896","0.46709843059859907","0.46709843059859907"
"36","0.46616423373740185","0.46616423373740185","0.46616423373740185"
"37","0.46523190526992725","0.465231905269927","0.465231905269927"
"38","0.4643014414593872","0.4643014414593872","0.4643014414593872"
"39","0.4633728385764684","0.4633728385764684","0.4633728385764684"
"40","0.4624460928993152","0.46244609289931543","0.46244609289931543"
"41","0.4615212007135167","0.4615212007135168","0.4615212007135168"
"42","0.4605981583120898","0.4605981583120898","0.4605981583120898"
"43","0.45967696199546587","0.4596769619954656","0.4596769619954656"
"44","0.4587576080714745","0.45875760807147464","0.45875760807147464"
"45","0.4578400928553315","0.45784009285533167","0.45784009285533167"
"46","0.4569244126696213","0.456924412669621","0.456924412669621"
"47","0.456010563844282","0.4560105638442818","0.4560105638442818"
"48","0.45509854271659306","0.4550985427165932","0.4550985427165932"
"49","0.4541883456311599","0.45418834563116006","0.45418834563116006"
"50","0.4532799689398975","0.45327996893989775","0.45327996893989775"
"51","0.4523734090020178","0.45237340900201795","0.45237340900201795"
"52","0.4514686621840141","0.45146866218401394","0.45146866218401394"
"53","0.4505657248596457","0.4505657248596459","0.4505657248596459"
"54","0.4496645934099264","0.4496645934099266","0.4496645934099266"
"55","0.44876526422310686","0.44876526422310675","0.44876526422310675"
"56","0.44786773369466065","0.44786773369466054","0.44786773369466054"
"57","0.44697199822727113","0.44697199822727124","0.44697199822727124"
"58","0.44607805423081703","0.4460780542308167","0.4460780542308167"
"59","0.44518589812235515","0.44518589812235504","0.44518589812235504"
"60","0.4442955263261102","0.4442955263261103","0.4442955263261103"
"61","0.44340693527345815","0.4434069352734581","0.4434069352734581"
"62","0.44252012140291097","0.4425201214029112","0.4425201214029112"
"63","0.4416350811601056","0.44163508116010536","0.44163508116010536"
"64","0.4407518109977851","0.44075181099778515","0.44075181099778515"
"65","0.43987030737578964","0.4398703073757896","0.4398703073757896"
"66","0.43899056676103815","0.438990566761038","0.438990566761038"
"67","0.43811258562751615","0.4381125856275159","0.4381125856275159"
"68","0.43723636045626085","0.4372363604562609","0.4372363604562609"
"69","0.43636188773534823","0.4363618877353484","0.4363618877353484"
"70","0.4354891639598774","0.4354891639598777","0.4354891639598777"
"71","0.4346181856319581","0.4346181856319579","0.4346181856319579"
"72","0.4337489492606941","0.433748949260694","0.433748949260694"
"73","0.43288145136217265","0.43288145136217265","0.43288145136217265"
"74","0.43201568845944804","0.4320156884594483","0.4320156884594483"
"75","0.4311516570825292","0.43115165708252945","0.43115165708252945"
"76","0.4302893537683642","0.4302893537683644","0.4302893537683644"
"77","0.42942877506082766","0.42942877506082766","0.42942877506082766"
"78","0.4285699175107057","0.428569917510706","0.428569917510706"
"79","0.4277127776756847","0.4277127776756846","0.4277127776756846"
"80","0.42685735212033304","0.4268573521203332","0.4268573521203332"
"81","0.4260036374160928","0.42600363741609254","0.42600363741609254"
"82","0.42515163014126023","0.42515163014126034","0.42515163014126034"
"83","0.4243013268809776","0.4243013268809778","0.4243013268809778"
"84","0.423452724227216","0.42345272422721586","0.42345272422721586"
"85","0.42260581877876124","0.4226058187787614","0.4226058187787614"
"86","0.4217606071412039","0.4217606071412039","0.4217606071412039"
"87","0.4209170859269217","0.4209170859269215","0.4209170859269215"
"88","0.4200752517550674","0.42007525175506766","0.42007525175506766"
"89","0.41923510125155744","0.4192351012515575","0.4192351012515575"
"90","0.4183966310490544","0.4183966310490544","0.4183966310490544"
"91","0.4175598377869564","0.41755983778695627","0.41755983778695627"
"92","0.4167247181113823","0.41672471811138234","0.41672471811138234"
"93","0.41589126867515935","0.4158912686751596","0.4158912686751596"
"94","0.4150594861378091","0.41505948613780924","0.41505948613780924"
"95","0.41422936716553366","0.4142293671655336","0.4142293671655336"
"96","0.4134009084312028","0.41340090843120253","0.41340090843120253"
"97","0.4125741066143399","0.41257410661434013","0.41257410661434013"
"98","0.41174895840111125","0.4117489584011115","0.4117489584011115"
"99","0.41092546048430917","0.4109254604843093","0.4109254604843093"
"100","0.4101036095633409","0.4101036095633407","0.4101036095633407"
"101","0.4092834023442139","0.409283402344214","0.409283402344214"
"102","0.40846483553952584","0.40846483553952556","0.40846483553952556"
"103","0.4076479058684464","0.4076479058684465","0.4076479058684465"
"104","0.40683261005670934","0.4068326100567096","0.4068326100567096"
"105","0.4060189448365961","0.4060189448365962","0.4060189448365962"
"106","0.40520690694692274","0.40520690694692296","0.40520690694692296"
"107","0.4043964931330292","0.4043964931330291","0.4043964931330291"
"108","0.4035877001467631","0.40358770014676304","0.40358770014676304"
"109","0.40278052474646964","0.4027805247464695","0.4027805247464695"
"110","0.40197496369697683","0.4019749636969766","0.4019749636969766"
"111","0.4011710137695826","0.40117101376958264","0.40117101376958264"
"112","0.40036867174204355","0.4003686717420435","0.4003686717420435"
"113","0.3995679343985596","0.3995679343985594","0.3995679343985594"
"114","0.39876879852976205","0.3987687985297623","0.3987687985297623"
"115","0.39797126093270296","0.3979712609327028","0.3979712609327028"
"116","0.3971753184108375","0.39717531841083736","0.39717531841083736"
"117","0.3963809677740157","0.3963809677740157","0.3963809677740157"
"118","0.39558820583846793","0.39558820583846765","0.39558820583846765"
"119","0.39479702942679057","0.39479702942679074","0.39479702942679074"
"120","0.3940074353679373","0.39400743536793714","0.39400743536793714"
"121","0.39321942049720154","0.39321942049720127","0.39321942049720127"
