"Step","env_id: MNISTBandit-v0 - regret","env_id: MNISTBandit-v0 - regret__MIN","env_id: MNISTBandit-v0 - regret__MAX"
"201","266.3448275862069","132","324"
"202","266.82758620689657","132","326"
"203","267.3103448275862","132","326"
"204","267.7241379310345","134","326"
"205","268.2758620689655","134","326"
"206","268.82758620689657","136","328"
"207","269.17241379310343","136","328"
"208","269.86206896551727","136","328"
"209","270.13793103448273","136","328"
"210","270.6896551724138","138","328"
"211","271.3103448275862","140","328"
"212","271.7241379310345","140","330"
"213","272.0689655172414","140","330"
"214","272.7586206896552","140","332"
"215","273.37931034482756","142","334"
"216","273.9310344827586","142","336"
"217","274.3448275862069","142","336"
"218","274.6896551724138","142","336"
"219","275.44827586206895","144","338"
"220","276","146","338"
"221","276.7586206896552","148","340"
"222","277.37931034482756","148","342"
"223","278","150","342"
"224","278.2758620689655","150","342"
"225","278.82758620689657","150","342"
"226","279.1034482758621","150","344"
"227","279.51724137931035","150","344"
"228","279.7931034482759","150","344"
"229","280","150","346"
"230","280.6896551724138","150","346"
"231","281.3103448275862","150","346"
"232","281.7931034482759","150","348"
"233","282.48275862068965","152","348"
"234","282.8965517241379","152","348"
"235","283.3103448275862","152","348"
"236","283.7241379310345","152","348"
"237","284.0689655172414","152","350"
"238","284.62068965517244","154","352"
"239","285.1034482758621","154","354"
"240","285.44827586206895","156","354"
"241","286","156","354"
"242","286.48275862068965","156","354"
"243","286.9655172413793","156","354"
"244","287.0344827586207","156","354"
"245","287.37931034482756","156","354"
"246","287.7931034482759","158","354"
"247","288.2758620689655","158","356"
"248","288.62068965517244","160","356"
"249","288.8965517241379","160","356"
"250","289.3103448275862","160","356"
"251","289.7241379310345","160","356"
"252","290","162","356"
"253","290.48275862068965","162","356"
"254","290.8965517241379","162","356"
"255","291.1034482758621","162","356"
"256","291.51724137931035","162","356"
"257","291.9310344827586","162","356"
"258","292","162","356"
"259","292.2068965517241","164","356"
"260","292.48275862068965","164","358"
"261","292.7586206896552","164","358"
"262","293.0344827586207","164","358"
"263","293.37931034482756","164","360"
"264","293.58620689655174","164","360"
"265","293.9310344827586","164","360"
"266","294.13793103448273","164","360"
"267","294.41379310344826","164","360"
"268","294.8965517241379","164","362"
"269","295.1034482758621","164","362"
"270","295.2413793103448","164","362"
"271","295.58620689655174","164","362"
"272","295.9310344827586","164","362"
"273","296.13793103448273","164","362"
"274","296.3448275862069","164","362"
"275","296.48275862068965","164","362"
"276","296.7586206896552","166","362"
"277","297.1034482758621","166","362"
"278","297.37931034482756","166","362"
"279","297.44827586206895","166","362"
"280","297.7241379310345","168","362"
"281","298.0689655172414","168","362"
"282","298.41379310344826","170","362"
"283","298.55172413793105","170","362"
"284","298.9655172413793","170","362"
"285","299.3103448275862","170","364"
"286","299.51724137931035","170","364"
"287","299.9310344827586","170","364"
"288","300.41379310344826","170","364"
"289","300.7586206896552","170","364"
"290","301.17241379310343","170","364"
"291","301.44827586206895","172","364"
"292","301.86206896551727","172","366"
"293","302.13793103448273","172","366"
"294","302.13793103448273","172","366"
"295","302.55172413793105","172","366"
"296","302.9655172413793","172","366"
"297","303.17241379310343","172","366"
"298","303.17241379310343","172","366"
"299","303.37931034482756","172","366"
"300","303.51724137931035","172","366"
"301","303.7241379310345","172","366"
"302","304","172","366"
"303","304.0689655172414","172","368"
"304","304.41379310344826","174","368"
"305","304.7586206896552","174","368"
"306","304.9655172413793","174","368"
"307","305.0344827586207","174","368"
"308","305.2413793103448","174","368"
"309","305.51724137931035","174","368"
"310","305.86206896551727","174","368"
"311","306","174","368"
"312","306.2068965517241","174","368"
"313","306.2758620689655","174","368"
"314","306.3448275862069","174","368"
"315","306.41379310344826","174","368"
"316","306.55172413793105","174","368"
"317","306.62068965517244","174","368"
"318","306.6896551724138","174","368"
"319","306.82758620689657","174","368"
"320","306.8965517241379","174","368"
"321","306.9655172413793","174","368"
"322","307.17241379310343","174","368"
"323","307.44827586206895","174","368"
"324","307.44827586206895","174","368"
"325","307.51724137931035","174","370"
"326","307.86206896551727","174","370"
"327","308","174","370"
"328","308.0689655172414","174","370"
"329","308.13793103448273","174","370"
"330","308.2068965517241","174","370"
"331","308.2068965517241","174","370"
"332","308.2068965517241","174","370"
"333","308.2758620689655","174","370"
"334","308.41379310344826","174","372"
"335","308.48275862068965","174","372"
"336","308.48275862068965","174","372"
"337","308.62068965517244","176","372"
"338","308.6896551724138","176","372"
"339","308.7586206896552","176","372"
"340","308.82758620689657","176","372"
"341","308.8965517241379","176","372"
"342","308.8965517241379","176","372"
"343","308.8965517241379","176","372"
"344","308.9655172413793","176","372"
"345","308.9655172413793","176","372"
"346","308.9655172413793","176","372"
"347","308.9655172413793","176","372"
"348","308.9655172413793","176","372"
"349","308.9655172413793","176","372"
"350","308.9655172413793","176","372"
"351","308.9655172413793","176","372"
"352","308.9655172413793","176","372"
"353","308.9655172413793","176","372"
"354","308.9655172413793","176","372"
"355","308.9655172413793","176","372"
"356","308.9655172413793","176","372"
"357","308.9655172413793","176","372"
"358","308.9655172413793","176","372"
"359","308.9655172413793","176","372"
"360","308.9655172413793","176","372"
"361","308.9655172413793","176","372"
"362","308.9655172413793","176","372"
"363","308.9655172413793","176","372"
"364","308.9655172413793","176","372"
"365","308.9655172413793","176","372"
"366","308.9655172413793","176","372"
"367","308.9655172413793","176","372"
"368","308.9655172413793","176","372"
"369","308.9655172413793","176","372"
"370","308.9655172413793","176","372"
"371","308.9655172413793","176","372"
"372","308.9655172413793","176","372"
"373","308.9655172413793","176","372"
"374","308.9655172413793","176","372"
"375","308.9655172413793","176","372"
"376","308.9655172413793","176","372"
"377","308.9655172413793","176","372"
"378","308.9655172413793","176","372"
"379","308.9655172413793","176","372"
"380","308.9655172413793","176","372"
"381","308.9655172413793","176","372"
"382","308.9655172413793","176","372"
"383","308.9655172413793","176","372"
"384","308.9655172413793","176","372"
"385","308.9655172413793","176","372"
"386","308.9655172413793","176","372"
"387","308.9655172413793","176","372"
"388","308.9655172413793","176","372"
"389","308.9655172413793","176","372"
"390","308.9655172413793","176","372"
"391","308.9655172413793","176","372"
"392","308.9655172413793","176","372"
"393","308.9655172413793","176","372"
"394","308.9655172413793","176","372"
"395","308.9655172413793","176","372"
"396","308.9655172413793","176","372"
"397","308.9655172413793","176","372"
"398","308.9655172413793","176","372"
"399","308.9655172413793","176","372"
"400","308.9655172413793","176","372"
"401","308.9655172413793","176","372"
"402","308.9655172413793","176","372"
"403","308.9655172413793","176","372"
"404","308.9655172413793","176","372"
"405","308.9655172413793","176","372"
"406","308.9655172413793","176","372"
"407","308.9655172413793","176","372"
"408","308.9655172413793","176","372"
"409","308.9655172413793","176","372"
"410","308.9655172413793","176","372"
"411","308.9655172413793","176","372"
"412","308.9655172413793","176","372"
"413","308.9655172413793","176","372"
"414","308.9655172413793","176","372"
"415","308.9655172413793","176","372"
"416","308.9655172413793","176","372"
"417","308.9655172413793","176","372"
"418","308.9655172413793","176","372"
"419","308.9655172413793","176","372"
"420","308.9655172413793","176","372"
"421","308.9655172413793","176","372"
"422","308.9655172413793","176","372"
"423","308.9655172413793","176","372"
"424","308.9655172413793","176","372"
"425","308.9655172413793","176","372"
"426","308.9655172413793","176","372"
"427","308.9655172413793","176","372"
"428","308.9655172413793","176","372"
"429","308.9655172413793","176","372"
"430","308.9655172413793","176","372"
"431","308.9655172413793","176","372"
"432","308.9655172413793","176","372"
"433","308.9655172413793","176","372"
"434","308.9655172413793","176","372"
"435","308.9655172413793","176","372"
"436","308.9655172413793","176","372"
"437","308.9655172413793","176","372"
"438","308.9655172413793","176","372"
"439","308.9655172413793","176","372"
"440","308.9655172413793","176","372"
"441","308.9655172413793","176","372"
"442","308.9655172413793","176","372"
"443","308.9655172413793","176","372"
"444","308.9655172413793","176","372"
"445","308.9655172413793","176","372"
"446","308.9655172413793","176","372"
"447","308.9655172413793","176","372"
"448","308.9655172413793","176","372"
"449","308.9655172413793","176","372"
"450","308.9655172413793","176","372"
"451","308.9655172413793","176","372"
"452","308.9655172413793","176","372"
"453","308.9655172413793","176","372"
"454","308.9655172413793","176","372"
"455","308.9655172413793","176","372"
"456","308.9655172413793","176","372"
"457","308.9655172413793","176","372"
"458","308.9655172413793","176","372"
"459","308.9655172413793","176","372"
"460","308.9655172413793","176","372"
"461","308.9655172413793","176","372"
"462","308.9655172413793","176","372"
"463","308.9655172413793","176","372"
"464","308.9655172413793","176","372"
"465","308.9655172413793","176","372"
"466","308.9655172413793","176","372"
"467","308.9655172413793","176","372"
"468","308.9655172413793","176","372"
"469","308.9655172413793","176","372"
"470","308.9655172413793","176","372"
"471","308.9655172413793","176","372"
"472","308.9655172413793","176","372"
"473","308.9655172413793","176","372"
"474","308.9655172413793","176","372"
"475","308.9655172413793","176","372"
"476","308.9655172413793","176","372"
"477","308.9655172413793","176","372"
"478","308.9655172413793","176","372"
"479","308.9655172413793","176","372"
"480","308.9655172413793","176","372"
"481","308.9655172413793","176","372"
"482","308.9655172413793","176","372"
"483","308.9655172413793","176","372"
"484","308.9655172413793","176","372"
"485","308.9655172413793","176","372"
"486","308.9655172413793","176","372"
"487","308.9655172413793","176","372"
"488","308.9655172413793","176","372"
"489","308.9655172413793","176","372"
"490","308.9655172413793","176","372"
"491","308.9655172413793","176","372"
"492","308.9655172413793","176","372"
"493","308.9655172413793","176","372"
"494","308.9655172413793","176","372"
"495","308.9655172413793","176","372"
"496","308.9655172413793","176","372"
"497","308.9655172413793","176","372"
"498","308.9655172413793","176","372"
"499","308.9655172413793","176","372"
"500","308.9655172413793","176","372"
"501","308.9655172413793","176","372"
"502","308.9655172413793","176","372"
"503","308.9655172413793","176","372"
"504","308.9655172413793","176","372"
"505","308.9655172413793","176","372"
"506","308.9655172413793","176","372"
"507","308.9655172413793","176","372"
"508","308.9655172413793","176","372"
"509","308.9655172413793","176","372"
"510","308.9655172413793","176","372"
"511","308.9655172413793","176","372"
"512","308.9655172413793","176","372"
"513","308.9655172413793","176","372"
"514","308.9655172413793","176","372"
"515","308.9655172413793","176","372"
"516","308.9655172413793","176","372"
"517","308.9655172413793","176","372"
"518","308.9655172413793","176","372"
"519","308.9655172413793","176","372"
"520","308.9655172413793","176","372"
"521","308.9655172413793","176","372"
"522","308.9655172413793","176","372"
"523","308.9655172413793","176","372"
"524","308.9655172413793","176","372"
"525","308.9655172413793","176","372"
"526","308.9655172413793","176","372"
"527","308.9655172413793","176","372"
"528","308.9655172413793","176","372"
"529","308.9655172413793","176","372"
"530","308.9655172413793","176","372"
"531","308.9655172413793","176","372"
"532","308.9655172413793","176","372"
"533","308.9655172413793","176","372"
"534","308.9655172413793","176","372"
"535","308.9655172413793","176","372"
"536","308.9655172413793","176","372"
"537","308.9655172413793","176","372"
"538","308.9655172413793","176","372"
"539","308.9655172413793","176","372"
"540","308.9655172413793","176","372"
"541","308.9655172413793","176","372"
"542","308.9655172413793","176","372"
"543","308.9655172413793","176","372"
"544","308.9655172413793","176","372"
"545","308.9655172413793","176","372"
"546","308.9655172413793","176","372"
"547","308.9655172413793","176","372"
"548","308.9655172413793","176","372"
"549","308.9655172413793","176","372"
"550","308.9655172413793","176","372"
"551","308.9655172413793","176","372"
"552","308.9655172413793","176","372"
"553","308.9655172413793","176","372"
"554","308.9655172413793","176","372"
"555","308.9655172413793","176","372"
"556","308.9655172413793","176","372"
"557","308.9655172413793","176","372"
"558","308.9655172413793","176","372"
"559","308.9655172413793","176","372"
"560","308.9655172413793","176","372"
"561","308.9655172413793","176","372"
"562","308.9655172413793","176","372"
"563","308.9655172413793","176","372"
"564","308.9655172413793","176","372"
"565","308.9655172413793","176","372"
"566","308.9655172413793","176","372"
"567","308.9655172413793","176","372"
"568","308.9655172413793","176","372"
"569","308.9655172413793","176","372"
"570","308.9655172413793","176","372"
"571","308.9655172413793","176","372"
"572","308.9655172413793","176","372"
"573","308.9655172413793","176","372"
"574","308.9655172413793","176","372"
"575","308.9655172413793","176","372"
"576","308.9655172413793","176","372"
"577","308.9655172413793","176","372"
"578","308.9655172413793","176","372"
"579","308.9655172413793","176","372"
"580","308.9655172413793","176","372"
"581","308.9655172413793","176","372"
"582","308.9655172413793","176","372"
"583","308.9655172413793","176","372"
"584","308.9655172413793","176","372"
"585","308.9655172413793","176","372"
"586","308.9655172413793","176","372"
"587","308.9655172413793","176","372"
"588","308.9655172413793","176","372"
"589","308.9655172413793","176","372"
"590","308.9655172413793","176","372"
"591","308.9655172413793","176","372"
"592","308.9655172413793","176","372"
"593","308.9655172413793","176","372"
"594","308.9655172413793","176","372"
"595","308.9655172413793","176","372"
"596","308.9655172413793","176","372"
"597","308.9655172413793","176","372"
"598","308.9655172413793","176","372"
"599","308.9655172413793","176","372"
"600","308.9655172413793","176","372"
"601","308.9655172413793","176","372"
"602","308.9655172413793","176","372"
"603","308.9655172413793","176","372"
"604","308.9655172413793","176","372"
"605","308.9655172413793","176","372"
"606","308.9655172413793","176","372"
"607","308.9655172413793","176","372"
"608","308.9655172413793","176","372"
"609","308.9655172413793","176","372"
"610","308.9655172413793","176","372"
"611","308.9655172413793","176","372"
"612","308.9655172413793","176","372"
"613","308.9655172413793","176","372"
"614","308.9655172413793","176","372"
"615","308.9655172413793","176","372"
"616","308.9655172413793","176","372"
"617","308.9655172413793","176","372"
"618","308.9655172413793","176","372"
"619","308.9655172413793","176","372"
"620","308.9655172413793","176","372"
"621","308.9655172413793","176","372"
"622","308.9655172413793","176","372"
"623","308.9655172413793","176","372"
"624","308.9655172413793","176","372"
"625","308.9655172413793","176","372"
"626","308.9655172413793","176","372"
"627","308.9655172413793","176","372"
"628","308.9655172413793","176","372"
"629","308.9655172413793","176","372"
"630","308.9655172413793","176","372"
"631","308.9655172413793","176","372"
"632","308.9655172413793","176","372"
"633","308.9655172413793","176","372"
"634","308.9655172413793","176","372"
"635","308.9655172413793","176","372"
"636","308.9655172413793","176","372"
"637","308.9655172413793","176","372"
"638","308.9655172413793","176","372"
"639","308.9655172413793","176","372"
"640","308.9655172413793","176","372"
"641","308.9655172413793","176","372"
"642","308.9655172413793","176","372"
"643","308.9655172413793","176","372"
"644","308.9655172413793","176","372"
"645","308.9655172413793","176","372"
"646","308.9655172413793","176","372"
"647","308.9655172413793","176","372"
"648","308.9655172413793","176","372"
"649","308.9655172413793","176","372"
"650","308.9655172413793","176","372"
"651","308.9655172413793","176","372"
"652","308.9655172413793","176","372"
"653","308.9655172413793","176","372"
"654","308.9655172413793","176","372"
"655","308.9655172413793","176","372"
"656","308.9655172413793","176","372"
"657","308.9655172413793","176","372"
"658","308.9655172413793","176","372"
"659","308.9655172413793","176","372"
"660","308.9655172413793","176","372"
"661","308.9655172413793","176","372"
"662","308.9655172413793","176","372"
"663","308.9655172413793","176","372"
"664","308.9655172413793","176","372"
"665","308.9655172413793","176","372"
"666","308.9655172413793","176","372"
"667","308.9655172413793","176","372"
"668","308.9655172413793","176","372"
"669","308.9655172413793","176","372"
"670","308.9655172413793","176","372"
"671","308.9655172413793","176","372"
"672","308.9655172413793","176","372"
"673","308.9655172413793","176","372"
"674","308.9655172413793","176","372"
"675","308.9655172413793","176","372"
"676","308.9655172413793","176","372"
"677","308.9655172413793","176","372"
"678","308.9655172413793","176","372"
"679","308.9655172413793","176","372"
"680","308.9655172413793","176","372"
"681","308.9655172413793","176","372"
"682","308.9655172413793","176","372"
"683","308.9655172413793","176","372"
"684","308.9655172413793","176","372"
"685","308.9655172413793","176","372"
"686","308.9655172413793","176","372"
"687","308.9655172413793","176","372"
"688","308.9655172413793","176","372"
"689","308.9655172413793","176","372"
"690","308.9655172413793","176","372"
"691","308.9655172413793","176","372"
"692","308.9655172413793","176","372"
"693","308.9655172413793","176","372"
"694","308.9655172413793","176","372"
"695","308.9655172413793","176","372"
"696","308.9655172413793","176","372"
"697","308.9655172413793","176","372"
"698","308.9655172413793","176","372"
"699","308.9655172413793","176","372"
"700","308.9655172413793","176","372"
"701","308.9655172413793","176","372"
"702","308.9655172413793","176","372"
"703","308.9655172413793","176","372"
"704","308.9655172413793","176","372"
"705","308.9655172413793","176","372"
"706","308.9655172413793","176","372"
"707","308.9655172413793","176","372"
"708","308.9655172413793","176","372"
"709","308.9655172413793","176","372"
"710","308.9655172413793","176","372"
"711","308.9655172413793","176","372"
"712","308.9655172413793","176","372"
"713","308.9655172413793","176","372"
"714","308.9655172413793","176","372"
"715","308.9655172413793","176","372"
"716","308.9655172413793","176","372"
"717","308.9655172413793","176","372"
"718","308.9655172413793","176","372"
"719","308.9655172413793","176","372"
"720","308.9655172413793","176","372"
"721","308.9655172413793","176","372"
"722","308.9655172413793","176","372"
"723","308.9655172413793","176","372"
"724","308.9655172413793","176","372"
"725","308.9655172413793","176","372"
"726","308.9655172413793","176","372"
"727","308.9655172413793","176","372"
"728","308.9655172413793","176","372"
"729","308.9655172413793","176","372"
"730","308.9655172413793","176","372"
"731","308.9655172413793","176","372"
"732","308.9655172413793","176","372"
"733","308.9655172413793","176","372"
"734","308.9655172413793","176","372"
"735","308.9655172413793","176","372"
"736","308.9655172413793","176","372"
"737","308.9655172413793","176","372"
"738","308.9655172413793","176","372"
"739","308.9655172413793","176","372"
"740","308.9655172413793","176","372"
"741","308.9655172413793","176","372"
"742","308.9655172413793","176","372"
"743","308.9655172413793","176","372"
"744","308.9655172413793","176","372"
"745","308.9655172413793","176","372"
"746","308.9655172413793","176","372"
"747","308.9655172413793","176","372"
"748","308.9655172413793","176","372"
"749","308.9655172413793","176","372"
"750","308.9655172413793","176","372"
"751","308.9655172413793","176","372"
"752","308.9655172413793","176","372"
"753","308.9655172413793","176","372"
"754","308.9655172413793","176","372"
"755","308.9655172413793","176","372"
"756","308.9655172413793","176","372"
"757","308.9655172413793","176","372"
"758","308.9655172413793","176","372"
"759","308.9655172413793","176","372"
"760","308.9655172413793","176","372"
"761","308.9655172413793","176","372"
"762","308.9655172413793","176","372"
"763","308.9655172413793","176","372"
"764","308.9655172413793","176","372"
"765","308.9655172413793","176","372"
"766","308.9655172413793","176","372"
"767","308.9655172413793","176","372"
"768","308.9655172413793","176","372"
"769","308.9655172413793","176","372"
"770","308.9655172413793","176","372"
"771","308.9655172413793","176","372"
"772","308.9655172413793","176","372"
"773","308.9655172413793","176","372"
"774","308.9655172413793","176","372"
"775","308.9655172413793","176","372"
"776","308.9655172413793","176","372"
"777","308.9655172413793","176","372"
"778","308.9655172413793","176","372"
"779","308.9655172413793","176","372"
"780","308.9655172413793","176","372"
"781","308.9655172413793","176","372"
"782","308.9655172413793","176","372"
"783","308.9655172413793","176","372"
"784","308.9655172413793","176","372"
"785","308.9655172413793","176","372"
"786","308.9655172413793","176","372"
"787","308.9655172413793","176","372"
"788","308.9655172413793","176","372"
"789","308.9655172413793","176","372"
"790","308.9655172413793","176","372"
"791","308.9655172413793","176","372"
"792","308.9655172413793","176","372"
"793","308.9655172413793","176","372"
"794","308.9655172413793","176","372"
"795","308.9655172413793","176","372"
"796","308.9655172413793","176","372"
"797","308.9655172413793","176","372"
"798","308.9655172413793","176","372"
"799","308.9655172413793","176","372"
"800","308.9655172413793","176","372"
"801","308.9655172413793","176","372"
"802","308.9655172413793","176","372"
"803","308.9655172413793","176","372"
"804","308.9655172413793","176","372"
"805","308.9655172413793","176","372"
"806","308.9655172413793","176","372"
"807","308.9655172413793","176","372"
"808","308.9655172413793","176","372"
"809","308.9655172413793","176","372"
"810","308.9655172413793","176","372"
"811","308.9655172413793","176","372"
"812","308.9655172413793","176","372"
"813","308.9655172413793","176","372"
"814","308.9655172413793","176","372"
"815","308.9655172413793","176","372"
"816","308.9655172413793","176","372"
"817","308.9655172413793","176","372"
"818","308.9655172413793","176","372"
"819","308.9655172413793","176","372"
"820","308.9655172413793","176","372"
"821","308.9655172413793","176","372"
"822","308.9655172413793","176","372"
"823","308.9655172413793","176","372"
"824","308.9655172413793","176","372"
"825","308.9655172413793","176","372"
"826","308.9655172413793","176","372"
"827","308.9655172413793","176","372"
"828","308.9655172413793","176","372"
"829","308.9655172413793","176","372"
"830","308.9655172413793","176","372"
"831","308.9655172413793","176","372"
"832","308.9655172413793","176","372"
"833","308.9655172413793","176","372"
"834","308.9655172413793","176","372"
"835","308.9655172413793","176","372"
"836","308.9655172413793","176","372"
"837","308.9655172413793","176","372"
"838","308.9655172413793","176","372"
"839","308.9655172413793","176","372"
"840","308.9655172413793","176","372"
"841","308.9655172413793","176","372"
"842","308.9655172413793","176","372"
"843","308.9655172413793","176","372"
"844","308.9655172413793","176","372"
"845","308.9655172413793","176","372"
"846","308.9655172413793","176","372"
"847","308.9655172413793","176","372"
"848","308.9655172413793","176","372"
"849","308.9655172413793","176","372"
"850","308.9655172413793","176","372"
"851","308.9655172413793","176","372"
"852","308.9655172413793","176","372"
"853","308.9655172413793","176","372"
"854","308.9655172413793","176","372"
"855","308.9655172413793","176","372"
"856","308.9655172413793","176","372"
"857","308.9655172413793","176","372"
"858","308.9655172413793","176","372"
"859","308.9655172413793","176","372"
"860","308.9655172413793","176","372"
"861","308.9655172413793","176","372"
"862","308.9655172413793","176","372"
"863","308.9655172413793","176","372"
"864","308.9655172413793","176","372"
"865","308.9655172413793","176","372"
"866","308.9655172413793","176","372"
"867","308.9655172413793","176","372"
"868","308.9655172413793","176","372"
"869","308.9655172413793","176","372"
