"Step","noisy_net: true - regret","noisy_net: true - regret__MIN","noisy_net: true - regret__MAX","noisy_net: false - regret","noisy_net: false - regret__MIN","noisy_net: false - regret__MAX"
"1","0.37074742054486365","0","0.8211589578281274","0.32071200054783533","0","0.8401245905651041"
"2","0.7944995311498341","0","1.6217777060855179","0.7059141960381948","0.10083167017493011","1.177897270093116"
"3","1.1859118741638799","0","2.5158439190775157","1.0308768958718209","0.23241363050797026","1.8185438229814452"
"4","1.5622966062257992","0.14214767893603608","3.0140047316234324","1.3436997177348036","0.23241363050797026","2.2832273713598017"
"5","1.9919868287892315","0.20865337074223167","3.7659466692285797","1.8189480641310938","0.6677549254466737","2.727320945986473"
"6","2.398974886866435","0.20865337074223167","4.399485052073302","2.1003409201114964","0.8510095454666254","3.373922164572058"
"7","2.7129870808434284","0.2917637065150712","5.146853045812599","2.404724112965766","1.04074512500543","3.6234026744387737"
"8","3.078448694929753","0.2917637065150712","5.900559689064437","2.7735087359851986","1.6198978754533675","4.19277016905504"
"9","3.480557637252288","0.2917637065150712","6.624672647875284","3.0205466871069144","1.8583284334034917","4.937912874745494"
"10","3.843546805566101","0.2917637065150712","7.398652065999985","3.452114259284587","2.0810182942470266","5.692411286791566"
"11","4.23695842591961","0.29396515911802257","8.045961628334647","3.7920693069734672","2.0810182942470266","6.476364543294772"
"12","4.575121086040688","0.38801494102311085","8.689713130736019","4.200827345564726","2.324216460985145","7.1974257602299385"
"13","4.983382221790979","0.38801494102311085","9.433899997335148","4.554957113838582","2.6106315336450057","7.920686032379129"
"14","5.372135793920743","0.7042442657401442","10.218801226475373","4.811747903160683","3.032745602374857","8.05122336222288"
"15","5.804799001825315","0.7042442657401442","10.983603552129264","5.159386063364603","3.1154924873848904","8.877495827653213"
"16","6.262815724087057","0.7357584773681105","11.741138303405029","5.450912311764542","3.1154924873848904","9.291973011416841"
"17","6.700320106408123","0.7675751317163443","12.485182046527727","5.728118584590283","3.5090960658544526","9.996496822950132"
"18","7.147656432438746","0.8319797460873362","13.274489151002312","5.9852629751471165","3.804789190116583","10.323213047494455"
"19","7.483037670030213","0.8319797460873362","14.04490691324505","6.375628583229481","4.066408196642713","11.056696558937455"
"20","7.825486568126283","0.8877461555144418","14.795043638349934","6.681733925162269","4.268437299795194","11.766285151155065"
"21","8.221485614078603","0.8877461555144418","15.568149648046376","6.940677083794602","4.349526220848557","12.550378971938061"
"22","8.619195780755042","1.059327589945674","16.135332705877808","7.305596840623499","4.475805940002282","13.303941724327386"
"23","9.059957925902053","1.533899066083808","16.82030232071406","7.579163671996829","4.508496096068163","14.057657425751326"
"24","9.483668181435034","1.5755285864876298","17.50294699346257","8.015950986184887","5.185804661606584","14.770521732507452"
"25","9.862203385936821","1.5755285864876298","18.250593432728902","8.46536241035011","5.185804661606584","15.154484689561658"
"26","10.211759703599538","1.6500308560105954","19.028026145071898","8.652979902934248","5.185804661606584","15.51496897916349"
"27","10.594871704280644","1.701224423571533","19.69848192153311","9.017007813020307","5.389344552921475","16.261664621691214"
"28","11.015535135113055","2.018408026936347","20.3820116673539","9.261253384466714","5.433738422434315","16.995150869959204"
"29","11.417134208431941","2.055389344509105","21.12581875838316","9.660193846275288","5.920418569178315","17.80494722818439"
"30","11.81025008745796","2.110137399264064","21.87365688150319","9.992921017787161","6.5226539893447715","18.1774493580548"
"31","12.189487447334287","2.110137399264064","22.625496467778273","10.276588264507124","6.562392982686412","18.939162248720155"
"32","12.525362674550058","2.110137399264064","23.380417239522377","10.590138644247284","6.61096230992505","19.662254966036322"
"33","12.954762102336158","2.1996964732476347","24.146007468860272","10.967473000827876","6.666006407958481","20.41928536773409"
"34","13.437074196388204","2.2730904261140275","24.861453800146258","11.294543249488905","6.951166594784111","21.135149752869133"
"35","13.788289888552985","2.3089227659157645","25.612259150365958","11.590048472938921","7.049387973892117","21.97063875047381"
"36","14.160892644206704","2.4078134286249324","26.34853094526969","11.988411901522388","7.53668596214195","22.42356694227191"
"37","14.508601043235068","2.512995841777126","27.100424191460597","12.350545925150278","7.90952917762129","22.874157389377856"
"38","14.910490458890195","2.6372637780334047","27.864035385546806","12.601389526666246","7.94341422132439","23.18633925078422"
"39","15.30401042627293","2.971370999792429","28.57281448607416","13.053813424157973","8.127774785414921","23.993779656551084"
"40","15.652972902744995","2.971370999792429","29.313427132160673","13.301019295769331","8.24357078968571","24.320357277813716"
"41","16.08999707298382","2.971370999792429","30.070794836608922","13.611289351315426","8.50853010497666","24.63706505753915"
"42","16.465619355323525","3.2962081361311215","30.781794509801834","13.824246179920115","8.584994304555432","24.666502257529896"
"43","16.870199533311713","3.3749960819234484","31.584416306409317","14.12124951157196","8.712851580390828","24.695362273662052"
"44","17.16892695924099","3.3749960819234484","32.37543993286184","14.531399677481723","9.113463525056526","25.533881505405816"
"45","17.550721145900088","3.3749960819234484","33.163512859956754","14.788922931103592","9.17702208590758","25.83436016039962"
"46","18.022745839699954","3.5741501745944917","33.91809799123461","15.08171584806152","9.213697996841278","25.902261570216357"
"47","18.41142420116312","3.6461176985223926","34.59413225406164","15.526372195340628","9.56993294982068","26.657037819904392"
"48","18.827810323584856","3.6726739687237036","35.33129391781227","15.883186995654464","9.839007392893866","27.47524341999173"
"49","19.226332134415376","3.702287034612744","36.05165671111917","16.213709974446996","10.246876045653694","28.209614686517757"
"50","19.58545398265927","3.702287034612744","36.718452627784984","16.492963010278114","10.404518457141275","28.50425777925533"
"51","19.937822300402463","3.809416483586112","37.41922670203501","16.79046885993518","10.404518457141275","28.50425777925533"
"52","20.29114798725718","3.901360350847084","38.16107452281229","17.06220480653962","10.976411767295536","28.50425777925533"
"53","20.711266027829616","3.901360350847084","38.91207698781328","17.39042442332198","11.191755871636216","28.598857514010422"
"54","21.083150615899086","3.9324096388683936","39.7011789562551","17.66684789972838","11.191755871636216","29.32880562769781"
"55","21.480909014182053","3.9961329723399652","40.35855619605662","17.966788471313087","11.284322379139184","30.072195346562076"
"56","21.818356467726165","4.079073658467992","41.13204332171534","18.291275263126032","11.284322379139184","30.416736501125005"
"57","22.235259968394402","4.1556379705697735","41.848608411396356","18.539368675959448","11.554258197891517","30.624798962673875"
"58","22.54550994560237","4.186055866241718","42.61061730838117","18.91793547492242","11.674301541437023","30.94609481276615"
"59","22.9637854497946","4.256485524239984","43.26716758003324","19.200681367153724","11.955927192544245","31.096901830686416"
"60","23.358008242240224","4.308046560816826","44.01177539632116","19.463848280620287","12.347254282876618","31.469029790148852"
"61","23.735372423980678","4.3942464417422595","44.76054189344636","19.782457755097482","12.980112760865536","32.24652425061125"
"62","24.146877574430803","4.46140305445026","45.46472927211403","20.26991785267918","13.153284752999795","33.020690952396876"
"63","24.572256410920925","4.564411638192116","46.167224123787676","20.427352641856732","13.20113986367073","33.38806997652479"
"64","24.95815308682572","4.633495788481658","46.899970068142416","20.730504745637568","13.481741140951684","33.754419066074824"
"65","25.382654016145427","4.787172214744214","47.6690165647511","21.073835205040265","13.522186774786087","34.52922501679427"
"66","25.708016984245965","4.868856624171086","48.37384526068392","21.392491443123788","13.550269927908344","34.8497997833289"
"67","26.086039649288125","4.949549175680808","49.120164159140856","21.69740980315058","13.744500995820516","35.19349525870741"
"68","26.55407950427409","5.00385782673995","49.8784930113646","21.904270532385894","13.82129978762087","35.57409520439606"
"69","26.958639712129386","5.00385782673995","50.6157567942084","22.24598972830959","13.970166342296897","35.86924691362889"
"70","27.299927696225627","5.00385782673995","51.41436938629022","22.478621953786952","13.970166342296897","35.89781660797538"
"71","27.65028016508522","5.175569708094809","52.10819567393777","22.731516369151525","13.970166342296897","36.050831362749314"
"72","28.073355705381513","5.175569708094809","52.856026946212324","23.05152903864058","13.970166342296897","36.87730048927146"
"73","28.488758427923482","5.175569708094809","53.61849418193186","23.28751183490983","13.970166342296897","37.08208900032712"
"74","28.822487459345492","5.237199446400775","54.345057606799216","23.56140853152396","13.970166342296897","37.727431385588226"
"75","29.306259877996002","5.285702977748006","55.098372833490444","23.884866465218902","14.518152928205492","38.16452969994394"
"76","29.737977966144758","5.303515091726614","55.85848428725108","24.170892778043694","14.518152928205492","38.9276782884401"
"77","30.28336510412222","5.336038015786514","56.55354713374947","24.43653255604761","14.903602093323641","39.30275504865185"
"78","30.624084976169264","5.443207218677682","57.344117638958686","24.65882878262701","14.903602093323641","39.375602183851896"
"79","30.981082011337865","5.513016019629591","58.09721537158652","24.920604771892002","14.903602093323641","39.525794490676056"
"80","31.382506546609676","5.513016019629591","58.85147023834911","25.23640614169879","14.903602093323641","39.625423068036554"
"81","31.75813065732775","5.556149282143657","59.582719303905925","25.533111414887227","14.903602093323641","39.98500106014608"
"82","32.20565902861635","6.236382640182982","60.270062668068896","25.930062022284783","14.942741032186213","40.07067736779724"
"83","32.636941161370935","6.236382640182982","61.03454266108207","26.244058671297708","14.942741032186213","40.300562348156795"
"84","32.90023924208695","6.239775089700069","61.77366837253304","26.57189109118414","14.942741032186213","41.0500843844281"
"85","33.29665971580434","6.239775089700069","62.51269484678711","26.831131562110833","14.942741032186213","41.38312108106194"
"86","33.63862530349629","6.239775089700069","63.219373387167806","27.025166796501406","15.04390602042845","41.573510979474676"
"87","33.93117352837717","6.239775089700069","63.95561101657447","27.36903002712184","15.940707255695724","42.19930189243622"
"88","34.37141319255095","6.463405928367905","64.68651728985897","27.7543708784983","16.517477253403044","42.97434599056373"
"89","34.75032398124339","6.561898238595617","65.41665141078752","28.206936574017696","17.095043045851362","43.71296889868938"
"90","35.12668404574119","6.561898238595617","66.19446617749854","28.461113240535138","17.095043045851362","44.15612286169144"
"91","35.52747187974187","6.561898238595617","66.93665085382933","28.670160483265168","17.095043045851362","44.927919430909824"
"92","35.94599107556017","6.649259779774352","67.67882474121987","29.03261451721215","17.095043045851362","45.636290538065914"
"93","36.33497650545326","6.749485733320799","68.42905638233422","29.283190767972794","17.598931720620566","45.96520675121151"
"94","36.74886797651573","6.779064591904476","68.74206038283856","29.60989164893172","17.98794371648429","46.68362653822541"
"95","37.16355418047793","6.779064591904476","69.51368802721981","29.889010071558353","18.189568084728396","47.39886239036376"
"96","37.497387717760404","6.779064591904476","70.17389215136038","30.268521010168946","18.41947010849779","48.240461572571384"
"97","37.95142312678146","6.779064591904476","70.9226025562774","30.57992743714125","18.450110296653715","48.94732833139363"
"98","38.32746393696305","6.779064591904476","71.67036614007768","30.948008034765692","18.520702878860885","49.73389110915537"
"99","38.63038284958426","6.856933692933978","72.4449739372672","31.230139439655883","18.581536915708206","50.50853982030622"
"100","38.99586442170794","6.90176195353154","73.19692671330426","31.551572333262804","19.0393921714329","51.26722969869603"
"101","39.306475771283885","6.987199599248628","73.94826441716309","31.8366097973431","19.0393921714329","52.006339946415736"
"102","39.581137586798015","7.070326029691169","74.71833504776087","32.01869768136515","19.19450287742219","52.40388162576296"
"103","39.85845426718456","7.1002189453453015","75.43725820725912","32.30978626923779","19.52041135008881","52.69288627610795"
"104","40.2246804950922","7.103518738420206","76.19968136427883","32.544330812003494","19.52041135008881","52.990512496633805"
"105","40.52620259253806","7.1355570509690605","76.94587483875344","32.800894976454046","19.52041135008881","53.288343712252654"
"106","40.71203361940881","7.1355570509690605","76.94587483875344","33.002372451640994","20.02741219670838","53.596483200274534"
"107","41.067540856732165","7.691992341278675","77.68420899049224","33.11545418768135","20.074450836470675","53.893829449373115"
