"Step","env_id: NNBandit-v0 - regret","env_id: NNBandit-v0 - regret__MIN","env_id: NNBandit-v0 - regret__MAX"
"1","0.3163963494201501","0","0.8443173766136169"
"2","0.5954045181473097","0.13427065312862396","1.3283791542053223"
"3","0.9010477299491565","0.13427065312862396","2.068763256072998"
"4","1.1722108041246733","0.14137081801891327","2.7356789112091064"
"5","1.5909853339195252","0.6285569071769714","3.2319579124450684"
"6","1.8993293782075247","0.6616321206092834","4.031394004821777"
"7","2.17424014210701","0.9859196543693542","4.832180500030518"
"8","2.4803646008173623","1.0809375047683716","5.220639705657959"
"9","2.832865079243978","1.1079559326171875","5.838874340057373"
"10","3.174363382657369","1.1079559326171875","5.838874340057373"
"11","3.4746991833051046","1.1873562335968018","6.442995071411133"
"12","3.775363238652547","1.285927176475525","7.129486083984375"
"13","4.12532928387324","1.3166238069534302","7.980029582977295"
"14","4.441525141398112","1.345947265625","8.502707481384277"
"15","4.750017440319061","1.471378207206726","9.244744300842285"
"16","5.104197367032369","1.7263014316558838","9.866290092468262"
"17","5.378378009796142","1.8530914783477783","10.59768295288086"
"18","5.725543812910716","1.8644975423812866","11.484729766845703"
"19","5.993473573525747","1.9922186136245728","12.159429550170898"
"20","6.339574797948202","2.01759672164917","12.72864055633545"
"21","6.661370126406352","2.01759672164917","13.291610717773438"
"22","6.979626806577047","2.590179443359375","13.768919944763184"
"23","7.345708250999451","2.665767192840576","14.408514976501465"
"24","7.619803420702616","2.6944656372070312","14.508465766906738"
"25","7.957271424929301","2.9438817501068115","15.08853530883789"
"26","8.281125728289286","3.0876212120056152","15.661453247070312"
"27","8.61117623647054","3.2756705284118652","16.33753776550293"
"28","8.848880322774251","3.464334011077881","16.33753776550293"
"29","9.068053619066875","3.4712064266204834","16.33753776550293"
"30","9.35569070180257","3.581249952316284","17.151103973388672"
"31","9.664848359425863","3.581249952316284","17.96002769470215"
"32","10.0446457862854","3.746758460998535","18.838346481323242"
"33","10.373085935910543","3.769904375076294","19.36836051940918"
"34","10.667895579338074","3.769904375076294","20.007783889770508"
"35","10.943845788637796","3.9732587337493896","20.675451278686523"
"36","11.259474285443623","3.9732587337493896","21.37067222595215"
"37","11.631025330225627","4.461559295654297","22.179840087890625"
"38","11.942866818110149","4.461559295654297","22.801389694213867"
"39","12.29465030034383","4.865240573883057","23.408954620361328"
"40","12.627219835917154","5.019903659820557","23.91827392578125"
"41","12.937710762023926","5.027888298034668","24.69011116027832"
"42","13.270427004496257","5.037386417388916","25.289562225341797"
"43","13.676007254918416","5.114676475524902","25.611846923828125"
"44","13.969274727503459","5.271926403045654","25.611846923828125"
"45","14.254039732615153","5.271926403045654","25.611846923828125"
"46","14.558245261510214","5.689976215362549","26.127477645874023"
"47","14.879773537317911","5.907825469970703","26.676227569580078"
"48","15.189143292109172","5.907825469970703","27.54991340637207"
"49","15.516743437449138","6.178450107574463","27.54991340637207"
"50","15.85351258913676","6.289217472076416","28.53260612487793"
"51","16.114862807591756","6.516613483428955","29.172374725341797"
"52","16.428708680470784","6.6932878494262695","29.841001510620117"
"53","16.742601092656454","6.999001979827881","30.429780960083008"
"54","17.018182516098022","7.041031360626221","30.99713134765625"
"55","17.25186405181885","7.125321388244629","31.682161331176758"
"56","17.423999484380086","7.303863525390625","31.682161331176758"
"57","17.68364210128784","7.353509902954102","31.682161331176758"
"58","17.986095412572226","7.427460193634033","32.39321517944336"
"59","18.21182543436686","7.654261589050293","32.981719970703125"
"60","18.371010653177898","7.894166946411133","33.469017028808594"
"61","18.643016608556113","7.934336185455322","34.4395866394043"
"62","18.86475035349528","8.19918441772461","35.262901306152344"
"63","19.078239250183106","8.220484733581543","35.882652282714844"
"64","19.268522675832113","8.367547035217285","36.578765869140625"
"65","19.490296173095704","8.42775821685791","37.257293701171875"
"66","19.693068345387776","8.476763725280762","37.867156982421875"
"67","19.928077761332194","8.476763725280762","38.43400192260742"
"68","20.170903968811036","8.538872718811035","39.25529861450195"
"69","20.328395271301268","8.676009178161621","39.85222625732422"
"70","20.49989105860392","8.732995986938477","39.85222625732422"
"71","20.73366289138794","8.889217376708984","39.85222625732422"
"72","20.953206253051757","8.889487266540527","40.42403030395508"
"73","21.04161942799886","9.028519630432129","40.42403030395508"
"74","21.161659971872965","9.136383056640625","41.10759735107422"
"75","21.278323618570962","9.169002532958984","41.10759735107422"
"76","21.53016538619995","9.185672760009766","41.10759735107422"
"77","21.708444817860922","9.35082721710205","41.10759735107422"
"78","21.891552639007568","9.648306846618652","42.176063537597656"
"79","22.041975466410317","9.743393898010254","42.176063537597656"
"80","22.211164665222167","9.868854522705078","42.176063537597656"
"81","22.415568669637043","9.959948539733887","42.82267761230469"
"82","22.581434790293375","9.959948539733887","42.82267761230469"
"83","22.724539025624594","9.970516204833984","43.38345718383789"
"84","22.9522673924764","10.220796585083008","44.362979888916016"
"85","23.096820068359374","10.390811920166016","44.362979888916016"
"86","23.289032236735025","10.47553539276123","44.9720458984375"
"87","23.463912709554037","10.647958755493164","45.142086029052734"
"88","23.591661898295083","10.735962867736816","45.73064422607422"
"89","23.767538197835286","10.914814949035645","45.73064422607422"
"90","23.914697202046714","11.001060485839844","45.9996452331543"
"91","24.09392286936442","11.001060485839844","45.9996452331543"
"92","24.244588057200115","11.237772941589355","45.9996452331543"
"93","24.403844102223715","11.431374549865723","46.66770553588867"
"94","24.562013626098633","11.652874946594238","46.66770553588867"
"95","24.757088088989256","11.652874946594238","47.460758209228516"
"96","24.924516010284425","11.652874946594238","47.460758209228516"
