"Step","noisy_net: true - regret","noisy_net: true - regret__MIN","noisy_net: true - regret__MAX"
"1","0.3808821087082227","0","0.7498874664306641"
"2","0.7047466211020946","0","1.1581791639328003"
"3","1.0231265793244044","0","1.8670108318328857"
"4","1.3336905638376872","0","2.358489513397217"
"5","1.6485295315583548","0","3.0645742416381836"
"6","1.9576074292262395","0.43536725640296936","3.500253200531006"
"7","2.3609514832496643","0.9116623401641846","4.290693759918213"
"8","2.726985585689545","1.2706948518753052","4.949870586395264"
"9","3.0458008925120037","1.349456548690796","5.744732856750488"
"10","3.3312557975451154","1.4643347263336182","6.341144561767578"
"11","3.623709245522817","1.4643347263336182","6.73826265335083"
"12","3.9801695505777994","1.4643347263336182","7.543259620666504"
"13","4.408584070205689","2.153932809829712","8.050694465637207"
"14","4.739862140019735","2.4821972846984863","8.802852630615234"
"15","5.091867955525716","2.6694538593292236","9.363429069519043"
"16","5.385922861099243","2.7273011207580566","9.839686393737793"
"17","5.776321927706401","2.9781131744384766","9.86477279663086"
"18","6.110666251182556","3.0829343795776367","10.030071258544922"
"19","6.468625386555989","3.4445688724517822","10.460278511047363"
"20","6.865712404251099","3.6685092449188232","10.969071388244629"
"21","7.224367038408915","3.6696040630340576","11.025358200073242"
"22","7.540212726593017","4.0525803565979","11.671982765197754"
"23","7.929610125223795","4.0525803565979","12.11544418334961"
"24","8.257581106821696","4.308921813964844","12.629959106445312"
"25","8.592918332417806","4.927987098693848","13.346563339233398"
"26","8.946841478347778","5.255532264709473","13.85627269744873"
"27","9.419495900472006","5.290122032165527","14.363167762756348"
"28","9.73781558672587","5.518759250640869","14.517979621887207"
"29","10.029783550898234","5.810129165649414","15.251422882080078"
"30","10.387490940093993","6.0816850662231445","15.523164749145508"
"31","10.768878189722697","6.277994632720947","16.168933868408203"
"32","11.132642730077107","6.453936576843262","16.95079803466797"
"33","11.504877201716106","6.8072428703308105","17.688234329223633"
"34","11.803391440709431","6.899374485015869","18.69255256652832"
"35","12.169796037673951","6.899374485015869","19.011058807373047"
"36","12.526430940628051","7.387121200561523","19.528501510620117"
"37","12.846932729085287","7.434008598327637","20.092018127441406"
"38","13.20092641512553","7.633934497833252","20.744062423706055"
"39","13.59739891688029","7.778745651245117","21.29054069519043"
"40","13.994170379638671","7.808854103088379","21.88961410522461"
"41","14.289070097605387","7.961515426635742","22.446216583251953"
"42","14.601523844401042","8.048224449157715","22.56595230102539"
"43","14.877065022786459","8.072393417358398","22.764062881469727"
"44","15.20856564839681","8.072393417358398","23.435867309570312"
