"Step","noisy_net: false - score","noisy_net: false - score__MIN","noisy_net: false - score__MAX","noisy_net: true - score","noisy_net: true - score__MIN","noisy_net: true - score__MAX"
"50","0.05548292029416188","-0.08284964174032211","0.26059219300746916","-0.041379756402562966","-0.15467796772718428","0.12264059007167816"
"100","0.04693733954569325","-0.11683659836649894","0.23485780417919158","-0.030543666146695604","-0.17496859684586524","0.1581826888024807"
"150","0.19563887738389893","-0.013245075829327107","0.31515884697437285","0.1595752134715969","0.057488186359405516","0.26307164013385775"
"200","0.24575818525627258","0.058792782723903654","0.3871082726120949","0.2467101850157434","0.1503378163278103","0.3981620836257935"
"250","0.2766113657224923","0.036303689181804655","0.4199424010515213","0.256639985238964","0.1620272082090378","0.405780217051506"
"300","0.29162347718374804","0.07634726595133542","0.43233334928750994","0.26774653567509216","0.17134110495448113","0.40658254981040953"
"350","0.30954391441075124","0.10890983760356904","0.5024987590312958","0.26796275233680555","0.16413818448781967","0.4228966224193573"
"400","0.31379585184156894","0.10996753938496112","0.4427204981446266","0.27139745486053557","0.17787663489580155","0.4350604856014252"
"450","0.31606402966193853","0.12779767245054244","0.48947820425033567","0.26923374635252084","0.18287979453802108","0.43361960411071776"
"500","0.30994052601512523","0.11065690740942954","0.47570134699344635","0.27337930121205073","0.1937055891752243","0.4266393196582794"
"550","0.3204481483227573","0.10293889150023461","0.49135946333408353","0.2726490850475702","0.17891354143619537","0.4250027424097061"
"600","0.3203351971507072","0.12015996649861335","0.48057060286402703","0.27329759156162087","0.19502007231116295","0.411803360581398"
"650","0.31769827731885014","0.13802100874483586","0.4412492494285107","0.2765684047205882","0.18695543259382247","0.42219069063663484"
"700","0.32819779915735126","0.13693814285099506","0.4903752028942108","0.27815680579705676","0.1807565239071846","0.42098418474197385"
"750","0.3309947626758367","0.13569140426814555","0.4858133178949356","0.2773554809526964","0.19785459190607071","0.3996121937036514"
"800","0.31991125441389157","0.12830538995563984","0.4667971557378769","0.27677476792172956","0.19427214413881302","0.4059253126382828"
"850","0.32543908894760537","0.12475848000496625","0.47649012446403505","0.2816253893348304","0.19372357234358786","0.4163310593366623"
"900","0.32960125816869545","0.08915928483009339","0.4878568622469902","0.2807381510734558","0.18667908608913422","0.4099432694911957"
"950","0.32733580416534097","0.13823630072176457","0.46959115505218507","0.2778730104457248","0.191416467577219","0.40517460703849795"
"1000","0.328977183890529","0.11922588683664799","0.47719660043716433","0.28666934209791095","0.1951495485007763","0.4176909101009369"
"1050","0.3276056703785434","0.12797115847468377","0.4607773357629776","0.2738488088683649","0.19737169057130813","0.40249179661273954"
"1100","0.3344096215162426","0.10432335570454597","0.46814336001873014","0.2818230115148154","0.19985855162143706","0.40749976873397825"
"1150","0.3285826601902954","0.11985339846462012","0.5010883688926697","0.2774786778607152","0.1818195852637291","0.4153076148033142"
"1200","0.33423433851450685","0.11931781224906444","0.4921700829267502","0.28239124318415465","0.1931374864280224","0.4062143313884735"
"1250","0.32958348400890825","0.13408061392605305","0.47023303627967833","0.28106090817939156","0.20665091633796692","0.3953776228427887"
"1300","0.3295070181414485","0.11241780787706375","0.4633282086253166","0.2813379978049885","0.19495229914784432","0.4130728137493134"
"1350","0.32683224891778084","0.13033681273460387","0.46290668070316315","0.27861517220735554","0.19554676681756974","0.41231491446495055"
"1400","0.3288601636653765","0.12030781611800194","0.49273655235767366","0.27731845846230335","0.1911490361392498","0.3997484529018402"
"1450","0.33611106643918903","0.11818833343684673","0.48799906253814695","0.284382518529892","0.19568604677915574","0.42374371945858"
"1500","0.3318857168778777","0.1344913326948881","0.48598110854625703","0.2799579266594215","0.18562204129993914","0.38932208240032196"
"1550","0.33092105636605995","0.12434869561344385","0.4724125933647156","0.2808600683036176","0.19252031728625296","0.41466378152370453"
"1600","0.33438544668490067","0.11748531091958285","0.4879488706588745","0.2834048761427403","0.18850466892123222","0.4147551429271698"
"1650","0.3374090616591275","0.1359455145150423","0.49840138614177704","0.27881109653548763","0.19102459132671357","0.4064553725719452"
"1700","0.3401806364348158","0.11369085974991322","0.48290860533714297","0.2814439284259623","0.197767513692379","0.3986965489387512"
"1750","0.33761672287248073","0.10680230841040611","0.4696256798505783","0.2812983617728407","0.19790710926055907","0.41449565172195435"
"1800","0.33936230691615493","0.1367424488812685","0.5006015354394913","0.28054462256756696","0.20149874523282052","0.39377920448780057"
"1850","0.33958305956795815","0.14262201204895975","0.4869120305776596","0.2807436672801321","0.19933115378022193","0.414080109000206"
"1900","0.339739144416526","0.14711020216345788","0.49831644117832186","0.2799695721268654","0.1977314767241478","0.4137305527925491"
"1950","0.33959675736725325","0.11998751893639564","0.4913125228881836","0.2839952276240696","0.19414232343435286","0.3974365621805191"
"2000","0.3373021238856017","0.1458768667280674","0.49288553178310396","0.2813211418959227","0.1958898501098156","0.4075592339038849"
