"Step","noisy_net: false - exploration_rate","noisy_net: false - exploration_rate__MIN","noisy_net: false - exploration_rate__MAX","noisy_net: true - exploration_rate","noisy_net: true - exploration_rate__MIN","noisy_net: true - exploration_rate__MAX"
"1","0.5","0.5","0.5","","",""
"2","0.4985","0.4985","0.4985","","",""
"3","0.49699999999999994","0.497","0.497","","",""
"4","0.4954999999999999","0.4955","0.4955","","",""
"5","0.49399999999999983","0.494","0.494","","",""
"6","0.4924999999999999","0.4925","0.4925","","",""
"7","0.4909999999999999","0.491","0.491","","",""
"8","0.4894999999999998","0.4895","0.4895","","",""
"9","0.48799999999999977","0.488","0.488","","",""
"10","0.48650000000000015","0.4865","0.4865","0.25","0","0.55"
"11","0.4850000000000001","0.485","0.485","","",""
"12","0.4835000000000001","0.4835","0.4835","","",""
"13","0.48200000000000015","0.482","0.482","","",""
"14","0.4805000000000001","0.4805","0.4805","","",""
"15","0.47900000000000004","0.479","0.479","","",""
"16","0.4775","0.4775","0.4775","","",""
"17","0.476","0.476","0.476","","",""
"18","0.4745","0.4745","0.4745","","",""
"19","0.4729999999999999","0.473","0.473","","",""
"20","0.47149999999999986","0.4715","0.4715","0.2931818181818182","0.09999999999999998","0.47500000000000003"
"21","0.4699999999999998","0.47","0.47","","",""
"22","0.46849999999999986","0.46849999999999997","0.46849999999999997","","",""
"23","0.46699999999999986","0.46699999999999997","0.46699999999999997","","",""
"24","0.4654999999999998","0.46549999999999997","0.46549999999999997","","",""
"25","0.4640000000000002","0.46399999999999997","0.46399999999999997","","",""
"26","0.46250000000000013","0.46249999999999997","0.46249999999999997","","",""
"27","0.4610000000000001","0.46099999999999997","0.46099999999999997","","",""
"28","0.4595000000000001","0.45949999999999996","0.45949999999999996","","",""
"29","0.45800000000000013","0.45799999999999996","0.45799999999999996","","",""
"30","0.4565000000000001","0.45649999999999996","0.45649999999999996","0.30909090909090914","0.1166666666666667","0.4833333333333334"
"31","0.455","0.45499999999999996","0.45499999999999996","","",""
"32","0.45349999999999996","0.45349999999999996","0.45349999999999996","","",""
"33","0.45199999999999996","0.45199999999999996","0.45199999999999996","","",""
"34","0.45049999999999996","0.45049999999999996","0.45049999999999996","","",""
"35","0.4489999999999999","0.44899999999999995","0.44899999999999995","","",""
"36","0.44749999999999984","0.44749999999999995","0.44749999999999995","","",""
"37","0.4459999999999998","0.44599999999999995","0.44599999999999995","","",""
"38","0.44449999999999984","0.44449999999999995","0.44449999999999995","","",""
"39","0.44299999999999984","0.44299999999999995","0.44299999999999995","","",""
"40","0.4414999999999998","0.44149999999999995","0.44149999999999995","0.29545454545454547","0.1375","0.48750000000000004"
"41","0.43999999999999984","0.43999999999999995","0.43999999999999995","","",""
"42","0.4385000000000001","0.43849999999999995","0.43849999999999995","","",""
"43","0.43700000000000006","0.43699999999999994","0.43699999999999994","","",""
"44","0.4355","0.43549999999999994","0.43549999999999994","","",""
"45","0.4340000000000001","0.43399999999999994","0.43399999999999994","","",""
"46","0.43250000000000005","0.43249999999999994","0.43249999999999994","","",""
"47","0.431","0.43099999999999994","0.43099999999999994","","",""
"48","0.42949999999999994","0.42949999999999994","0.42949999999999994","","",""
"49","0.42799999999999994","0.42799999999999994","0.42799999999999994","","",""
"50","0.42649999999999993","0.42649999999999993","0.42649999999999993","0.3072727272727272","0.17","0.52"
"51","0.4249999999999999","0.42499999999999993","0.42499999999999993","","",""
"52","0.4234999999999998","0.42349999999999993","0.42349999999999993","","",""
"53","0.42199999999999976","0.42199999999999993","0.42199999999999993","","",""
"54","0.4204999999999999","0.42049999999999993","0.42049999999999993","","",""
"55","0.4189999999999998","0.41899999999999993","0.41899999999999993","","",""
"56","0.41749999999999976","0.4174999999999999","0.4174999999999999","","",""
"57","0.41600000000000004","0.4159999999999999","0.4159999999999999","","",""
"58","0.4145000000000001","0.4144999999999999","0.4144999999999999","","",""
"59","0.41300000000000003","0.4129999999999999","0.4129999999999999","","",""
"60","0.4115","0.4114999999999999","0.4114999999999999","0.3037878787878788","0.15833333333333335","0.525"
"61","0.4100000000000001","0.4099999999999999","0.4099999999999999","","",""
"62","0.40850000000000003","0.4084999999999999","0.4084999999999999","","",""
"63","0.407","0.4069999999999999","0.4069999999999999","","",""
"64","0.4054999999999999","0.4054999999999999","0.4054999999999999","","",""
"65","0.4039999999999999","0.4039999999999999","0.4039999999999999","","",""
"66","0.4024999999999999","0.4024999999999999","0.4024999999999999","","",""
"67","0.40099999999999986","0.4009999999999999","0.4009999999999999","","",""
"68","0.3994999999999998","0.3994999999999999","0.3994999999999999","","",""
"69","0.3979999999999998","0.3979999999999999","0.3979999999999999","","",""
"70","0.39649999999999985","0.3964999999999999","0.3964999999999999","0.3097402597402597","0.16428571428571428","0.47857142857142865"
"71","0.39499999999999985","0.3949999999999999","0.3949999999999999","","",""
"72","0.3934999999999998","0.3934999999999999","0.3934999999999999","","",""
"73","0.3919999999999998","0.3919999999999999","0.3919999999999999","","",""
