"Step","env_id: ContextualBandit-v2 - score","env_id: ContextualBandit-v2 - score__MIN","env_id: ContextualBandit-v2 - score__MAX"
"50","0.4886335795809542","0.27830969701244146","0.7293309641288706"
"100","0.4890175670834465","0.2893579365310069","0.7290949343177493"
"150","0.6186354637927169","0.43363863491119853","0.7928954985036956"
"200","0.7265748975471402","0.6208410411284314","0.8224454293751206"
"250","0.7584623161314842","0.6273407198276703","0.8584896845149814"
"300","0.7715554598670668","0.6169028893202467","0.8880743401157731"
"350","0.7817392831344797","0.6117136966310034","0.8706198315330437"
"400","0.7922816380170833","0.6300706929702411","0.894245342217724"
"450","0.8006062976631416","0.6183693059030043","0.8777458071502313"
"500","0.8070974017365086","0.6270159860658969","0.894100766275554"
"550","0.8161010343865653","0.680313613331387","0.8889947593147789"
"600","0.8200640504045057","0.6449128107682154","0.8978955971823204"
"650","0.826101847522439","0.6718103252970796","0.9081981406971381"
"700","0.8289189112397404","0.6689399046736937","0.92347968386314"
"750","0.8334834525476418","0.6899977453060268","0.911755680289222"
"800","0.8348550766934413","0.6913149635730916","0.9109482340088642"
"850","0.838936762019278","0.658112362794116","0.9080358453893048"
"900","0.8405921036464624","0.6800989625931518","0.9165331368246167"
"950","0.8405336242296617","0.6698800895039615","0.9181224014692926"
"1000","0.8405719509572033","0.6832252483912394","0.9156306733632437"
"1050","0.8387964543758964","0.6779024790815588","0.912537720567246"
"1100","0.8475403905942576","0.7033785025296629","0.9121786248001065"
"1150","0.8483764065164408","0.6559363336960662","0.923866003902263"
"1200","0.8450396505346395","0.6841200986755505","0.9188818917049655"
"1250","0.8469203688926515","0.6987344971273913","0.909579179805424"
"1300","0.8471917124683306","0.6797133040572519","0.9156404283988628"
"1350","0.8499163263409886","0.7053399505846624","0.9206123460474268"
"1400","0.8512080837967505","0.6990034664442575","0.9207523650621771"
"1450","0.8498734262552867","0.691311114528005","0.9190117364939226"
"1500","0.8497301222315714","0.7286731324363735","0.9133211011446192"
"1550","0.8499492582825946","0.6951975351087788","0.918055320368159"
"1600","0.851102118309607","0.7049817912661411","0.920434451292832"
"1650","0.849956420190741","0.7037851848714197","0.9189930769637314"
"1700","0.8541592192158259","0.717277491948353","0.9223074635088692"
"1750","0.8496587710966911","0.7106356240994229","0.9150568154125418"
"1800","0.8511273516114019","0.6755681007717161","0.9162034899156601"
"1850","0.8507671680644104","0.6982224816136822","0.9197553703735357"
"1900","0.8515058961603592","0.6763710578713851","0.9212932210419098"
"1950","0.8497724083211389","0.7063237479584957","0.9123864495121119"
"2000","0.8527843931947681","0.7097290787585163","0.9200216194480495"
