"Step","noisy_net: true - score","noisy_net: true - score__MIN","noisy_net: true - score__MAX","noisy_net: false - score","noisy_net: false - score__MIN","noisy_net: false - score__MAX"
"50","0.041415241463826254","-0.15793508399277925","0.19858588367700578","-0.0020383784826844883","-0.21178061358630657","0.1392450448125601"
"100","0.058039746407706004","-0.15843071579933166","0.254175985455513","-0.016371820261701947","-0.2386426818370819","0.1292797428369522"
"150","0.23277465003614242","-0.01674881301820278","0.4028332094848156","0.24523185566067696","0.028745340071618556","0.4001688903570175"
"200","0.3072133173105808","0.15078936614096164","0.5343260079622268","0.3574035512035092","0.1824407321959734","0.49327958941459654"
"250","0.31846054522463907","0.19249073021113872","0.5147572898864746","0.3821247214575609","0.20102233499288558","0.5066687172651291"
"300","0.32542733496198295","0.19085097625851632","0.5225140380859375","0.37792192882547776","0.19387032195925713","0.5256844460964203"
"350","0.3246439007497751","0.19837194323539734","0.5361910456418991","0.3883926451702912","0.2088854530453682","0.5130879211425782"
"400","0.33028759787288997","0.19827855214476586","0.5273519104719162","0.3953564981619517","0.20688799411058426","0.5214116936922073"
"450","0.32887711586860513","0.20093632876873016","0.5249204742908478","0.39585990033422896","0.204563190639019","0.5459703707695007"
"500","0.3313059287919448","0.19963306307792664","0.5039067196846009","0.3865432026982307","0.20085787683725356","0.5196377754211425"
"550","0.33091719123033375","0.2016810366511345","0.5294157367944717","0.38723217980315283","0.20837011709809303","0.5428276568651199"
"600","0.33318701924039773","0.20349854677915574","0.5281455391645431","0.3874636115133762","0.20724919453263282","0.5387683725357055"
"650","0.32610063430208425","0.20276107221841813","0.5263414746522903","0.39308936273058254","0.2027953213453293","0.5110083305835724"
"700","0.33092166773401777","0.20136867910623552","0.5119467401504516","0.39565280629942823","0.21136098504066467","0.5510572022199631"
"750","0.3341546333753145","0.20467300325632096","0.5259695672988891","0.38810458573202294","0.194088903516531","0.5137045627832413"
"800","0.3272396609072502","0.19758003324270249","0.5201700466871262","0.3860231846570969","0.20553392052650452","0.543203929066658"
"850","0.3344114177502118","0.20055781334638595","0.5429939687252044","0.3950526614735524","0.21385486736893655","0.5461551713943481"
"900","0.33203030693989527","0.2016332697868347","0.517978908419609","0.3921098933865626","0.19753818064928055","0.5379897552728653"
"950","0.33117123071963966","0.20712955564260482","0.5264372128248215","0.39384610645473006","0.20465066969394685","0.5302594918012619"
"1000","0.33516869177038855","0.19866472542285918","0.5310228753089905","0.39164888157819716","0.20569696843624116","0.5309660357236862"
"1050","0.33605225347555606","0.20144879311323166","0.5434964197874069","0.3946465394149224","0.20266747385263442","0.5303328138589859"
"1100","0.33029268801212314","0.20567896366119384","0.526636751294136","0.38568056674053275","0.21174713030457495","0.5273298102617264"
"1150","0.3339533592989812","0.20312486350536346","0.5163352280855179","0.3945929981023073","0.21231352537870407","0.5229385483264923"
"1200","0.33667885296619854","0.20508526891469955","0.5414166474342346","0.3954074072030683","0.20593487605452537","0.5630728155374527"
"1250","0.33711620961244293","0.20680248439311982","0.5489895623922348","0.3906283701956272","0.19462453916668893","0.5682777225971222"
"1300","0.3373037953789417","0.20468716353178024","0.5318560814857483","0.3939392032225926","0.2041923601925373","0.5298719626665115"
"1350","0.33328433812810826","0.20361336559057236","0.5483011156320572","0.3886230099573731","0.19237059772014617","0.5244802540540695"
"1400","0.3388172129484323","0.19846550971269608","0.5193669122457504","0.3907399836430947","0.2001165409386158","0.5452014589309693"
"1450","0.33251360456530865","0.19794903784990311","0.548261370062828","0.3870999215977888","0.19660119980573654","0.5298904931545257"
"1500","0.33452644607195486","0.20514187097549438","0.5394902002811431","0.39430875291426976","0.20425099313259124","0.5260146021842956"
"1550","0.3317660892582856","0.20494161307811737","0.511224849820137","0.3907224546993772","0.203255233168602","0.5284488558769226"
"1600","0.3367887248442723","0.2037453109025955","0.5212650090456009","0.3926025451471408","0.20392094179987907","0.5241356128454209"
"1650","0.33617100124175736","0.20340301603078842","0.5305426996946335","0.3909854201475779","0.21652859479188918","0.5146631175279617"
"1700","0.33391570074053906","0.20203067034482955","0.5213563513755798","0.3876629974817236","0.20835973471403121","0.5157604992389679"
"1750","0.3369786292773027","0.20220784962177277","0.5215067893266678","0.39506109376748405","0.2108689573407173","0.5526360529661178"
"1800","0.3354350110200735","0.20685968965291976","0.5131451559066772","0.39256009866793945","0.20128936260938646","0.5481308263540268"
"1850","0.33577501154862915","0.20076334416866304","0.5494166105985642","0.3959299427022536","0.21305840730667114","0.5215091127157211"
"1900","0.3355834547372964","0.19850648641586305","0.5404313004016876","0.39409817946453884","0.20059087991714478","0.5255565148591995"
"1950","0.3393921091694099","0.2018917167186737","0.5445627558231354","0.3962685509026051","0.20305090755224228","0.5548322606086731"
"2000","0.3380342079011293","0.20357367128133774","0.514763143658638","0.38722347536434726","0.2097286881506443","0.5526223856210709"
