"Name","batch_size","mean_regret","seed","env_id","memory_size","_wandb"
"conbandit_combi1_0__5__2025-06-18_12-47","200","94.63375091552734","5","NNBandit-v0","1000",""
"conbandit_combi1_0__4__2025-06-18_12-46","200","122.83473205566406","4","NNBandit-v0","1000",""
"conbandit_combi1_0__3__2025-06-18_12-46","200","138.83090209960938","3","NNBandit-v0","1000",""
"conbandit_combi1_0__2__2025-06-18_12-46","200","85.4046401977539","2","NNBandit-v0","1000",""
"conbandit_combi1_0__1__2025-06-18_12-45","200","72.79340362548828","1","NNBandit-v0","1000",""
"conbandit_combi1_0__0__2025-06-18_12-45","200","62.785789489746094","0","NNBandit-v0","1000",""
"conbandit_combi1_0__5__2025-06-18_12-40","200","87.82216045565534","5","ContextualBandit-v2","1000",""
"conbandit_combi1_0__4__2025-06-18_12-40","200","211.68051185925097","4","ContextualBandit-v2","1000",""
"conbandit_combi1_0__3__2025-06-18_12-40","200","86.66780172875681","3","ContextualBandit-v2","1000",""
"conbandit_combi1_0__2__2025-06-18_12-39","200","77.65098256005952","2","ContextualBandit-v2","1000",""
"conbandit_combi1_0__1__2025-06-18_12-39","200","78.2740099878231","1","ContextualBandit-v2","1000",""
"conbandit_combi1_0__0__2025-06-18_12-39","200","42.644924049368875","0","ContextualBandit-v2","1000",""
"conbandit_combi1_0__5__2025-06-18_12-34","100","54.462860107421875","5","NNBandit-v0","1000",""
"conbandit_combi1_0__4__2025-06-18_12-34","100","90.97180938720705","4","NNBandit-v0","1000",""
"conbandit_combi1_0__3__2025-06-18_12-33","100","89.22207641601562","3","NNBandit-v0","1000",""
"conbandit_combi1_0__2__2025-06-18_12-33","100","54.52947616577149","2","NNBandit-v0","1000",""
"conbandit_combi1_0__1__2025-06-18_12-33","100","39.53823471069336","1","NNBandit-v0","1000",""
"conbandit_combi1_0__0__2025-06-18_12-33","100","41.76332092285156","0","NNBandit-v0","1000",""
"conbandit_combi1_0__5__2025-06-18_12-28","100","58.71278532570155","5","ContextualBandit-v2","1000",""
"conbandit_combi1_0__4__2025-06-18_12-27","100","195.85458666155995","4","ContextualBandit-v2","1000",""
"conbandit_combi1_0__3__2025-06-18_12-27","100","60.62274682286551","3","ContextualBandit-v2","1000",""
"conbandit_combi1_0__2__2025-06-18_12-27","100","61.38329132846916","2","ContextualBandit-v2","1000",""
"conbandit_combi1_0__1__2025-06-18_12-27","100","84.38276584136297","1","ContextualBandit-v2","1000",""
"conbandit_combi1_0__0__2025-06-18_12-26","100","30.40893424534131","0","ContextualBandit-v2","1000",""
"conbandit_combi1_0__5__2025-06-18_12-21","50","33.687461853027344","5","NNBandit-v0","1000",""
"conbandit_combi1_0__4__2025-06-18_12-21","50","55.84149932861328","4","NNBandit-v0","1000",""
"conbandit_combi1_0__3__2025-06-18_12-21","50","62.58367156982422","3","NNBandit-v0","1000",""
"conbandit_combi1_0__2__2025-06-18_12-20","50","39.93711853027344","2","NNBandit-v0","1000",""
"conbandit_combi1_0__1__2025-06-18_12-20","50","26.594528198242188","1","NNBandit-v0","1000",""
"conbandit_combi1_0__0__2025-06-18_12-20","50","34.901344299316406","0","NNBandit-v0","1000",""
"conbandit_combi1_0__5__2025-06-18_12-15","50","59.52661053554265","5","ContextualBandit-v2","1000",""
"conbandit_combi1_0__4__2025-06-18_12-15","50","188.74323574950537","4","ContextualBandit-v2","1000",""
"conbandit_combi1_0__3__2025-06-18_12-14","50","48.94414315784755","3","ContextualBandit-v2","1000",""
"conbandit_combi1_0__2__2025-06-18_12-14","50","55.272861900964536","2","ContextualBandit-v2","1000",""
"conbandit_combi1_0__1__2025-06-18_12-14","50","75.41547408326203","1","ContextualBandit-v2","1000",""
"conbandit_combi1_0__0__2025-06-18_12-14","50","24.178993155231304","0","ContextualBandit-v2","1000",""
"conbandit_combi1_0__5__2025-06-18_12-09","30","28.0293025970459","5","NNBandit-v0","1000",""
"conbandit_combi1_0__4__2025-06-18_12-09","30","44.41408920288086","4","NNBandit-v0","1000",""
"conbandit_combi1_0__3__2025-06-18_12-09","30","55.921138763427734","3","NNBandit-v0","1000",""
"conbandit_combi1_0__2__2025-06-18_12-09","30","29.14575958251953","2","NNBandit-v0","1000",""
"conbandit_combi1_0__1__2025-06-18_12-09","30","24.154630661010746","1","NNBandit-v0","1000",""
"conbandit_combi1_0__0__2025-06-18_12-08","30","33.57545471191406","0","NNBandit-v0","1000",""
"conbandit_combi1_0__5__2025-06-18_12-04","30","57.23381246300641","5","ContextualBandit-v2","1000",""
"conbandit_combi1_0__4__2025-06-18_12-04","30","184.83995158997857","4","ContextualBandit-v2","1000",""
"conbandit_combi1_0__3__2025-06-18_12-04","30","59.744200416927335","3","ContextualBandit-v2","1000",""
"conbandit_combi1_0__2__2025-06-18_12-03","30","59.330560250917245","2","ContextualBandit-v2","1000",""
"conbandit_combi1_0__1__2025-06-18_12-03","30","70.93737490260573","1","ContextualBandit-v2","1000",""
"conbandit_combi1_0__0__2025-06-18_12-03","30","22.31032438815274","0","ContextualBandit-v2","1000",""
"conbandit_combi1_0__5__2025-06-18_11-58","20","25.682327270507812","5","NNBandit-v0","1000",""
"conbandit_combi1_0__4__2025-06-18_11-58","20","43.54130554199219","4","NNBandit-v0","1000",""
"conbandit_combi1_0__3__2025-06-18_11-58","20","48.46879959106445","3","NNBandit-v0","1000",""
"conbandit_combi1_0__2__2025-06-18_11-58","20","25.987916946411133","2","NNBandit-v0","1000",""
"conbandit_combi1_0__1__2025-06-18_11-57","20","23.42710876464844","1","NNBandit-v0","1000",""
"conbandit_combi1_0__0__2025-06-18_11-57","20","34.412574768066406","0","NNBandit-v0","1000",""
"conbandit_combi1_0__5__2025-06-18_11-53","20","58.0136691624789","5","ContextualBandit-v2","1000",""
"conbandit_combi1_0__4__2025-06-18_11-52","20","182.93774803121417","4","ContextualBandit-v2","1000",""
"conbandit_combi1_0__3__2025-06-18_11-52","20","59.22449803385236","3","ContextualBandit-v2","1000",""
"conbandit_combi1_0__2__2025-06-18_11-52","20","52.56420394172467","2","ContextualBandit-v2","1000",""
"conbandit_combi1_0__1__2025-06-18_11-52","20","79.98365981819133","1","ContextualBandit-v2","1000",""
"conbandit_combi1_0__0__2025-06-18_11-51","20","20.52689830530139","0","ContextualBandit-v2","1000",""
"conbandit_combi1_0__5__2025-06-18_11-47","10","23.235153198242188","5","NNBandit-v0","1000",""
"conbandit_combi1_0__4__2025-06-18_11-46","10","39.548606872558594","4","NNBandit-v0","1000",""
"conbandit_combi1_0__3__2025-06-18_11-46","10","53.47414779663086","3","NNBandit-v0","1000",""
"conbandit_combi1_0__2__2025-06-18_11-46","10","23.722625732421875","2","NNBandit-v0","1000",""
"conbandit_combi1_0__1__2025-06-18_11-46","10","19.619903564453125","1","NNBandit-v0","1000",""
"conbandit_combi1_0__0__2025-06-18_11-45","10","37.44583511352539","0","NNBandit-v0","1000",""
"conbandit_combi1_0__5__2025-06-18_11-41","10","50.67820355799976","5","ContextualBandit-v2","1000",""
"conbandit_combi1_0__4__2025-06-18_11-40","10","190.06346041663508","4","ContextualBandit-v2","1000",""
"conbandit_combi1_0__3__2025-06-18_11-40","10","63.34367816826917","3","ContextualBandit-v2","1000",""
"conbandit_combi1_0__2__2025-06-18_11-40","10","51.45813067885997","2","ContextualBandit-v2","1000",""
"conbandit_combi1_0__1__2025-06-18_11-40","10","75.59755284712921","1","ContextualBandit-v2","1000",""
"conbandit_combi1_0__0__2025-06-18_11-39","10","22.786497738078747","0","ContextualBandit-v2","1000",""
"conbandit_combi1_0__5__2025-06-18_11-34","5","26.88439559936523","5","NNBandit-v0","1000",""
"conbandit_combi1_0__4__2025-06-18_11-34","5","42.991973876953125","4","NNBandit-v0","1000",""
"conbandit_combi1_0__3__2025-06-18_11-34","5","60.72132873535156","3","NNBandit-v0","1000",""
"conbandit_combi1_0__2__2025-06-18_11-33","5","29.457639694213867","2","NNBandit-v0","1000",""
"conbandit_combi1_0__1__2025-06-18_11-33","5","20.140108108520508","1","NNBandit-v0","1000",""
"conbandit_combi1_0__0__2025-06-18_11-33","5","44.720943450927734","0","NNBandit-v0","1000",""
"conbandit_combi1_0__5__2025-06-18_11-28","5","58.251830037621154","5","ContextualBandit-v2","1000",""
"conbandit_combi1_0__4__2025-06-18_11-28","5","188.84351238447212","4","ContextualBandit-v2","1000",""
"conbandit_combi1_0__3__2025-06-18_11-27","5","62.0856099443617","3","ContextualBandit-v2","1000",""
"conbandit_combi1_0__2__2025-06-18_11-27","5","55.47448784317192","2","ContextualBandit-v2","1000",""
"conbandit_combi1_0__1__2025-06-18_11-27","5","66.22645354867001","1","ContextualBandit-v2","1000",""
"conbandit_combi1_0__0__2025-06-18_11-27","5","30.241307897057887","0","ContextualBandit-v2","1000",""
"conbandit_combi1_0__5__2025-06-18_11-23","2","32.994083404541016","5","NNBandit-v0","1000",""
"conbandit_combi1_0__4__2025-06-18_11-22","2","65.00264739990234","4","NNBandit-v0","1000",""
"conbandit_combi1_0__3__2025-06-18_11-22","2","74.57051849365234","3","NNBandit-v0","1000",""
"conbandit_combi1_0__2__2025-06-18_11-22","2","44.733009338378906","2","NNBandit-v0","1000",""
"conbandit_combi1_0__1__2025-06-18_11-22","2","27.904024124145508","1","NNBandit-v0","1000",""
"conbandit_combi1_0__0__2025-06-18_11-21","2","64.37549591064453","0","NNBandit-v0","1000",""
"conbandit_combi1_0__5__2025-06-18_11-16","2","67.67992995113993","5","ContextualBandit-v2","1000",""
"conbandit_combi1_0__4__2025-06-18_11-16","2","199.96248888277472","4","ContextualBandit-v2","1000",""
"conbandit_combi1_0__3__2025-06-18_11-16","2","81.9041270936784","3","ContextualBandit-v2","1000",""
"conbandit_combi1_0__2__2025-06-18_11-15","2","63.292369458895585","2","ContextualBandit-v2","1000",""
"conbandit_combi1_0__1__2025-06-18_11-15","2","76.83761940851777","1","ContextualBandit-v2","1000",""
"conbandit_combi1_0__0__2025-06-18_11-15","2","46.25179322658353","0","ContextualBandit-v2","1000",""
