"Name","batch_size","mean_regret","seed","env_id","memory_size","_wandb"
"conbandit_combi1_0__0__2025-06-18_12-00","20","34.425140380859375","0","NNBandit-v0","2000",""
"conbandit_combi1_0__5__2025-06-18_11-56","20","57.99767395464831","5","ContextualBandit-v2","2000",""
"conbandit_combi1_0__4__2025-06-18_11-55","20","183.4647121989511","4","ContextualBandit-v2","2000",""
"conbandit_combi1_0__3__2025-06-18_11-55","20","59.20919086768519","3","ContextualBandit-v2","2000",""
"conbandit_combi1_0__2__2025-06-18_11-55","20","52.537464132866795","2","ContextualBandit-v2","2000",""
"conbandit_combi1_0__1__2025-06-18_11-55","20","80.02006901981119","1","ContextualBandit-v2","2000",""
"conbandit_combi1_0__0__2025-06-18_11-54","20","20.642561041770776","0","ContextualBandit-v2","2000",""
"conbandit_combi1_0__5__2025-06-18_11-50","10","23.145273208618164","5","NNBandit-v0","2000",""
"conbandit_combi1_0__4__2025-06-18_11-49","10","39.349945068359375","4","NNBandit-v0","2000",""
"conbandit_combi1_0__3__2025-06-18_11-49","10","53.46215057373047","3","NNBandit-v0","2000",""
"conbandit_combi1_0__2__2025-06-18_11-49","10","23.6677188873291","2","NNBandit-v0","2000",""
"conbandit_combi1_0__1__2025-06-18_11-48","10","19.445331573486328","1","NNBandit-v0","2000",""
"conbandit_combi1_0__0__2025-06-18_11-48","10","37.46399688720703","0","NNBandit-v0","2000",""
"conbandit_combi1_0__5__2025-06-18_11-44","10","50.64776198015252","5","ContextualBandit-v2","2000",""
"conbandit_combi1_0__4__2025-06-18_11-43","10","190.63184397090208","4","ContextualBandit-v2","2000",""
"conbandit_combi1_0__3__2025-06-18_11-43","10","63.30969959160448","3","ContextualBandit-v2","2000",""
"conbandit_combi1_0__2__2025-06-18_11-43","10","51.06390534963227","2","ContextualBandit-v2","2000",""
"conbandit_combi1_0__1__2025-06-18_11-43","10","75.43147776235146","1","ContextualBandit-v2","2000",""
"conbandit_combi1_0__0__2025-06-18_11-42","10","22.95328308174359","0","ContextualBandit-v2","2000",""
"conbandit_combi1_0__5__2025-06-18_11-37","5","26.707660675048828","5","NNBandit-v0","2000",""
"conbandit_combi1_0__4__2025-06-18_11-37","5","43.06343078613281","4","NNBandit-v0","2000",""
