"Name","batch_size","mean_regret","env_id","memory_size","dynamic_rate","seed","_wandb"
"conbandit_combi1_0__2__2025-06-18_15-48","100","94.73084259033205","NNBandit-v0","2000","200","2",""
"conbandit_combi1_0__1__2025-06-18_15-47","100","40.12321090698242","NNBandit-v0","2000","200","1",""
"conbandit_combi1_0__0__2025-06-18_15-47","100","45.96434783935547","NNBandit-v0","2000","200","0",""
"conbandit_combi1_0__5__2025-06-18_15-47","100","96.57888793945312","NNBandit-v0","1500","200","5",""
"conbandit_combi1_0__4__2025-06-18_15-47","100","95.01750946044922","NNBandit-v0","1500","200","4",""
"conbandit_combi1_0__3__2025-06-18_15-46","100","141.17868041992188","NNBandit-v0","1500","200","3",""
"conbandit_combi1_0__2__2025-06-18_15-46","100","94.7113265991211","NNBandit-v0","1500","200","2",""
"conbandit_combi1_0__1__2025-06-18_15-46","100","40.12321090698242","NNBandit-v0","1500","200","1",""
"conbandit_combi1_0__0__2025-06-18_15-46","100","45.96434783935547","NNBandit-v0","1500","200","0",""
"conbandit_combi1_0__5__2025-06-18_15-45","100","93.3663558959961","NNBandit-v0","1000","200","5",""
"conbandit_combi1_0__4__2025-06-18_15-45","100","94.18074798583984","NNBandit-v0","1000","200","4",""
"conbandit_combi1_0__3__2025-06-18_15-45","100","137.24559020996094","NNBandit-v0","1000","200","3",""
"conbandit_combi1_0__2__2025-06-18_15-44","100","94.36288452148438","NNBandit-v0","1000","200","2",""
"conbandit_combi1_0__1__2025-06-18_15-44","100","40.12321090698242","NNBandit-v0","1000","200","1",""
"conbandit_combi1_0__0__2025-06-18_15-44","100","46.16839218139648","NNBandit-v0","1000","200","0",""
"conbandit_combi1_0__5__2025-06-18_15-43","100","83.42192077636719","NNBandit-v0","500","200","5",""
"conbandit_combi1_0__4__2025-06-18_15-43","100","93.0666046142578","NNBandit-v0","500","200","4",""
"conbandit_combi1_0__3__2025-06-18_15-43","100","125.4100112915039","NNBandit-v0","500","200","3",""
"conbandit_combi1_0__2__2025-06-18_15-42","100","90.9782485961914","NNBandit-v0","500","200","2",""
"conbandit_combi1_0__1__2025-06-18_15-42","100","40.109134674072266","NNBandit-v0","500","200","1",""
"conbandit_combi1_0__0__2025-06-18_15-42","100","45.63185119628906","NNBandit-v0","500","200","0",""
"conbandit_combi1_0__5__2025-06-18_15-41","100","276.5611999084273","ContextualBandit-v2","2000","200","5",""
"conbandit_combi1_0__4__2025-06-18_15-41","100","250.57564382470173","ContextualBandit-v2","2000","200","4",""
"conbandit_combi1_0__3__2025-06-18_15-41","100","321.1065240178419","ContextualBandit-v2","2000","200","3",""
"conbandit_combi1_0__2__2025-06-18_15-40","100","279.9786033421188","ContextualBandit-v2","2000","200","2",""
"conbandit_combi1_0__1__2025-06-18_15-40","100","214.1099685399819","ContextualBandit-v2","2000","200","1",""
"conbandit_combi1_0__0__2025-06-18_15-39","100","213.0773768281035","ContextualBandit-v2","2000","200","0",""
"conbandit_combi1_0__5__2025-06-18_15-39","100","277.27015805558005","ContextualBandit-v2","1500","200","5",""
"conbandit_combi1_0__4__2025-06-18_15-39","100","250.993195037162","ContextualBandit-v2","1500","200","4",""
"conbandit_combi1_0__3__2025-06-18_15-39","100","321.1083941395027","ContextualBandit-v2","1500","200","3",""
"conbandit_combi1_0__2__2025-06-18_15-38","100","279.4038647958289","ContextualBandit-v2","1500","200","2",""
"conbandit_combi1_0__1__2025-06-18_15-38","100","214.40446016739975","ContextualBandit-v2","1500","200","1",""
"conbandit_combi1_0__0__2025-06-18_15-38","100","212.9323417160285","ContextualBandit-v2","1500","200","0",""
"conbandit_combi1_0__5__2025-06-18_15-37","100","277.32489595057916","ContextualBandit-v2","1000","200","5",""
"conbandit_combi1_0__4__2025-06-18_15-37","100","253.14937970600425","ContextualBandit-v2","1000","200","4",""
"conbandit_combi1_0__3__2025-06-18_15-37","100","325.87986966148344","ContextualBandit-v2","1000","200","3",""
"conbandit_combi1_0__2__2025-06-18_15-37","100","288.4842620843298","ContextualBandit-v2","1000","200","2",""
"conbandit_combi1_0__1__2025-06-18_15-36","100","216.23955465034575","ContextualBandit-v2","1000","200","1",""
"conbandit_combi1_0__0__2025-06-18_15-36","100","228.8468759370097","ContextualBandit-v2","1000","200","0",""
"conbandit_combi1_0__5__2025-06-18_15-36","100","284.784385587936","ContextualBandit-v2","500","200","5",""
"conbandit_combi1_0__4__2025-06-18_15-36","100","253.30874763332653","ContextualBandit-v2","500","200","4",""
"conbandit_combi1_0__3__2025-06-18_15-35","100","321.80396407802425","ContextualBandit-v2","500","200","3",""
"conbandit_combi1_0__2__2025-06-18_15-35","100","297.8588208486924","ContextualBandit-v2","500","200","2",""
"conbandit_combi1_0__1__2025-06-18_15-35","100","204.95697801661652","ContextualBandit-v2","500","200","1",""
"conbandit_combi1_0__0__2025-06-18_15-35","100","234.0259973814727","ContextualBandit-v2","500","200","0",""
"conbandit_combi1_0__5__2025-06-18_15-22","50","112.71025848388672","NNBandit-v0","2000","200","5",""
"conbandit_combi1_0__4__2025-06-18_15-21","50","65.74085998535156","NNBandit-v0","2000","200","4",""
"conbandit_combi1_0__3__2025-06-18_15-21","50","112.77576446533205","NNBandit-v0","2000","200","3",""
"conbandit_combi1_0__2__2025-06-18_15-21","50","92.17472839355467","NNBandit-v0","2000","200","2",""
"conbandit_combi1_0__1__2025-06-18_15-21","50","27.979808807373047","NNBandit-v0","2000","200","1",""
