"Step","noisy_net: true - regret","noisy_net: true - regret__MIN","noisy_net: true - regret__MAX"
"1","0.3204806068315609","0","0.8171130220128424"
"2","0.5959924719774843","0","1.5341757945534824"
"3","0.9499734965714499","0.04508389363196208","2.069092169634065"
"4","1.3681964959005442","0.04508389363196208","2.738735719134903"
"5","1.7535017458198061","0.10157466006792959","3.4876532144378896"
"6","2.0830036265672556","0.107287745080752","3.8099201483481897"
"7","2.4478425920712823","0.3688060497646535","4.492903543483037"
"8","2.772562383459379","0.3688060497646535","4.956271021054572"
"9","3.105265356132216","0.3688060497646535","5.6185090944246525"
"10","3.455207146021966","0.9092743440451563","5.829333685745004"
"11","3.7855685181931085","1.3188693680902475","6.520240840876823"
"12","4.142239757828202","1.332226085944772","7.1863565019786435"
"13","4.482035185152295","1.4687714907609035","7.933216934722851"
"14","4.820020909074665","1.4687714907609035","8.607410671280226"
"15","5.192474580576059","1.4687714907609035","8.607410671280226"
"16","5.529588294718612","1.4966005109766498","9.311886837601147"
"17","5.845744023154998","1.4966005109766498","9.565675792314627"
"18","6.163999265215977","1.4966005109766498","10.083801938992462"
"19","6.530746324787011","1.4966005109766498","10.748778227606115"
"20","6.853551613752965","1.700129335267515","11.488136546160534"
"21","7.223960735730112","1.7095494740729207","12.412729482539195"
"22","7.552416784883263","1.8053696690824115","12.74016558030277"
"23","7.96725256751556","1.8053696690824115","13.491724176717916"
"24","8.270412577007201","1.8193273200523634","14.215282387141013"
"25","8.663710922576872","2.0276209755080967","14.929764095385242"
"26","9.075688003431404","2.2078038332253644","15.637635416501062"
"27","9.423250127631617","2.212414652020997","16.301021431405868"
"28","9.735030448425066","2.2191173458896474","17.045249243757972"
"29","10.084787871535049","2.8821555980554643","17.77462667249687"
"30","10.412940177728416","2.8821555980554643","18.49091314048074"
"31","10.786891692655507","2.8821555980554643","19.1382721427368"
"32","11.174057023656982","2.933201101680094","19.390769719327526"
"33","11.527285014389616","2.933201101680094","20.14440584457886"
"34","11.889752615704468","2.933201101680094","20.897337303533778"
"35","12.292085458358706","3.1030455821133844","21.591725630567485"
"36","12.628205270386472","3.1030455821133844","22.301464102590913"
"37","13.014721760654618","3.1047000778702714","23.03041438625517"
"38","13.295684703435013","3.2418798028888665","23.54185429511788"
"39","13.651851376334756","3.2418798028888665","23.909163831792497"
"40","13.981362713623758","3.2553685481446464","24.61361160408643"
"41","14.342584592474113","3.2553685481446464","25.355793380345126"
"42","14.64885654036915","3.2615086527932284","25.897729643950164"
"43","15.00166567869142","3.3057933394224484","26.42904098658896"
"44","15.392199506628476","3.672428542917662","26.89702309408907"
"45","15.748951649344177","3.6815457665460842","27.61034930153783"
"46","16.087935533417912","3.6815457665460842","27.61034930153783"
"47","16.463542248019206","3.698368004766462","28.140831802546767"
"48","16.82046451697837","3.7037806416640584","28.858892818892603"
"49","17.188938900531","3.7037806416640584","29.612019424538765"
"50","17.577178537184647","3.9158333716961344","30.372348156080783"
"51","17.962446062589144","3.9158333716961344","30.96398657823081"
"52","18.319886258321908","3.9158333716961344","31.630675290179106"
"53","18.640841426138437","3.9807076546152698","31.925237663795688"
"54","18.90623498090379","3.9807076546152698","32.16781402030787"
"55","19.164675117415882","3.9807076546152698","32.7047184612763"
"56","19.390690505590122","4.530241411318978","32.872939279998064"
"57","19.617264182547554","4.6024827730617615","32.872939279998064"
"58","19.804411871971432","4.66305888865866","33.12213099330438"
"59","19.9908505475815","4.66305888865866","33.12744538959603"
"60","20.193527706517095","4.66305888865866","33.78899739910758"
"61","20.42063164345117","4.669140539342409","34.14725945556587"
"62","20.713163851238495","4.68345025483509","34.61809318666719"
"63","20.939982441878442","4.696927610402185","35.3380174066854"
"64","21.117916610600393","4.705094162350017","35.42891693572103"
"65","21.37289270412523","4.705094162350017","35.42891693572103"
"66","21.553521361391926","4.793665441285472","35.70888751241697"
"67","21.765814257348413","4.793665441285472","35.967950386448145"
"68","21.984329795061175","4.793665441285472","36.54873664682982"
"69","22.175729642314483","4.822393256667517","36.92876823035177"
"70","22.315999592939864","4.834362810432218","37.303507394637236"
"71","22.509908348563968","4.834362810432218","37.303507394637236"
"72","22.701121270402403","4.880285792874212","37.76145524317901"
"73","22.86167243436879","4.880285792874212","38.10432159699019"
"74","23.056469544757825","4.928829416576522","38.26849796649918"
"75","23.189160236427647","4.928829416576522","38.55979168017572"
"76","23.32458086828964","4.928829416576522","38.8119957342781"
"77","23.489406524934306","4.928829416576522","39.03264001130533"
"78","23.67551442934972","4.928829416576522","39.468422755058796"
"79","23.828874358576588","4.928829416576522","39.94592249025106"
"80","24.009474111870567","4.928829416576522","40.366579124783"
"81","24.11730413660036","4.928829416576522","40.80202840052146"
"82","24.2563994221717","4.937024524934109","40.96542243928807"
"83","24.427374240110495","4.963728348075426","41.22330918521178"
"84","24.552104003332893","4.963728348075426","41.526308826690546"
"85","24.725851978508697","4.9809984170270925","41.74490725005422"
"86","24.87391365430739","5.224857405080668","42.20004011809645"
"87","25.04452449883619","5.224857405080668","42.95766007550199"
"88","25.190428400854913","5.252994723354095","43.437386552200444"
"89","25.31989152323048","5.260987127967907","43.83703340404586"
"90","25.45703721393939","5.260987127967907","44.165851203883975"
"91","25.5795878234744","5.271779409422402","44.539924293778455"
"92","25.71990276186671","5.271779409422402","45.04833579330597"
"93","25.833987625847058","5.271779409422402","45.24327012952444"
"94","25.934023173615273","5.271779409422402","45.63474998072315"
"95","26.07866499792702","5.271779409422402","46.111803906950975"
"96","26.21201476663523","5.346921293958724","46.472093872652145"
