"Step","noisy_net: true - score","noisy_net: true - score__MIN","noisy_net: true - score__MAX"
"50","0.4939944743595752","0.24832915892462687","0.7680828958791941"
"100","0.660833979890493","0.3838291452418361","0.7902064012309056"
"150","0.7321112388238387","0.4930283314663426","0.8476215760257928"
"200","0.7548881488485986","0.5364273994508302","0.8734057034398793"
"250","0.49138582286538907","0.22317835834814911","0.8265558084942554"
"300","0.5514805708322278","0.29461353611643254","0.8480653835450777"
"350","0.606296777606051","0.31361864382824367","0.8220010263172385"
"400","0.6300687282091132","0.26806009895396626","0.8739974538141658"
"450","0.5336593096489186","0.1372723823878234","0.8648432020866628"
"500","0.5778371169444081","0.1378453889371454","0.8672130840493647"
"550","0.6155385394048288","0.16713574378936902","0.8654846887873218"
"600","0.6399461289383667","0.20230262184116454","0.8575761083714393"
"650","0.5134905386244858","0.1524513613891666","0.8081169981191433"
"700","0.5435253562812581","0.17226937762942807","0.8108818263332022"
"750","0.5833661016844671","0.19078293976429336","0.8645150438430921"
"800","0.5973319597802874","0.1850500837894019","0.8693911000351171"
"850","0.5081955127581378","0.15681233647352186","0.8526343785671755"
"900","0.5578413821691238","0.14565858884427055","0.8767161576773539"
"950","0.5937716236175222","0.15815766944879306","0.8734168245075756"
"1000","0.6160601913434866","0.17173671710831984","0.8779735893866504"
"1050","0.5240101265569514","0.1468590770306048","0.8207445792611915"
"1100","0.5493475048850891","0.1385468738638569","0.8410668166816544"
"1150","0.5770161505111315","0.16321226742205447","0.8427704321556849"
"1200","0.6055942963026152","0.19685252079296592","0.8390562586290581"
"1250","0.5196099823842504","0.15540923862122588","0.8079521831562498"
"1300","0.5494515927309483","0.15427482701242995","0.8278938110809446"
"1350","0.5769835381141458","0.16077038917526706","0.833141659798506"
"1400","0.6021831088934676","0.18386495704613498","0.852743879819751"
"1450","0.43211392893468775","0.11909321221210989","0.8504737314693646"
"1500","0.4632401300736722","0.1309848973173611","0.8562240792282444"
"1550","0.49434218653103623","0.1707191242717091","0.8452548278374326"
"1600","0.5157163606887009","0.16915575868193966","0.8444785074981204"
"1650","0.489980919755664","0.16611419581206094","0.816322508539416"
"1700","0.5190604853552977","0.1676626477512833","0.8341864369698648"
"1750","0.5426795642727107","0.18622677621960868","0.8474451068153753"
"1800","0.5713038249016165","0.159561026917838","0.8763850192254364"
"1850","0.512948415494686","0.15190312986353346","0.82273617203949"
"1900","0.541882341014026","0.1506227303692084","0.832944877905422"
"1950","0.5626051580000169","0.14009600538994865","0.867760682505627"
"2000","0.5750361235074457","0.13804308726593814","0.8542063260979676"
