"Step","noisy_net: true - exploration_rate","noisy_net: true - exploration_rate__MIN","noisy_net: true - exploration_rate__MAX","noisy_net: false - exploration_rate","noisy_net: false - exploration_rate__MIN","noisy_net: false - exploration_rate__MAX"
"1","","","","0.4000000000000001","0.4","0.4"
"2","","","","0.4000000000000001","0.4","0.4"
"3","","","","0.4000000000000001","0.4","0.4"
"4","","","","0.4000000000000001","0.4","0.4"
"5","","","","0.4000000000000001","0.4","0.4"
"6","","","","0.4000000000000001","0.4","0.4"
"7","","","","0.4000000000000001","0.4","0.4"
"8","","","","0.4000000000000001","0.4","0.4"
"9","","","","0.4000000000000001","0.4","0.4"
"10","0.4869565217391304","0.09999999999999998","0.85","0.4000000000000001","0.4","0.4"
"11","","","","0.4000000000000001","0.4","0.4"
"12","","","","0.4000000000000001","0.4","0.4"
"13","","","","0.4000000000000001","0.4","0.4"
"14","","","","0.4000000000000001","0.4","0.4"
"15","","","","0.4000000000000001","0.4","0.4"
"16","","","","0.4000000000000001","0.4","0.4"
"17","","","","0.4000000000000001","0.4","0.4"
"18","","","","0.4000000000000001","0.4","0.4"
"19","","","","0.4000000000000001","0.4","0.4"
"20","0.45","0.07500000000000001","0.75","0.4000000000000001","0.4","0.4"
"21","","","","0.4000000000000001","0.4","0.4"
"22","","","","0.4000000000000001","0.4","0.4"
"23","","","","0.4000000000000001","0.4","0.4"
"24","","","","0.4000000000000001","0.4","0.4"
"25","","","","0.4000000000000001","0.4","0.4"
"26","","","","0.4000000000000001","0.4","0.4"
"27","","","","0.4000000000000001","0.4","0.4"
"28","","","","0.4000000000000001","0.4","0.4"
"29","","","","0.4000000000000001","0.4","0.4"
"30","0.4413043478260869","0.11666666666666665","0.7333333333333334","0.4000000000000001","0.4","0.4"
"31","","","","0.4000000000000001","0.4","0.4"
"32","","","","0.4000000000000001","0.4","0.4"
"33","","","","0.4000000000000001","0.4","0.4"
"34","","","","0.4000000000000001","0.4","0.4"
