"Name","hidden_layer_size","mean_regret","env_id","noisy_net","seed","_wandb"
"conbandit_combi1_0__3__2025-06-19_17-26","90","46.86435390701698","ContextualBandit-v2","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-25","90","59.75883620835337","ContextualBandit-v2","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-25","90","45.6677514208637","ContextualBandit-v2","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-25","90","44.99337989789069","ContextualBandit-v2","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-25","80","78.25869106969076","ContextualBandit-v2","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-24","80","63.001103774909645","ContextualBandit-v2","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-24","80","87.49952375772477","ContextualBandit-v2","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-24","80","52.495912177501346","ContextualBandit-v2","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-24","80","43.69908787416312","ContextualBandit-v2","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-24","80","64.6543534862044","ContextualBandit-v2","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-23","80","61.29144495750621","ContextualBandit-v2","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-23","80","40.0767251845695","ContextualBandit-v2","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-23","70","66.114893826008","ContextualBandit-v2","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-23","70","53.606601470311226","ContextualBandit-v2","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-23","70","71.92146213022372","ContextualBandit-v2","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-22","70","67.11637018383468","ContextualBandit-v2","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-22","70","56.69858940755478","ContextualBandit-v2","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-22","70","42.74398837178472","ContextualBandit-v2","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-22","70","84.2259467023047","ContextualBandit-v2","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-21","70","61.39584992477837","ContextualBandit-v2","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-21","60","77.36354987604017","ContextualBandit-v2","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-21","60","68.96198717054536","ContextualBandit-v2","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-21","60","66.92075609584761","ContextualBandit-v2","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-21","60","60.33960803028637","ContextualBandit-v2","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-20","60","199.37342670783528","ContextualBandit-v2","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-20","60","111.52084106356509","ContextualBandit-v2","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-20","60","64.33832871754566","ContextualBandit-v2","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-20","60","69.38979820346755","ContextualBandit-v2","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-19","50","77.22236395607874","ContextualBandit-v2","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-19","50","57.54982067315542","ContextualBandit-v2","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-19","50","77.18033250488882","ContextualBandit-v2","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-19","50","53.1525859616145","ContextualBandit-v2","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-19","50","117.79268671249892","ContextualBandit-v2","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-18","50","25.292720337199963","ContextualBandit-v2","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-18","50","46.82163456323589","ContextualBandit-v2","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-18","50","72.16536894494864","ContextualBandit-v2","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-18","40","90.50785508240128","ContextualBandit-v2","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-17","40","83.11696309008403","ContextualBandit-v2","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-17","40","80.06887369902967","ContextualBandit-v2","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-17","40","60.378507094601055","ContextualBandit-v2","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-17","40","60.62274682286551","ContextualBandit-v2","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-17","40","61.38329132846916","ContextualBandit-v2","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-16","40","84.38276584136297","ContextualBandit-v2","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-16","40","30.40893424534131","ContextualBandit-v2","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-16","30","87.66548141448388","ContextualBandit-v2","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-16","30","61.26184407716812","ContextualBandit-v2","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-15","30","77.9898469145082","ContextualBandit-v2","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-15","30","72.47946366090642","ContextualBandit-v2","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-15","30","62.20329737209328","ContextualBandit-v2","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-15","30","52.33537089918965","ContextualBandit-v2","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-14","30","65.80350028897985","ContextualBandit-v2","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-14","30","105.60902490634992","ContextualBandit-v2","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-14","20","100.63239297710692","ContextualBandit-v2","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-14","20","89.20537317049194","ContextualBandit-v2","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-14","20","103.24056503274596","ContextualBandit-v2","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-14","20","50.67151065104501","ContextualBandit-v2","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-13","20","82.19320210684292","ContextualBandit-v2","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-13","20","66.01749745264122","ContextualBandit-v2","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-13","20","99.25996405439363","ContextualBandit-v2","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-13","20","68.61724112124455","ContextualBandit-v2","true","0",""
"conbandit_combi1_0__3__2025-06-19_17-12","10","81.8117541163482","ContextualBandit-v2","false","3",""
"conbandit_combi1_0__2__2025-06-19_17-12","10","85.44686785029438","ContextualBandit-v2","false","2",""
"conbandit_combi1_0__1__2025-06-19_17-12","10","67.30791373912763","ContextualBandit-v2","false","1",""
"conbandit_combi1_0__0__2025-06-19_17-12","10","77.54450946350448","ContextualBandit-v2","false","0",""
"conbandit_combi1_0__3__2025-06-19_17-12","10","135.6582669350417","ContextualBandit-v2","true","3",""
"conbandit_combi1_0__2__2025-06-19_17-11","10","70.50375047468681","ContextualBandit-v2","true","2",""
"conbandit_combi1_0__1__2025-06-19_17-11","10","117.47735625906708","ContextualBandit-v2","true","1",""
"conbandit_combi1_0__0__2025-06-19_17-11","10","197.0464998256482","ContextualBandit-v2","true","0",""
