"Step","noisy_net: true - exploration_rate","noisy_net: true - exploration_rate__MIN","noisy_net: true - exploration_rate__MAX"
"10","0.5616666666666668","0.19999999999999996","0.8"
"20","0.5399999999999999","0.22499999999999998","0.7250000000000001"
"30","0.5305555555555557","0.25","0.75"
"40","0.52","0.2125","0.725"
"50","0.5046666666666667","0.22000000000000003","0.71"
"60","0.48916666666666675","0.25","0.7166666666666667"
"70","0.4657142857142856","0.2285714285714286","0.6857142857142857"
"80","0.45125","0.22499999999999998","0.66875"
"90","0.43462962962962953","0.2222222222222222","0.6277777777777778"
"100","0.42599999999999993","0.20999999999999996","0.6249999999999999"
"110","0.41515151515151505","0.2318181818181818","0.6136363636363635"
"120","0.4016666666666666","0.2333333333333333","0.6083333333333333"
"130","0.39166666666666666","0.2423076923076923","0.596153846153846"
"140","0.3857142857142858","0.2285714285714286","0.5821428571428571"
"150","0.3781111111111112","0.21666666666666667","0.5666666666666667"
"160","0.3722916666666667","0.209375","0.5375"
"170","0.3655882352941175","0.19705882352941176","0.538235294117647"
"180","0.35981481481481487","0.1888888888888889","0.5361111111111111"
"190","0.35815789473684206","0.2210526315789474","0.5263157894736842"
"200","0.35225","0.21000000000000002","0.52"
"210","0.33716666666666667","0.19499999999999998","0.51"
"220","0.32541666666666663","0.16750000000000004","0.48"
"230","0.31583333333333324","0.17","0.46749999999999997"
"240","0.3052500000000001","0.14750000000000002","0.4575"
"250","0.29508333333333336","0.12999999999999998","0.4575"
"260","0.28933333333333333","0.10750000000000001","0.45499999999999996"
"270","0.2843333333333333","0.085","0.45499999999999996"
"280","0.2833333333333333","0.07250000000000001","0.4675000000000001"
"290","0.2794166666666666","0.06500000000000002","0.46500000000000014"
"300","0.27416666666666667","0.05500000000000003","0.445"
"310","0.2695","0.05250000000000001","0.44749999999999995"
"320","0.2660833333333333","0.040000000000000015","0.43"
"330","0.2619166666666667","0.03750000000000001","0.43500000000000005"
"340","0.25458333333333333","0.03750000000000001","0.43"
"350","0.25175000000000003","0.03750000000000001","0.44750000000000006"
"360","0.24766666666666667","0.03500000000000001","0.46749999999999997"
"370","0.2444166666666667","0.03000000000000001","0.46749999999999997"
"380","0.24066666666666667","0.03000000000000001","0.48"
"390","0.23650000000000002","0.027500000000000007","0.4875"
"400","0.2361666666666667","0.02250000000000001","0.48999999999999994"
"410","0.23475000000000001","0.0425","0.4925"
"420","0.22958333333333333","0.04","0.52"
"430","0.22433333333333333","0.0325","0.535"
"440","0.2185833333333333","0.0325","0.5325000000000001"
"450","0.21733333333333335","0.04","0.5175"
"460","0.21458333333333332","0.0425","0.5125"
"470","0.21083333333333332","0.037500000000000006","0.5249999999999999"
"480","0.20325000000000004","0.045000000000000005","0.5325"
"490","0.19925","0.045000000000000005","0.5349999999999999"
"500","0.19141666666666665","0.045000000000000005","0.5174999999999998"
"510","0.18733333333333332","0.045000000000000005","0.53"
"520","0.18550000000000003","0.045000000000000005","0.5499999999999999"
"530","0.18258333333333335","0.045000000000000005","0.5525"
"540","0.18241666666666664","0.0425","0.5525"
"550","0.1806666666666667","0.0425","0.5599999999999999"
"560","0.1776666666666666","0.04","0.5524999999999999"
"570","0.17591666666666664","0.04","0.5625"
"580","0.17600000000000002","0.035","0.545"
"590","0.1686666666666667","0.0075000000000000015","0.545"
"600","0.16358333333333336","0.0025000000000000022","0.545"
"610","0.1605833333333333","0.010000000000000004","0.5475"
"620","0.15733333333333335","0.010000000000000004","0.5374999999999999"
"630","0.15191666666666664","0.010000000000000004","0.5249999999999999"
"640","0.1508333333333333","0.012500000000000006","0.5125"
"650","0.1485833333333333","0.012500000000000006","0.5174999999999998"
"660","0.14158333333333328","0.007500000000000007","0.5125"
"670","0.13941666666666663","0.007500000000000007","0.5049999999999999"
"680","0.1375833333333333","0.0050000000000000044","0.4924999999999999"
"690","0.1395","0.007500000000000007","0.4924999999999999"
"700","0.14125000000000001","0.007500000000000007","0.48999999999999994"
"710","0.14183333333333334","0.007500000000000007","0.48"
"720","0.1404166666666666","0.007500000000000007","0.46499999999999997"
"730","0.1396666666666667","0.0225","0.4425"
"740","0.13566666666666669","0.0225","0.43"
"750","0.13275","0.0225","0.42000000000000004"
"760","0.12941666666666665","0.019999999999999997","0.395"
"770","0.12808333333333335","0.014999999999999996","0.37500000000000006"
"780","0.12383333333333334","0.0075000000000000015","0.3775"
"790","0.12333333333333334","0.0075000000000000015","0.37250000000000005"
"800","0.12400000000000001","0.0075000000000000015","0.35500000000000004"
"810","0.11874999999999998","0.0075000000000000015","0.3375"
"820","0.11849999999999997","0.0075000000000000015","0.32249999999999995"
"830","0.11983333333333328","0.0075000000000000015","0.33"
"840","0.11791666666666664","0.0075000000000000015","0.33749999999999997"
"850","0.11383333333333331","0.0025000000000000022","0.31499999999999995"
"860","0.11183333333333333","0.0025000000000000022","0.31999999999999995"
"870","0.11183333333333333","0.0025000000000000022","0.32499999999999996"
"880","0.11066666666666666","0.0025000000000000022","0.33249999999999996"
"890","0.10733333333333332","0.0025000000000000022","0.32999999999999996"
"900","0.10924999999999999","0.0050000000000000044","0.31999999999999995"
"910","0.1053333333333333","0.0050000000000000044","0.3175"
"920","0.10424999999999997","0.0050000000000000044","0.325"
"930","0.10224999999999997","0.0050000000000000044","0.32999999999999996"
"940","0.10366666666666663","0.0050000000000000044","0.32499999999999996"
"950","0.10016666666666664","0","0.315"
"960","0.1001666666666667","0","0.3275"
"970","0.09875000000000002","0","0.3275"
"980","0.09691666666666668","0","0.3375"
"990","0.09683333333333333","0","0.35750000000000004"
"1000","0.09366666666666665","0","0.3400000000000001"
"1010","0.09325000000000003","0.007500000000000007","0.3375"
"1020","0.09108333333333334","0.007500000000000007","0.33"
"1030","0.08883333333333333","0.007500000000000007","0.3375"
"1040","0.08766666666666666","0.007500000000000007","0.305"
"1050","0.0861666666666667","0.0050000000000000044","0.325"
"1060","0.08841666666666667","0.0050000000000000044","0.345"
