"Step","conbandit_combi1_0__5820__2025-06-17_16-53 - loss","conbandit_combi1_0__5820__2025-06-17_16-53 - loss__MIN","conbandit_combi1_0__5820__2025-06-17_16-53 - loss__MAX","conbandit_combi1_0__7324__2025-06-17_16-52 - loss","conbandit_combi1_0__7324__2025-06-17_16-52 - loss__MIN","conbandit_combi1_0__7324__2025-06-17_16-52 - loss__MAX","conbandit_combi1_0__6341__2025-06-17_16-51 - loss","conbandit_combi1_0__6341__2025-06-17_16-51 - loss__MIN","conbandit_combi1_0__6341__2025-06-17_16-51 - loss__MAX"
"100","0.18447038531303406","0.18447038531303406","0.18447038531303406","1.2290921211242676","1.2290921211242676","1.2290921211242676","0.0221883412450552","0.0221883412450552","0.0221883412450552"
"101","0.16301114857196808","0.16301114857196808","0.16301114857196808","1.2205346822738647","1.2205346822738647","1.2205346822738647","0.019599320366978645","0.019599320366978645","0.019599320366978645"
"102","0.14842641353607178","0.14842641353607178","0.14842641353607178","1.2121541500091553","1.2121541500091553","1.2121541500091553","0.017536135390400887","0.017536135390400887","0.017536135390400887"
"103","0.13691842555999756","0.13691842555999756","0.13691842555999756","1.1987369060516357","1.1987369060516357","1.1987369060516357","0.015679357573390007","0.015679357573390007","0.015679357573390007"
"104","0.1217784434556961","0.1217784434556961","0.1217784434556961","1.1901440620422363","1.1901440620422363","1.1901440620422363","0.014369534328579903","0.014369534328579903","0.014369534328579903"
"105","0.10857100784778595","0.10857100784778595","0.10857100784778595","1.1761137247085571","1.1761137247085571","1.1761137247085571","0.012899446301162243","0.012899446301162243","0.012899446301162243"
"106","0.09838702529668808","0.09838702529668808","0.09838702529668808","1.1634769439697266","1.1634769439697266","1.1634769439697266","0.011694425716996193","0.011694425716996193","0.011694425716996193"
"107","0.08466865867376328","0.08466865867376328","0.08466865867376328","1.158766508102417","1.158766508102417","1.158766508102417","0.00956549309194088","0.00956549309194088","0.00956549309194088"
"108","0.07775246351957321","0.07775246351957321","0.07775246351957321","1.1487395763397217","1.1487395763397217","1.1487395763397217","0.010134012438356876","0.010134012438356876","0.010134012438356876"
"109","0.07501693069934845","0.07501693069934845","0.07501693069934845","1.147035837173462","1.147035837173462","1.147035837173462","0.007689890917390585","0.007689890917390585","0.007689890917390585"
"110","0.06984634697437286","0.06984634697437286","0.06984634697437286","1.1568326950073242","1.1568326950073242","1.1568326950073242","0.008254899643361568","0.008254899643361568","0.008254899643361568"
"111","0.0677449107170105","0.0677449107170105","0.0677449107170105","1.155742883682251","1.155742883682251","1.155742883682251","0.007795356679707766","0.007795356679707766","0.007795356679707766"
"112","0.06432127207517624","0.06432127207517624","0.06432127207517624","1.113326072692871","1.113326072692871","1.113326072692871","0.007083650212734938","0.007083650212734938","0.007083650212734938"
