"Name","noisy_layer_init_std","mean_regret","seed","env_id","_wandb"
"conbandit_combi1_0__3__2025-06-13_19-56","1.204","147.4469133540529","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-13_19-55","1.204","95.5422144543941","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-13_19-55","1.204","141.6537031134725","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-13_19-55","1.204","106.54806228852372","0","ContextualBandit-v2",""
"conbandit_combi1_0__3__2025-06-13_19-54","0.806","98.60544808254132","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-13_19-54","0.806","78.12755282899916","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-13_19-53","0.806","91.0264276233956","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-13_19-53","0.806","63.546414644934515","0","ContextualBandit-v2",""
"conbandit_combi1_0__3__2025-06-13_19-53","0.408","61.222967861148014","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-13_19-52","0.408","61.46584465614512","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-13_19-52","0.408","84.4211512835729","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-13_19-51","0.408","32.43942523831426","0","ContextualBandit-v2",""
"conbandit_combi1_0__3__2025-06-13_19-51","0.01","265.00204075612805","3","ContextualBandit-v2",""
"conbandit_combi1_0__2__2025-06-13_19-51","0.01","52.58848895493269","2","ContextualBandit-v2",""
"conbandit_combi1_0__1__2025-06-13_19-50","0.01","72.56127693835639","1","ContextualBandit-v2",""
"conbandit_combi1_0__0__2025-06-13_19-50","0.01","9.312246300634994","0","ContextualBandit-v2",""
